OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F4_Tampa_gcs_PET_Apr_OID,F4_Tampa_gcs_PET_Apr_FID_,F4_Tampa_gcs_PET_Apr_COUNT,F4_Tampa_gcs_PET_Apr_AREA,F4_Tampa_gcs_PET_Apr_MEAN
-1,Tampa,1,28.324529999999999,-82.357619999999997,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,0,0,1,0.000069444451688,150.000000000000000
-1,Tampa,2,28.193449999999999,-82.637519999999995,6,6,1.000000000000000,NA,NA,NA,NA,NA,NA,1,1,1,0.000069444451688,143.000000000000000
-1,Tampa,3,28.084309999999999,-82.503479999999996,14,14,1.000000000000000,NA,NA,NA,NA,NA,NA,2,2,1,0.000069444451688,142.000000000000000
-1,Tampa,4,27.970340000000000,-82.460200000000000,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,3,3,1,0.000069444451688,140.000000000000000
-1,Tampa,5,27.945930000000001,-82.463870000000000,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,4,4,1,0.000069444451688,140.000000000000000
-1,Tampa,6,27.981410000000000,-82.386319999999998,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,5,5,1,0.000069444451688,143.000000000000000
-1,Tampa,7,27.990290000000002,-82.239329999999995,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,6,6,1,0.000069444451688,149.000000000000000
-1,Tampa,8,27.993020000000001,-82.224680000000006,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,7,7,1,0.000069444451688,150.000000000000000
-1,Tampa,9,27.996720000000000,-82.210449999999994,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,8,8,1,0.000069444451688,151.000000000000000
-1,Tampa,10,28.006090000000000,-82.174229999999994,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,9,9,1,0.000069444451688,152.000000000000000
-1,Tampa,11,28.009760000000000,-82.163740000000004,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,10,10,1,0.000069444451688,152.000000000000000
-1,Tampa,12,28.018260000000001,-82.105069999999998,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,11,11,1,0.000069444451688,152.000000000000000
-1,Tampa,13,28.020769999999999,-82.092929999999996,15,14,0.933000000000000,NA,NA,NA,NA,NA,NA,12,12,1,0.000069444451688,152.000000000000000
-1,Tampa,14,28.035470000000000,-82.017529999999994,15,14,0.933000000000000,NA,NA,NA,NA,NA,NA,13,13,1,0.000069444451688,151.000000000000000
-1,Tampa,15,28.039310000000000,-82.002790000000005,15,15,1.000000000000000,NA,NA,NA,NA,NA,NA,14,14,1,0.000069444451688,151.000000000000000
