OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F7_Uruapan_gcs_PET_Jul_OID,F7_Uruapan_gcs_PET_Jul_FID_,F7_Uruapan_gcs_PET_Jul_COUNT,F7_Uruapan_gcs_PET_Jul_AREA,F7_Uruapan_gcs_PET_Jul_MEAN
-1,Uruapan,1,19.455240000000000,-102.000399999999999,12,7,0.583000000000000,19.420850000000002,-102.061638000000002,South America,7.473600000000000,7.473600000000000,1,0,0,1,0.000069444451688,139.000000000000000
-1,Uruapan,2,19.449670000000001,-102.006450000000001,20,11,0.550000000000000,19.420850000000002,-102.061638000000002,South America,6.615000000000000,7.473600000000000,1,1,1,1,0.000069444451688,141.000000000000000
-1,Uruapan,3,19.439830000000001,-102.012180000000001,20,7,0.350000000000000,19.420850000000002,-102.061638000000002,South America,5.599200000000000,7.473600000000000,1,2,2,1,0.000069444451688,141.000000000000000
-1,Uruapan,4,19.435510000000001,-102.018929999999997,12,12,1.000000000000000,19.420850000000002,-102.061638000000002,South America,4.766000000000000,7.473600000000000,1,3,3,1,0.000069444451688,140.000000000000000
-1,Uruapan,5,19.432729999999999,-102.023970000000006,15,10,0.667000000000000,19.420850000000002,-102.061638000000002,South America,4.165100000000000,7.473600000000000,1,4,4,1,0.000069444451688,141.000000000000000
-1,Uruapan,6,19.428979999999999,-102.033050000000003,13,5,0.385000000000000,19.420850000000002,-102.061638000000002,South America,3.131200000000000,7.473600000000000,0,5,5,1,0.000069444451688,141.000000000000000
-1,Uruapan,7,19.426469999999998,-102.042100000000005,19,10,0.526000000000000,19.420850000000002,-102.061638000000002,South America,2.142100000000000,7.473600000000000,0,6,6,1,0.000069444451688,140.000000000000000
-1,Uruapan,8,19.425709999999999,-102.046279999999996,22,9,0.409000000000000,19.420850000000002,-102.061638000000002,South America,1.698800000000000,7.473600000000000,0,,,,,
-1,Uruapan,9,19.420539999999999,-102.048590000000004,14,7,0.500000000000000,19.420850000000002,-102.061638000000002,South America,1.368800000000000,7.473600000000000,0,7,8,1,0.000069444451688,140.000000000000000
-1,Uruapan,10,19.438549999999999,-102.014049999999997,22,7,0.318000000000000,19.420850000000002,-102.061638000000002,South America,5.364300000000000,7.473600000000000,1,,,,,
-1,Uruapan,11,19.438559999999999,-102.014070000000004,18,0,0.000000000000000,19.420850000000002,-102.061638000000002,South America,5.362700000000000,7.473600000000000,1,,,,,
-1,Uruapan,12,19.423710000000000,-102.047799999999995,20,7,0.350000000000000,19.420850000000002,-102.061638000000002,South America,1.485600000000000,7.473600000000000,0,,,,,
-1,Uruapan,13,19.417310000000001,-102.051000000000002,16,5,0.312000000000000,19.420850000000002,-102.061638000000002,South America,1.183000000000000,7.473600000000000,0,8,12,1,0.000069444451688,140.000000000000000
-1,Uruapan,14,19.412749999999999,-102.052440000000004,18,4,0.222000000000000,19.420850000000002,-102.061638000000002,South America,1.319700000000000,7.473600000000000,0,9,13,1,0.000069444451688,140.000000000000000
-1,Uruapan,15,19.409140000000001,-102.053539999999998,10,1,0.100000000000000,19.420850000000002,-102.061638000000002,South America,1.554600000000000,7.473600000000000,0,,,,,
-1,Uruapan,16,19.404979999999998,-102.054569999999998,20,14,0.700000000000000,19.420850000000002,-102.061638000000002,South America,1.914000000000000,7.473600000000000,0,10,15,1,0.000069444451688,140.000000000000000
-1,Uruapan,17,19.400910000000000,-102.056229999999999,23,13,0.565000000000000,19.420850000000002,-102.061638000000002,South America,2.288600000000000,7.473600000000000,0,,,,,
-1,Uruapan,18,19.397620000000000,-102.056770000000000,19,14,0.737000000000000,19.420850000000002,-102.061638000000002,South America,2.633000000000000,7.473600000000000,0,11,17,1,0.000069444451688,140.000000000000000
-1,Uruapan,19,19.395959999999999,-102.057440000000000,22,17,0.773000000000000,19.420850000000002,-102.061638000000002,South America,2.802400000000000,7.473600000000000,0,,,,,
-1,Uruapan,20,19.393950000000000,-102.057940000000002,20,14,0.700000000000000,19.420850000000002,-102.061638000000002,South America,3.016200000000000,7.473600000000000,0,,,,,
