OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F6_Elmira_gcs_PET_Jun_OID,F6_Elmira_gcs_PET_Jun_FID_,F6_Elmira_gcs_PET_Jun_COUNT,F6_Elmira_gcs_PET_Jun_AREA,F6_Elmira_gcs_PET_Jun_MEAN
-1,Elmira,1,43.590966999999999,-80.560828999999998,NA,NA,0.400000000000000,43.599975999999998,-80.557779999999994,North America,1.031407594590000,2.721341049280000,0.379000000000000,0,0,1,0.000069444451688,142.000000000000000
-1,Elmira,2,43.592688000000003,-80.561286999999993,NA,NA,0.857142857000000,43.599975999999998,-80.557779999999994,North America,0.858188999994000,2.721341049280000,0.315400000000000,1,1,1,0.000069444451688,142.000000000000000
-1,Elmira,3,43.594338999999998,-80.560464999999994,NA,NA,0.428571429000000,43.599975999999998,-80.557779999999994,North America,0.663050258740000,2.721341049280000,0.243600000000000,,,,,
-1,Elmira,4,43.595419000000000,-80.559689000000006,NA,NA,0.210526316000000,43.599975999999998,-80.557779999999994,North America,0.529520782319000,2.721341049280000,0.194600000000000,,,,,
-1,Elmira,5,43.596204000000000,-80.559130999999994,NA,NA,0.600000000000000,43.599975999999998,-80.557779999999994,North America,0.433306892010000,2.721341049280000,0.159200000000000,,,,,
-1,Elmira,6,43.597633000000002,-80.558542000000003,NA,NA,0.222222222000000,43.599975999999998,-80.557779999999994,North America,0.267658112949000,2.721341049280000,0.098400000000000,,,,,
-1,Elmira,7,43.598570000000002,-80.557333999999997,NA,NA,0.400000000000000,43.599975999999998,-80.557779999999994,North America,0.160412123619000,2.721341049280000,0.058900000000000,2,6,1,0.000069444451688,142.000000000000000
-1,Elmira,8,43.600619999999999,-80.556737999999996,NA,NA,0.421052632000000,43.599975999999998,-80.557779999999994,North America,0.110309179418000,2.721341049280000,0.040500000000000,3,7,1,0.000069444451688,142.000000000000000
-1,Elmira,9,43.602989999999998,-80.558997000000005,NA,NA,0.222222222000000,43.599975999999998,-80.557779999999994,North America,0.349174691042000,2.721341049280000,0.128300000000000,4,8,1,0.000069444451688,142.000000000000000
-1,Elmira,10,43.603498000000002,-80.556473999999994,NA,NA,0.529411765000000,43.599975999999998,-80.557779999999994,North America,0.405502000681000,2.721341049280000,0.149000000000000,,,,,
-1,Elmira,11,43.604405999999997,-80.555093999999997,NA,NA,0.277777778000000,43.599975999999998,-80.557779999999994,North America,0.537982821464000,2.721341049280000,0.197700000000000,,,,,
-1,Elmira,12,43.606181999999997,-80.553021999999999,NA,NA,0.578947368000000,43.599975999999998,-80.557779999999994,North America,0.789291691555000,2.721341049280000,0.290000000000000,,,,,
-1,Elmira,13,43.607477000000003,-80.552397999999997,NA,NA,0.250000000000000,43.599975999999998,-80.557779999999994,North America,0.939933093137000,2.721341049280000,0.345400000000000,,,,,
-1,Elmira,14,43.610534000000001,-80.554169000000002,NA,NA,0.300000000000000,43.599975999999998,-80.557779999999994,North America,1.209463050420000,2.721341049280000,0.444400000000000,5,13,1,0.000069444451688,142.000000000000000
-1,Elmira,15,43.612335000000002,-80.553584000000001,NA,NA,0.411764706000000,43.599975999999998,-80.557779999999994,North America,1.415176543910000,2.721341049280000,0.520000000000000,,,,,
-1,Elmira,16,43.613680000000002,-80.554199999999994,NA,NA,0.368421053000000,43.599975999999998,-80.557779999999994,North America,1.550837716580000,2.721341049280000,0.569900000000000,,,,,
-1,Elmira,17,43.615900000000003,-80.553527000000003,NA,NA,0.200000000000000,43.599975999999998,-80.557779999999994,North America,1.803474333240000,2.721341049280000,0.662700000000000,,,,,
-1,Elmira,18,43.617775000000002,-80.552627999999999,NA,NA,0.411764706000000,43.599975999999998,-80.557779999999994,North America,2.022159025130000,2.721341049280000,0.743100000000000,6,17,1,0.000069444451688,143.000000000000000
-1,Elmira,19,43.621647000000003,-80.551940999999999,NA,NA,0.380952381000000,43.599975999999998,-80.557779999999994,North America,2.455131391350000,2.721341049280000,0.902200000000000,,,,,
-1,Elmira,20,43.624046999999997,-80.551674000000006,NA,NA,0.285714286000000,43.599975999999998,-80.557779999999994,North America,2.721341049280000,2.721341049280000,1.000000000000000,,,,,
