OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F11_Tacoma_gcs_PET_Nov_OID,F11_Tacoma_gcs_PET_Nov_FID_,F11_Tacoma_gcs_PET_Nov_COUNT,F11_Tacoma_gcs_PET_Nov_AREA,F11_Tacoma_gcs_PET_Nov_MEAN
-1,Tacoma,1,47.262869999999999,-122.448599999999999,20,2,0.100000000000000,47.249580000000002,-122.439875000000001,North America,1.617800000000000,12.131700000000000,0.133400000000000,0,0,1,0.000069444451688,22.000000000000000
-1,Tacoma,2,47.260680000000001,-122.449799999999996,20,6,0.300000000000000,47.249580000000002,-122.439875000000001,North America,1.443800000000000,12.131700000000000,0.119000000000000,,,,,
-1,Tacoma,3,47.257800000000003,-122.447199999999995,20,4,0.200000000000000,47.249580000000002,-122.439875000000001,North America,1.068200000000000,12.131700000000000,0.088100000000000,1,2,1,0.000069444451688,22.000000000000000
-1,Tacoma,4,47.255499999999998,-122.449269999999999,14,8,0.571000000000000,47.249580000000002,-122.439875000000001,North America,0.967500000000000,12.131700000000000,0.079700000000000,,,,,
-1,Tacoma,5,47.256700000000002,-122.445800000000006,19,0,0.000000000000000,47.249580000000002,-122.439875000000001,North America,0.909300000000000,12.131700000000000,0.075000000000000,,,,,
-1,Tacoma,6,47.253830000000001,-122.452809999999999,20,8,0.400000000000000,47.249580000000002,-122.439875000000001,North America,1.084700000000000,12.131700000000000,0.089400000000000,2,5,1,0.000069444451688,22.000000000000000
-1,Tacoma,7,47.251600000000003,-122.444100000000006,20,4,0.200000000000000,47.249580000000002,-122.439875000000001,North America,0.390100000000000,12.131700000000000,0.032200000000000,,,,,
-1,Tacoma,8,47.249310000000001,-122.447230000000005,11,1,0.091000000000000,47.249580000000002,-122.439875000000001,North America,0.556000000000000,12.131700000000000,0.045800000000000,3,7,1,0.000069444451688,22.000000000000000
-1,Tacoma,9,47.247100000000003,-122.438100000000006,20,0,0.000000000000000,47.249580000000002,-122.439875000000001,North America,0.306600000000000,12.131700000000000,0.025300000000000,4,8,1,0.000069444451688,23.000000000000000
-1,Tacoma,10,47.246519999999997,-122.441509999999994,18,3,0.167000000000000,47.249580000000002,-122.439875000000001,North America,0.361900000000000,12.131700000000000,0.029800000000000,,,,,
-1,Tacoma,11,47.245399999999997,-122.437600000000003,11,5,0.455000000000000,47.249580000000002,-122.439875000000001,North America,0.495500000000000,12.131700000000000,0.040800000000000,,,,,
-1,Tacoma,12,47.243240000000000,-122.440929999999994,17,15,0.882000000000000,47.249580000000002,-122.439875000000001,North America,0.709500000000000,12.131700000000000,0.058500000000000,,,,,
-1,Tacoma,13,47.243000000000002,-122.433400000000006,20,4,0.200000000000000,47.249580000000002,-122.439875000000001,North America,0.879900000000000,12.131700000000000,0.072500000000000,,,,,
-1,Tacoma,16,47.236910000000002,-122.428830000000005,17,6,0.353000000000000,47.249580000000002,-122.439875000000001,North America,1.637100000000000,12.131700000000000,0.134900000000000,5,13,1,0.000069444451688,23.000000000000000
-1,Tacoma,17,47.232500000000002,-122.421099999999996,15,2,0.133000000000000,47.249580000000002,-122.439875000000001,North America,2.369800000000000,12.131700000000000,0.195300000000000,6,14,1,0.000069444451688,22.000000000000000
-1,Tacoma,18,47.228600000000000,-122.422039999999996,12,5,0.417000000000000,47.249580000000002,-122.439875000000001,North America,2.693500000000000,12.131700000000000,0.222000000000000,,,,,
-1,Tacoma,20,47.223689999999998,-122.421850000000006,13,2,0.154000000000000,47.249580000000002,-122.439875000000001,North America,3.184300000000000,12.131700000000000,0.262500000000000,7,16,1,0.000069444451688,22.000000000000000
-1,Tacoma,21,47.222999999999999,-122.431399999999996,20,7,0.350000000000000,47.249580000000002,-122.439875000000001,North America,3.024000000000000,12.131700000000000,0.249300000000000,8,17,1,0.000069444451688,22.000000000000000
-1,Tacoma,22,47.218209999999999,-122.419849999999997,17,4,0.235000000000000,47.249580000000002,-122.439875000000001,North America,3.801800000000000,12.131700000000000,0.313400000000000,,,,,
-1,Tacoma,23,47.212600000000002,-122.421400000000006,20,4,0.200000000000000,47.249580000000002,-122.439875000000001,North America,4.342200000000000,12.131700000000000,0.357900000000000,9,19,1,0.000069444451688,22.000000000000000
-1,Tacoma,24,47.213509999999999,-122.408289999999994,19,9,0.474000000000000,47.249580000000002,-122.439875000000001,North America,4.666300000000000,12.131700000000000,0.384600000000000,10,20,1,0.000069444451688,22.000000000000000
-1,Tacoma,27,47.209560000000003,-122.407039999999995,15,1,0.067000000000000,47.249580000000002,-122.439875000000001,North America,5.094100000000000,12.131700000000000,0.419900000000000,,,,,
-1,Tacoma,28,47.206330000000001,-122.411519999999996,14,8,0.571000000000000,47.249580000000002,-122.439875000000001,North America,5.264300000000000,12.131700000000000,0.433900000000000,11,22,1,0.000069444451688,22.000000000000000
-1,Tacoma,30,47.203670000000002,-122.407079999999993,20,4,0.200000000000000,47.249580000000002,-122.439875000000001,North America,5.673900000000000,12.131700000000000,0.467700000000000,12,23,1,0.000069444451688,22.000000000000000
-1,Tacoma,31,47.198200000000000,-122.408299999999997,15,6,0.400000000000000,47.249580000000002,-122.439875000000001,North America,6.190800000000000,12.131700000000000,0.510300000000000,13,24,1,0.000069444451688,22.000000000000000
-1,Tacoma,32,47.199019999999997,-122.390410000000003,18,2,0.111000000000000,47.249580000000002,-122.439875000000001,North America,6.749800000000000,12.131700000000000,0.556400000000000,14,25,1,0.000069444451688,22.000000000000000
-1,Tacoma,33,47.195580000000000,-122.404089999999997,20,6,0.300000000000000,47.249580000000002,-122.439875000000001,North America,6.584600000000000,12.131700000000000,0.542800000000000,,,,,
-1,Tacoma,34,47.192570000000003,-122.396220000000000,15,5,0.333000000000000,47.249580000000002,-122.439875000000001,North America,7.145300000000000,12.131700000000000,0.589000000000000,15,27,1,0.000069444451688,22.000000000000000
-1,Tacoma,35,47.191620000000000,-122.390860000000004,16,3,0.188000000000000,47.249580000000002,-122.439875000000001,North America,7.432300000000000,12.131700000000000,0.612600000000000,16,28,1,0.000069444451688,22.000000000000000
-1,Tacoma,36,47.188789999999997,-122.396969999999996,16,7,0.438000000000000,47.249580000000002,-122.439875000000001,North America,7.496100000000000,12.131700000000000,0.617900000000000,17,29,1,0.000069444451688,22.000000000000000
