City,Country,Latitude_web,Longitude_web,Is_center,Latitude_moved,Longitude_moved,Notes
Acton,Canada,43.63123,-80.03644,No,43.629693,-80.041492,"Latlong.net placed marker in residential area, moved to what seems like downtown area at intersection of Main St and Mill St"
Albuquerque,USA,35.084385,-106.650421,Yes,,,
Almada ,Portugal,38.68029,-9.15849,Yes,,,
Amsterdam,Netherlands,52.373169,4.89066,Yes,,,
Anchorage; AK,USA,61.216313,-149.894852,Yes,,,
Angus,Canada,44.31963,-79.88394,No,44.325539,-79.88837,"Latlong.net placed marker in residential area, moved to what seems like downtown area at intersection of highway 90 and Cecil St"
Antwerp,Belgium,51.219448,4.402464,Yes,,,
Armidale,Australia,-30.51296,151.66942,Yes,,,
Athens; GA,USA,33.959768,-83.376398,Yes,,,
Atlanta,USA,33.74855,-84.391502,No,33.757758,-84.388372,Moved to more urban area near Atlanta Central Library
Atlantic City; NJ,USA,39.364285,-74.422935,No,39.356273,-74.436074,Might be better to move to near Caesar's casino
Austin,USA,30.267153,-97.743057,Yes,,,
Baltimore,USA,39.29044,-76.612328,Yes,,,
Barrie,Canada,44.389339,-79.685516,Yes,,,
"Baton Rouge, LA",USA,30.443319,-91.187492,No,30.447963,-91.18898,"Moved more downtown, near LSU Museum of Art"
Beijing,China,39.904202,116.407394,Yes,,,
Berlin,Germany,52.520008,13.404954,No,52.513592,13.392534,Moved to more urban area near Gendarmenmarkt
Bern,Switzerland,46.947975,7.447447,Yes,,,
Birmingham,UK,52.486244,-1.890401,No,52.480791,-1.898835,Moved to more urban area near Cathedral Square
Bogota,Colombia,4.598077,-74.076103,No,4.627184,-74.106993,Moved to highway because more urban and more in line with transect
Boston,USA,42.360081,-71.058884,No,42.356666,-71.05574,"Moved to more metropolitan area, centred in Post Office Square"
Bradford,Canada,44.111832,-79.568123,No,44.114297,-79.564777,"Latlong.net placed marker in residential area, moved to more urban area at intersection of Holland and Simcoe St"
Brantford,Canada,43.13941,-80.26365,Yes,,,
Brighton,UK,50.822041,-0.137406,Yes,,,
Brussels,Belgium,50.845539,4.35571,Yes,,,
Bucaramanga,Colombia,7.13118,-73.125031,No,7.119184,-73.122692,"Latlong.net marker def not city center, but not 100% of if what I chose is ok. Wiki says center is downtown, so seems ok?"
Buenos Aires,Argentina,-34.603683,-58.381557,Yes,,,
Burlington; VT,USA,44.476299,-73.213547,Yes,,,
"Calgary, AB",Canada,51.04731,-114.057968,No,51.047329,-114.072387,Moved to Courthouse Park because looks more urban
Cambridge,UK,52.205338,0.121817,Yes,,,
Canberra,Australia,-35.280781,149.131393,Yes,-35.308275,149.124322,Transect starts at Parliament House and goes southeast. Included that as moved latlong in case that might be better.
Cape Town,South Africa,-33.92487,18.424055,Yes,,,
Charleston; SC,USA,32.787601,-79.940273,No,,,Moved to more urban area near
Charlotte,USA,35.223789,-80.841141,No,35.226888,-80.84369,Moved to more urban area near Battle of Charlotte Marker
Charlottetown; PEI,Canada,46.23542,-63.12652,Yes,,,
Chengdu,China,30.671949,104.068069,No,30.657797,104.065955,"Moved to more urban area near ""天府广场"" subway station "
Chicago; IL,USA,41.878113,-87.629799,Yes,,,
Christchurch,New Zealand,-43.532055,172.63623,Yes,,,
Cincinnati,USA,39.103119,-84.512016,Yes,,,
Cleveland,USA,41.499321,-81.694359,Yes,,,
Cobourg,Canada,43.9599,-78.16545,Yes,,,
Cologne,Germany,50.940529,6.95991,Yes,,,
Curitiba,Brazil,-25.42836,-49.273251,Yes,-25.433386,-49.271747,"I wonder if the second location might be better, just a slight shift though."
"Dauphin, MB",Canada,51.14967,-100.04991,Yes,,,
Denver,USA,39.739143,-104.984695,No,39.745485,-104.990108,Moved to more urban area near intersection of 17th street and Welton St
Detroit,USA,42.332939,-83.047836,Yes,,,
"Edmonton, AB",Canada,53.544388,-113.490929,Yes,,,
Ellisville,USA,38.594105,-90.58751,Yes,,,
Elmira,Canada,43.59304,-80.56098,No,43.599976,-80.55778,"Latlong.net placed marker in center of city, but is not most urban. Moved to intersection of Arthur and Church St"
Everett,Canada,44.19047,-79.93722,Yes,,,"City seems uniformly residential, and marker from latlong.net is more or less in middle so did not move it"
Fergus,Canada,43.70367,-80.37953,Yes,,,
"Fort Collins, CO",USA,40.550853,-105.066809,No,40.587751,-105.076,"Latlong.net did not place marker in center of city, moved to Downtown Fort Collins"
Frankfurt am Main,Germany,50.110644,8.682092,Yes,,,
"Fredericton, NB",Canada,45.966427,-66.645813,No,45.962041,-66.643934,Changed manually to intersection of King and York because latlong.net was not accurate
Freehold; NJ,USA,40.26011,-74.273757,Yes,,,
Georgetown,Canada,43.647171,-79.911003,No,43.651146,-79.898875,"Latlong.net placed marker in residential area, so moved to more urban area near Mold-Masters Sportsplex Park"
Ghent,Belgium,51.053829,3.725012,Yes,,,
Glasgow,UK,55.865681,-4.25714,Yes,,,
Guadalajara (Jalisco) ,Mexico,20.675171,-103.347328,Yes,,,
Guelph,Canada,43.54481,-80.24811,Yes,,,
"Halifax, NS",Canada,44.648766,-63.575237,Yes,,,
Halle (Saale),Germany,51.482504,11.970545,Yes,,,
Helsinki,Finland,60.169857,24.938379,Yes,,,
Hempstead; NY ,USA,40.706319,-73.618684,No,40.705561,-73.625962,"Moved closer to urban centre, intersection of Front St and N Franklin St"
Hiroshima,Japan,34.385204,132.455292,Yes,,,
