OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,cobourg_017029_20160630_LST_pcs_OID,cobourg_017029_20160630_LST_pcs_FID_,cobourg_017029_20160630_LST_pcs_COUNT,cobourg_017029_20160630_LST_pcs_AREA,cobourg_017029_20160630_LST_pcs_MEAN
-1,Cobourg,1,43.958990000000000,-78.164090999999999,NA,NA,0.150000000000000,43.959899999999998,-78.165450000000007,North America,0.148563851549000,6.321471327270000,0.023500000000000,100.000000000000000,0,0,0,35,31500.000000000000000,36.336060561399997
-1,Cobourg,2,43.959794000000002,-78.162046000000004,NA,NA,0.250000000000000,43.959899999999998,-78.165450000000007,North America,0.272714556172000,6.321471327270000,0.043100000000000,100.000000000000000,1,1,1,34,30600.000000000000000,32.516832644799997
-1,Cobourg,3,43.960808999999998,-78.159431999999995,NA,NA,0.750000000000000,43.959899999999998,-78.165450000000007,North America,0.492173573102000,6.321471327270000,0.077900000000000,100.000000000000000,2,2,2,36,32400.000000000000000,33.349191743200002
-1,Cobourg,4,43.961004000000003,-78.157285000000002,NA,NA,0.350000000000000,43.959899999999998,-78.165450000000007,North America,0.664958139827000,6.321471327270000,0.105200000000000,100.000000000000000,3,3,3,32,28800.000000000000000,33.319700986100003
-1,Cobourg,5,43.962499999999999,-78.155902999999995,NA,NA,0.150000000000000,43.959899999999998,-78.165450000000007,North America,0.816997099645000,6.321471327270000,0.129200000000000,100.000000000000000,4,4,4,35,31500.000000000000000,33.969926555000001
-1,Cobourg,6,43.962896000000001,-78.152984000000004,NA,NA,0.200000000000000,43.959899999999998,-78.165450000000007,North America,1.051911865500000,6.321471327270000,0.166400000000000,100.000000000000000,5,5,5,34,30600.000000000000000,37.409050234600002
-1,Cobourg,7,43.963482999999997,-78.150486999999998,NA,NA,0.050000000000000,43.959899999999998,-78.165450000000007,North America,1.262148246420000,6.321471327270000,0.199700000000000,100.000000000000000,6,6,6,36,32400.000000000000000,32.807629076100000
-1,Cobourg,8,43.964027000000002,-78.148149000000004,NA,NA,0.150000000000000,43.959899999999998,-78.165450000000007,North America,1.458800108470000,6.321471327270000,0.230800000000000,100.000000000000000,7,7,7,35,31500.000000000000000,33.356794023100001
-1,Cobourg,9,43.964506000000000,-78.146426000000005,NA,NA,0.150000000000000,43.959899999999998,-78.165450000000007,North America,1.606470023830000,6.321471327270000,0.254100000000000,100.000000000000000,8,8,8,28,25200.000000000000000,33.406675925800002
-1,Cobourg,10,43.964964999999999,-78.143603999999996,NA,NA,0.100000000000000,43.959899999999998,-78.165450000000007,North America,1.836967972430000,6.321471327270000,0.290600000000000,100.000000000000000,9,9,9,35,31500.000000000000000,33.913184260199998
-1,Cobourg,11,43.965513999999999,-78.141013999999998,NA,NA,0.100000000000000,43.959899999999998,-78.165450000000007,North America,2.052996875800000,6.321471327270000,0.324800000000000,100.000000000000000,10,10,10,35,31500.000000000000000,33.443777927200003
-1,Cobourg,12,43.966107999999998,-78.138603000000003,NA,NA,0.250000000000000,43.959899999999998,-78.165450000000007,North America,2.256906889510000,6.321471327270000,0.357000000000000,100.000000000000000,11,11,11,37,33300.000000000000000,33.879616685099997
-1,Cobourg,13,43.966028999999999,-78.135998999999998,NA,NA,0.050000000000000,43.959899999999998,-78.165450000000007,North America,2.453709182050000,6.321471327270000,0.388200000000000,100.000000000000000,12,12,12,37,33300.000000000000000,36.230696883999997
-1,Cobourg,14,43.965940000000003,-78.133663999999996,NA,NA,0.150000000000000,43.959899999999998,-78.165450000000007,North America,2.631211947620000,6.321471327270000,0.416200000000000,100.000000000000000,13,13,13,35,31500.000000000000000,34.315123926200002
-1,Cobourg,15,43.967398000000003,-78.132893999999993,NA,NA,0.100000000000000,43.959899999999998,-78.165450000000007,North America,2.735787172940000,6.321471327270000,0.432800000000000,100.000000000000000,14,14,14,33,29700.000000000000000,29.003918817700001
-1,Cobourg,16,43.969417999999997,-78.128614999999996,NA,NA,0.100000000000000,43.959899999999998,-78.165450000000007,North America,3.132291053010000,6.321471327270000,0.495500000000000,100.000000000000000,15,15,15,35,31500.000000000000000,34.016343497199998
-1,Cobourg,17,43.969839999999998,-78.126669000000007,NA,NA,0.315789474000000,43.959899999999998,-78.165450000000007,North America,3.294733892620000,6.321471327270000,0.521200000000000,100.000000000000000,16,16,16,33,29700.000000000000000,35.299995351000000
-1,Cobourg,18,43.971496999999999,-78.123745000000000,NA,NA,0.050000000000000,43.959899999999998,-78.165450000000007,North America,3.578222646740000,6.321471327270000,0.566000000000000,100.000000000000000,17,17,17,36,32400.000000000000000,36.561929386700001
-1,Cobourg,19,43.971010999999997,-78.119860000000003,NA,NA,0.050000000000000,43.959899999999998,-78.165450000000007,North America,3.852224728350000,6.321471327270000,0.609400000000000,100.000000000000000,18,18,18,35,31500.000000000000000,33.920653288399997
-1,Cobourg,20,43.972002000000003,-78.116866000000002,NA,NA,0.250000000000000,43.959899999999998,-78.165450000000007,North America,4.114589701650000,6.321471327270000,0.650900000000000,100.000000000000000,19,19,19,36,32400.000000000000000,33.091097986199998
-1,Cobourg,21,43.971240999999999,-78.111309000000006,NA,NA,0.200000000000000,43.959899999999998,-78.165450000000007,North America,4.512859470090000,6.321471327270000,0.713900000000000,100.000000000000000,20,20,20,32,28800.000000000000000,31.028741918900000
