OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,philadelphia_014032_20170730_LST_pcs_OID,philadelphia_014032_20170730_LST_pcs_FID_,philadelphia_014032_20170730_LST_pcs_COUNT,philadelphia_014032_20170730_LST_pcs_AREA,philadelphia_014032_20170730_LST_pcs_MEAN
-1,Philadelphia,1,39.932980000000001,-75.164770000000004,14,1,0.071000000000000,39.951061000000003,-75.165619000000007,North America,2.011800000000000,53.254399999999997,0.037800000000000,100.000000000000000,0,0,0,32,28800.000000000000000,35.332293396899999
-1,Philadelphia,2,39.941549999999999,-75.162130000000005,13,3,0.231000000000000,39.951061000000003,-75.165619000000007,North America,1.098600000000000,53.254399999999997,0.020600000000000,100.000000000000000,1,1,1,37,33300.000000000000000,37.868841320100003
-1,Philadelphia,3,39.955260000000003,-75.151690000000002,15,1,0.067000000000000,39.951061000000003,-75.165619000000007,North America,1.275800000000000,53.254399999999997,0.024000000000000,100.000000000000000,2,2,2,36,32400.000000000000000,35.378659216400003
-1,Philadelphia,4,39.949900000000000,-75.150509999999997,15,6,0.400000000000000,39.951061000000003,-75.165619000000007,North America,1.294400000000000,53.254399999999997,0.024300000000000,100.000000000000000,3,3,3,37,33300.000000000000000,35.279505908200001
-1,Philadelphia,5,39.949240000000003,-75.169070000000005,15,0,0.000000000000000,39.951061000000003,-75.165619000000007,North America,0.357100000000000,53.254399999999997,0.006700000000000,100.000000000000000,4,4,4,35,31500.000000000000000,35.551632534200003
-1,Philadelphia,6,39.957389999999997,-75.171800000000005,15,4,0.267000000000000,39.951061000000003,-75.165619000000007,North America,0.879100000000000,53.254399999999997,0.016500000000000,100.000000000000000,5,5,5,34,30600.000000000000000,35.102318073399999
-1,Philadelphia,7,39.950409999999998,-75.191500000000005,15,5,0.333000000000000,39.951061000000003,-75.165619000000007,North America,2.207300000000000,53.254399999999997,0.041400000000000,100.000000000000000,6,6,6,35,31500.000000000000000,37.371591383499997
-1,Philadelphia,8,39.954030000000003,-75.201999999999998,15,2,0.133000000000000,39.951061000000003,-75.165619000000007,North America,3.118600000000000,53.254399999999997,0.058600000000000,100.000000000000000,7,7,7,32,28800.000000000000000,34.428662404800001
-1,Philadelphia,9,39.956730000000000,-75.213350000000005,15,6,0.400000000000000,39.951061000000003,-75.165619000000007,North America,4.117000000000000,53.254399999999997,0.077300000000000,100.000000000000000,8,8,8,35,31500.000000000000000,38.006491281199999
-1,Philadelphia,10,39.953400000000002,-75.225840000000005,14,1,0.071000000000000,39.951061000000003,-75.165619000000007,North America,5.139800000000000,53.254399999999997,0.096500000000000,100.000000000000000,9,9,9,33,29700.000000000000000,36.806169932000003
