OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,sudbury_019028_20180704_LST_pcs_OID,sudbury_019028_20180704_LST_pcs_FID_,sudbury_019028_20180704_LST_pcs_COUNT,sudbury_019028_20180704_LST_pcs_AREA,sudbury_019028_20180704_LST_pcs_MEAN
-1,Sudbury,1,46.406500000000001,-80.992500000000007,10,0,0,46.492094999999999,-80.993640999999997,Canada,North America,9.518100000000000,9.518100000000000,1,100.000000000000000,0,0,0,37,33300.000000000000000,35.920196910100003
-1,Sudbury,2,46.420499999999997,-81.009699999999995,10,0,0,46.492094999999999,-80.993640999999997,Canada,North America,8.055500000000000,9.518100000000000,1,100.000000000000000,1,1,1,36,32400.000000000000000,35.963491063299998
-1,Sudbury,3,46.424799999999998,-81.010499999999993,10,0,0,46.492094999999999,-80.993640999999997,Canada,North America,7.593500000000000,9.518100000000000,1,100.000000000000000,2,2,2,35,31500.000000000000000,37.139909812200003
-1,Sudbury,4,46.429000000000002,-81.009500000000003,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,7.120200000000000,9.518100000000000,1,100.000000000000000,3,3,3,32,28800.000000000000000,38.401739145900002
-1,Sudbury,5,46.439599999999999,-81.004599999999996,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,5.897200000000000,9.518100000000000,1,100.000000000000000,4,4,4,35,31500.000000000000000,40.759632893899997
-1,Sudbury,6,46.445599999999999,-81.005600000000001,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,5.250500000000000,9.518100000000000,1,100.000000000000000,5,5,5,36,32400.000000000000000,41.772119367800002
-1,Sudbury,7,46.450899999999997,-81.002700000000004,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,4.632900000000000,9.518100000000000,0,100.000000000000000,6,6,6,35,31500.000000000000000,45.530658818399999
-1,Sudbury,8,46.457000000000001,-81.000799999999998,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,3.940700000000000,9.518100000000000,0,100.000000000000000,7,7,7,35,31500.000000000000000,38.832333091000002
-1,Sudbury,9,46.461799999999997,-81.000100000000003,10,0,0,46.492094999999999,-80.993640999999997,Canada,North America,3.404800000000000,9.518100000000000,0,100.000000000000000,8,8,8,35,31500.000000000000000,41.764210991500001
-1,Sudbury,10,46.466500000000003,-80.998300000000000,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,2.868300000000000,9.518100000000000,0,100.000000000000000,9,9,9,36,32400.000000000000000,41.916455168299997
-1,Sudbury,11,46.476100000000002,-80.994299999999996,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,1.779300000000000,9.518100000000000,0,100.000000000000000,10,10,10,35,31500.000000000000000,39.926765124200003
-1,Sudbury,12,46.480400000000003,-80.989500000000007,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,1.338500000000000,9.518100000000000,0,100.000000000000000,11,11,11,36,32400.000000000000000,39.278258653700000
-1,Sudbury,13,46.483199999999997,-80.989000000000004,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,1.051000000000000,9.518100000000000,0,100.000000000000000,12,12,12,37,33300.000000000000000,40.356796897899997
-1,Sudbury,14,46.489300000000000,-80.988900000000001,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,0.477800000000000,9.518100000000000,0,100.000000000000000,13,13,13,36,32400.000000000000000,42.826808273700003
-1,Sudbury,15,46.491700000000002,-80.989599999999996,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,0.312500000000000,9.518100000000000,0,100.000000000000000,14,14,14,35,31500.000000000000000,43.798169745499997
-1,Sudbury,16,46.494199999999999,-80.990200000000002,10,0,0,46.492094999999999,-80.993640999999997,Canada,North America,0.352400000000000,9.518100000000000,0,100.000000000000000,15,15,15,35,31500.000000000000000,41.521098707400000
-1,Sudbury,17,46.498899999999999,-80.986999999999995,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,0.911600000000000,9.518100000000000,0,100.000000000000000,16,16,16,34,30600.000000000000000,42.234744388599999
-1,Sudbury,18,46.502699999999997,-80.986599999999996,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,1.296500000000000,9.518100000000000,0,100.000000000000000,17,17,17,36,32400.000000000000000,43.983179829900003
-1,Sudbury,19,46.506500000000003,-80.987099999999998,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,1.678200000000000,9.518100000000000,0,100.000000000000000,18,18,18,32,28800.000000000000000,43.115513934100001
-1,Sudbury,20,46.510599999999997,-80.986300000000000,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,2.133000000000000,9.518100000000000,0,100.000000000000000,19,19,19,35,31500.000000000000000,43.266936046500000
