OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,loja_010063_20161120_LST_pcs_OID,loja_010063_20161120_LST_pcs_FID_,loja_010063_20161120_LST_pcs_COUNT,loja_010063_20161120_LST_pcs_AREA,loja_010063_20161120_LST_pcs_MEAN
-1,Loja,1,-4.065400000000000,-79.197400000000002,20,15,0.750000000000000,-3.997781000000000,-79.202451999999994,South America,7.539700000000000,7.539700000000000,1.000000000000000,100.000000000000000,0,0,0,35,31500.000000000000000,28.146483880600002
-1,Loja,2,-4.063700000000000,-79.197500000000005,20,13,0.650000000000000,-3.997781000000000,-79.202451999999994,South America,7.350400000000000,7.539700000000000,0.974900000000000,100.000000000000000,1,1,1,35,31500.000000000000000,29.004719803899999
-1,Loja,3,-4.062000000000000,-79.197100000000006,20,7,0.350000000000000,-3.997781000000000,-79.202451999999994,South America,7.165500000000000,7.539700000000000,0.950400000000000,100.000000000000000,2,2,2,32,28800.000000000000000,28.787533004600000
-1,Loja,4,-4.060600000000000,-79.197000000000003,20,8,0.400000000000000,-3.997781000000000,-79.202451999999994,South America,7.011300000000000,7.539700000000000,0.929900000000000,100.000000000000000,3,3,3,31,27900.000000000000000,29.965999040700002
-1,Loja,5,-4.059400000000000,-79.196700000000007,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,6.881400000000000,7.539700000000000,0.912700000000000,100.000000000000000,4,4,4,28,25200.000000000000000,29.994448616700002
-1,Loja,6,-4.056900000000000,-79.197400000000002,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,6.597600000000000,7.539700000000000,0.875000000000000,100.000000000000000,5,5,5,35,31500.000000000000000,31.315405345500000
-1,Loja,7,-4.055500000000000,-79.197999999999993,20,7,0.350000000000000,-3.997781000000000,-79.202451999999994,South America,6.437000000000000,7.539700000000000,0.853700000000000,100.000000000000000,6,6,6,34,30600.000000000000000,30.393253006300000
-1,Loja,8,-4.053800000000000,-79.198899999999995,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,6.241500000000000,7.539700000000000,0.827800000000000,100.000000000000000,7,7,7,36,32400.000000000000000,30.943362368199999
-1,Loja,9,-4.052000000000000,-79.198300000000003,20,0,0.000000000000000,-3.997781000000000,-79.202451999999994,South America,6.046400000000000,7.539700000000000,0.801900000000000,100.000000000000000,8,8,8,35,31500.000000000000000,29.942693785100001
-1,Loja,10,-4.049900000000000,-79.197800000000001,20,6,0.300000000000000,-3.997781000000000,-79.202451999999994,South America,5.818300000000000,7.539700000000000,0.771700000000000,100.000000000000000,9,9,9,35,31500.000000000000000,31.238769427200001
-1,Loja,11,-4.048100000000000,-79.197900000000004,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,5.618000000000000,7.539700000000000,0.745100000000000,100.000000000000000,10,10,10,35,31500.000000000000000,32.410906861199997
-1,Loja,12,-4.046300000000000,-79.197800000000001,20,3,0.150000000000000,-3.997781000000000,-79.202451999999994,South America,5.419700000000000,7.539700000000000,0.718800000000000,100.000000000000000,11,11,11,35,31500.000000000000000,32.485294335200003
-1,Loja,13,-4.044200000000000,-79.198300000000003,20,2,0.100000000000000,-3.997781000000000,-79.202451999999994,South America,5.182100000000000,7.539700000000000,0.687300000000000,100.000000000000000,12,12,12,36,32400.000000000000000,30.259029122800001
-1,Loja,14,-4.042400000000000,-79.199799999999996,20,4,0.200000000000000,-3.997781000000000,-79.202451999999994,South America,4.970100000000000,7.539700000000000,0.659200000000000,100.000000000000000,13,13,13,36,32400.000000000000000,28.951946397200000
