OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,fort_collins_034032_20180611_LST_pcs_OID,fort_collins_034032_20180611_LST_pcs_FID_,fort_collins_034032_20180611_LST_pcs_COUNT,fort_collins_034032_20180611_LST_pcs_AREA,fort_collins_034032_20180611_LST_pcs_MEAN
-1,Fort_Collins,1,40.567687999999997,-105.075532999999993,14,0,0,40.587750999999997,-105.075999999999993,USA,North America,2.231300000000000,4.985300000000000,0.447600000000000,100.000000000000000,0,0,0,32,28800.000000000000000,35.823523896300003
-1,Fort_Collins,2,40.574267999999996,-105.072878000000003,18,3,0,40.587750999999997,-105.075999999999993,USA,North America,1.522200000000000,4.985300000000000,0.305300000000000,100.000000000000000,1,1,1,35,31500.000000000000000,34.650614830300000
-1,Fort_Collins,3,40.578567000000000,-105.071955000000003,21,12,1,40.587750999999997,-105.075999999999993,USA,North America,1.076800000000000,4.985300000000000,0.216000000000000,100.000000000000000,2,2,2,32,28800.000000000000000,35.058258953100001
-1,Fort_Collins,4,40.582962000000002,-105.075603999999998,14,3,0,40.587750999999997,-105.075999999999993,USA,North America,0.533600000000000,4.985300000000000,0.107000000000000,100.000000000000000,3,3,3,35,31500.000000000000000,37.018930825200002
-1,Fort_Collins,5,40.584715000000003,-105.074282999999994,21,4,0,40.587750999999997,-105.075999999999993,USA,North America,0.367400000000000,4.985300000000000,0.073700000000000,100.000000000000000,4,4,4,35,31500.000000000000000,36.197724418999996
-1,Fort_Collins,6,40.587133999999999,-105.075438000000005,11,1,0,40.587750999999997,-105.075999999999993,USA,North America,0.083400000000000,4.985300000000000,0.016700000000000,100.000000000000000,5,5,5,36,32400.000000000000000,39.051817434199997
-1,Fort_Collins,7,40.585507999999997,-105.080185999999998,20,2,0,40.587750999999997,-105.075999999999993,USA,North America,0.432600000000000,4.985300000000000,0.086800000000000,100.000000000000000,6,6,6,32,28800.000000000000000,36.226631446600003
-1,Fort_Collins,8,40.575757000000003,-105.075588999999994,13,2,0,40.587750999999997,-105.075999999999993,USA,North America,1.334100000000000,4.985300000000000,0.267600000000000,100.000000000000000,7,7,7,35,31500.000000000000000,36.000727617499997
-1,Fort_Collins,9,40.572884999999999,-105.082779000000002,13,0,0,40.587750999999997,-105.075999999999993,USA,North America,1.749400000000000,4.985300000000000,0.350900000000000,100.000000000000000,8,8,8,35,31500.000000000000000,34.396717371400001
-1,Fort_Collins,10,40.589376999999999,-105.082058000000004,16,1,0,40.587750999999997,-105.075999999999993,USA,North America,0.542600000000000,4.985300000000000,0.108800000000000,100.000000000000000,9,9,9,35,31500.000000000000000,34.511440253899998
-1,Fort_Collins,11,40.590859000000002,-105.078370000000007,11,3,0,40.587750999999997,-105.075999999999993,USA,North America,0.399400000000000,4.985300000000000,0.080100000000000,100.000000000000000,10,10,10,35,31500.000000000000000,39.168817133600001
-1,Fort_Collins,12,40.593927999999998,-105.076285999999996,11,1,0,40.587750999999997,-105.075999999999993,USA,North America,0.687300000000000,4.985300000000000,0.137900000000000,100.000000000000000,11,11,11,32,28800.000000000000000,36.313900264600001
-1,Fort_Collins,13,40.597329999999999,-105.076346999999998,11,0,0,40.587750999999997,-105.075999999999993,USA,North America,1.065500000000000,4.985300000000000,0.213700000000000,100.000000000000000,12,12,12,35,31500.000000000000000,37.398447498300001
-1,Fort_Collins,14,40.597467000000002,-105.070345000000003,12,0,0,40.587750999999997,-105.075999999999993,USA,North America,1.181200000000000,4.985300000000000,0.236900000000000,100.000000000000000,13,13,13,34,30600.000000000000000,37.917250194499999
-1,Fort_Collins,15,40.591482999999997,-105.072687999999999,14,2,0,40.587750999999997,-105.075999999999993,USA,North America,0.500400000000000,4.985300000000000,0.100400000000000,100.000000000000000,14,14,14,32,28800.000000000000000,36.015563246399999
-1,Fort_Collins,16,40.593138000000003,-105.070189999999997,10,0,0,40.587750999999997,-105.075999999999993,USA,North America,0.774300000000000,4.985300000000000,0.155300000000000,100.000000000000000,15,15,15,32,28800.000000000000000,36.698791003099998
-1,Fort_Collins,17,40.600178000000000,-105.067216999999999,13,1,0,40.587750999999997,-105.075999999999993,USA,North America,1.568200000000000,4.985300000000000,0.314600000000000,100.000000000000000,16,16,16,36,32400.000000000000000,37.694918950999998
-1,Fort_Collins,18,40.604292000000001,-105.068464000000006,10,0,0,40.587750999999997,-105.075999999999993,USA,North America,1.946200000000000,4.985300000000000,0.390400000000000,100.000000000000000,17,17,17,35,31500.000000000000000,36.845396352300000
-1,Fort_Collins,19,40.607272000000002,-105.063445000000002,14,1,0,40.587750999999997,-105.075999999999993,USA,North America,2.415600000000000,4.985300000000000,0.484500000000000,100.000000000000000,18,18,18,36,32400.000000000000000,35.084897637799997
-1,Fort_Collins,20,40.609276000000001,-105.058682000000005,16,1,0,40.587750999999997,-105.075999999999993,USA,North America,2.804700000000000,4.985300000000000,0.562600000000000,100.000000000000000,19,19,19,35,31500.000000000000000,32.705271980799999
-1,Fort_Collins,21,40.609903000000003,-105.062888000000001,12,3,0,40.587750999999997,-105.075999999999993,USA,North America,2.700500000000000,4.985300000000000,0.541700000000000,100.000000000000000,20,20,20,32,28800.000000000000000,33.032748822099997
-1,Fort_Collins,22,40.616928999999999,-105.062888000000001,12,10,1,40.587750999999997,-105.075999999999993,USA,North America,3.428100000000000,4.985300000000000,0.687600000000000,100.000000000000000,21,21,21,32,28800.000000000000000,38.077463997499997
-1,Fort_Collins,24,40.632528000000001,-105.073021999999995,11,0,0,40.587750999999997,-105.075999999999993,USA,North America,4.985300000000000,4.985300000000000,1.000000000000000,100.000000000000000,22,22,22,36,32400.000000000000000,32.135685002999999
