OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,manchester_203023_20180627_LST_pcs_OID,manchester_203023_20180627_LST_pcs_FID_,manchester_203023_20180627_LST_pcs_COUNT,manchester_203023_20180627_LST_pcs_AREA,manchester_203023_20180627_LST_pcs_MEAN
-1,Manchester,1,53.476500000000001,-2.235900000000000,18,0,0.000000000000000,53.480758999999999,-2.242631000000000,Europe,0.650100000000000,33.088000000000001,0.019600000000000,100.000000000000000,0,0,0,34,30600.000000000000000,37.634783959600000
-1,Manchester,2,53.473100000000002,-2.234000000000000,20,7,0.350000000000000,53.480758999999999,-2.242631000000000,Europe,1.025400000000000,33.088000000000001,0.031000000000000,100.000000000000000,1,1,1,35,31500.000000000000000,37.897223706100000
-1,Manchester,3,53.466200000000001,-2.247200000000000,20,3,0.150000000000000,53.480758999999999,-2.242631000000000,Europe,1.646900000000000,33.088000000000001,0.049800000000000,100.000000000000000,2,2,2,36,32400.000000000000000,37.596699479400002
-1,Manchester,4,53.458300000000001,-2.244100000000000,19,14,0.737000000000000,53.480758999999999,-2.242631000000000,Europe,2.499200000000000,33.088000000000001,0.075500000000000,100.000000000000000,3,3,3,33,29700.000000000000000,39.807386727400001
-1,Manchester,5,53.454599999999999,-2.246200000000000,19,8,0.421000000000000,53.480758999999999,-2.242631000000000,Europe,2.918300000000000,33.088000000000001,0.088200000000000,100.000000000000000,4,4,4,37,33300.000000000000000,40.177862175599998
-1,Manchester,6,53.450000000000003,-2.246300000000000,20,0,0.000000000000000,53.480758999999999,-2.242631000000000,Europe,3.428900000000000,33.088000000000001,0.103600000000000,100.000000000000000,5,5,5,36,32400.000000000000000,35.983841327699999
-1,Manchester,7,53.446500000000000,-2.244300000000000,18,9,0.500000000000000,53.480758999999999,-2.242631000000000,Europe,3.811000000000000,33.088000000000001,0.115200000000000,100.000000000000000,6,6,6,35,31500.000000000000000,39.477119050200002
-1,Manchester,8,53.439799999999998,-2.246000000000000,19,2,0.105000000000000,53.480758999999999,-2.242631000000000,Europe,4.559900000000000,33.088000000000001,0.137800000000000,100.000000000000000,7,7,7,36,32400.000000000000000,37.837662018700001
-1,Manchester,9,53.430399999999999,-2.255600000000000,20,7,0.350000000000000,53.480758999999999,-2.242631000000000,Europe,5.665100000000000,33.088000000000001,0.171200000000000,100.000000000000000,8,8,8,35,31500.000000000000000,34.141716170499997
-1,Manchester,10,53.425699999999999,-2.254900000000000,20,6,0.300000000000000,53.480758999999999,-2.242631000000000,Europe,6.175900000000000,33.088000000000001,0.186700000000000,100.000000000000000,9,9,9,35,31500.000000000000000,37.429868255899997
