OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,new_york_014031_20170730_LST_pcs_OID,new_york_014031_20170730_LST_pcs_FID_,new_york_014031_20170730_LST_pcs_COUNT,new_york_014031_20170730_LST_pcs_AREA,new_york_014031_20170730_LST_pcs_MEAN
-1,New_York,1,41.066839999999999,-73.766440000000003,20,7,0.350000000000000,40.730862000000002,-73.987155999999999,North America,41.711300000000001,51.164200000000001,0.815200000000000,100.000000000000000,0,0,0,33,29700.000000000000000,27.634646004800000
-1,New_York,10,40.988979999999998,-73.796189999999996,20,2,0.100000000000000,40.730862000000002,-73.987155999999999,North America,32.889000000000003,51.164200000000001,0.642800000000000,100.000000000000000,1,1,1,36,32400.000000000000000,28.640061397899998
-1,New_York,11-I,40.982909999999997,-73.801929999999999,20,3,0.150000000000000,40.730862000000002,-73.987155999999999,North America,32.064799999999998,51.164200000000001,0.626700000000000,100.000000000000000,2,2,2,36,32400.000000000000000,28.604063271400001
-1,New_York,11-II,40.972490000000001,-73.805999999999997,20,3,0.150000000000000,40.730862000000002,-73.987155999999999,North America,30.887499999999999,51.164200000000001,0.603700000000000,100.000000000000000,3,3,3,35,31500.000000000000000,33.080588078399998
-1,New_York,13,40.963749999999997,-73.811160000000001,20,8,0.400000000000000,40.730862000000002,-73.987155999999999,North America,29.828700000000001,51.164200000000001,0.583000000000000,100.000000000000000,4,4,4,32,28800.000000000000000,30.247130420900000
-1,New_York,14,40.953930000000000,-73.815340000000006,20,2,0.100000000000000,40.730862000000002,-73.987155999999999,North America,28.707699999999999,51.164200000000001,0.561100000000000,100.000000000000000,5,5,5,37,33300.000000000000000,35.346040025699999
-1,New_York,15,40.945529999999998,-73.820729999999998,20,3,0.150000000000000,40.730862000000002,-73.987155999999999,North America,27.672999999999998,51.164200000000001,0.540900000000000,100.000000000000000,6,6,6,33,29700.000000000000000,30.405132620500002
-1,New_York,16,40.936169999999997,-73.818179999999998,20,1,0.050000000000000,40.730862000000002,-73.987155999999999,North America,26.893699999999999,51.164200000000001,0.525600000000000,100.000000000000000,7,7,7,37,33300.000000000000000,28.611095290400002
-1,New_York,17,40.928280000000001,-73.821340000000006,20,3,0.150000000000000,40.730862000000002,-73.987155999999999,North America,26.010000000000002,51.164200000000001,0.508400000000000,100.000000000000000,8,8,8,35,31500.000000000000000,28.974470821899999
-1,New_York,18,40.922080000000001,-73.824309999999997,18,2,0.111000000000000,40.730862000000002,-73.987155999999999,North America,25.295000000000002,51.164200000000001,0.494400000000000,100.000000000000000,9,9,9,34,30600.000000000000000,30.396674690099999
-1,New_York,19,40.917079999999999,-73.835650000000001,19,2,0.105000000000000,40.730862000000002,-73.987155999999999,North America,24.316199999999998,51.164200000000001,0.475300000000000,100.000000000000000,10,10,10,36,32400.000000000000000,31.977836770300001
-1,New_York,2,41.057639999999999,-73.765860000000004,17,6,0.353000000000000,40.730862000000002,-73.987155999999999,North America,40.820300000000003,51.164200000000001,0.797800000000000,100.000000000000000,11,11,11,32,28800.000000000000000,30.197228309400000
-1,New_York,20,40.913170000000001,-73.843810000000005,20,3,0.150000000000000,40.730862000000002,-73.987155999999999,North America,23.588899999999999,51.164200000000001,0.461000000000000,100.000000000000000,12,12,12,35,31500.000000000000000,36.570589895499999
-1,New_York,21,40.905690000000000,-73.845140000000001,20,4,0.200000000000000,40.730862000000002,-73.987155999999999,North America,22.819600000000001,51.164200000000001,0.446000000000000,100.000000000000000,13,13,13,36,32400.000000000000000,34.161597194999999
-1,New_York,22,40.899630000000002,-73.860900000000001,20,3,0.150000000000000,40.730862000000002,-73.987155999999999,North America,21.565200000000001,51.164200000000001,0.421500000000000,100.000000000000000,14,14,14,36,32400.000000000000000,30.193762902200000
-1,New_York,23,40.891460000000002,-73.863619999999997,20,0,0.000000000000000,40.730862000000002,-73.987155999999999,North America,20.663699999999999,51.164200000000001,0.403900000000000,100.000000000000000,15,15,15,36,32400.000000000000000,28.149038895699999
-1,New_York,24,40.884709999999998,-73.866330000000005,20,5,0.250000000000000,40.730862000000002,-73.987155999999999,North America,19.901399999999999,51.164200000000001,0.389000000000000,100.000000000000000,16,16,16,34,30600.000000000000000,29.471602945899999
-1,New_York,25,40.870190000000001,-73.875569999999996,20,4,0.200000000000000,40.730862000000002,-73.987155999999999,North America,18.117400000000000,51.164200000000001,0.354100000000000,100.000000000000000,17,17,17,37,33300.000000000000000,29.352895426000000
-1,New_York,26,40.865670000000001,-73.896450000000002,20,5,0.250000000000000,40.730862000000002,-73.987155999999999,North America,16.822500000000002,51.164200000000001,0.328800000000000,100.000000000000000,18,18,18,32,28800.000000000000000,32.319421498600001
-1,New_York,27,40.850270000000002,-73.901240000000001,20,2,0.100000000000000,40.730862000000002,-73.987155999999999,North America,15.119800000000000,51.164200000000001,0.295500000000000,100.000000000000000,19,19,19,35,31500.000000000000000,33.928952249900000
-1,New_York,28,40.841610000000003,-73.905720000000002,20,3,0.150000000000000,40.730862000000002,-73.987155999999999,North America,14.094600000000000,51.164200000000001,0.275500000000000,100.000000000000000,20,20,20,35,31500.000000000000000,29.688908915500001
-1,New_York,29,40.834119999999999,-73.922690000000003,20,0,0.000000000000000,40.730862000000002,-73.987155999999999,North America,12.700100000000001,51.164200000000001,0.248200000000000,100.000000000000000,21,21,21,34,30600.000000000000000,32.368089035399997
-1,New_York,3,41.048729999999999,-73.770780000000002,19,12,0.632000000000000,40.730862000000002,-73.987155999999999,North America,39.750599999999999,51.164200000000001,0.776900000000000,100.000000000000000,22,22,22,36,32400.000000000000000,29.512620957199999
-1,New_York,30,40.828650000000003,-73.923040000000000,20,2,0.100000000000000,40.730862000000002,-73.987155999999999,North America,12.139900000000001,51.164200000000001,0.237300000000000,100.000000000000000,23,23,23,32,28800.000000000000000,31.841839249000000
-1,New_York,31,40.821730000000002,-73.926800000000000,20,1,0.050000000000000,40.730862000000002,-73.987155999999999,North America,11.310200000000000,51.164200000000001,0.221100000000000,100.000000000000000,24,24,24,35,31500.000000000000000,31.243441731400001
-1,New_York,32,40.823630000000001,-73.943029999999993,14,4,0.286000000000000,40.730862000000002,-73.987155999999999,North America,10.964100000000000,51.164200000000001,0.214300000000000,100.000000000000000,25,25,25,35,31500.000000000000000,33.044784399900003
-1,New_York,33,40.817160000000001,-73.948830000000001,20,4,0.200000000000000,40.730862000000002,-73.987155999999999,North America,10.124100000000000,51.164200000000001,0.197900000000000,100.000000000000000,26,26,26,34,30600.000000000000000,29.723651028900001
-1,New_York,34,40.809620000000002,-73.955560000000006,20,0,0.000000000000000,40.730862000000002,-73.987155999999999,North America,9.152799999999999,51.164200000000001,0.178900000000000,100.000000000000000,27,27,27,37,33300.000000000000000,31.574536602599999
-1,New_York,35,40.802370000000003,-73.960599999999999,20,5,0.250000000000000,40.730862000000002,-73.987155999999999,North America,8.259900000000000,51.164200000000001,0.161400000000000,100.000000000000000,28,28,28,35,31500.000000000000000,31.196233355899999
-1,New_York,36,40.771529999999998,-73.974729999999994,20,4,0.200000000000000,40.730862000000002,-73.987155999999999,North America,4.641600000000000,51.164200000000001,0.090700000000000,100.000000000000000,29,29,29,35,31500.000000000000000,28.703437503699998
-1,New_York,37,41.120379999999997,-73.748369999999994,20,6,0.300000000000000,40.730862000000002,-73.987155999999999,North America,47.732799999999997,51.164200000000001,0.932900000000000,100.000000000000000,30,30,30,36,32400.000000000000000,23.559795638499999
-1,New_York,38,41.118360000000003,-73.757850000000005,20,0,0.000000000000000,40.730862000000002,-73.987155999999999,North America,47.198599999999999,51.164200000000001,0.922500000000000,100.000000000000000,31,31,31,34,30600.000000000000000,28.218904919200000
-1,New_York,39,41.116090000000000,-73.770709999999994,20,5,0.250000000000000,40.730862000000002,-73.987155999999999,North America,46.535699999999999,51.164200000000001,0.909500000000000,100.000000000000000,32,32,32,36,32400.000000000000000,28.699278198599998
-1,New_York,4,41.039400000000001,-73.766520000000000,20,3,0.150000000000000,40.730862000000002,-73.987155999999999,North America,39.000700000000002,51.164200000000001,0.762300000000000,100.000000000000000,33,33,33,36,32400.000000000000000,31.222445810699998
-1,New_York,40,41.106520000000003,-73.777180000000001,20,8,0.400000000000000,40.730862000000002,-73.987155999999999,North America,45.344299999999997,51.164200000000001,0.886300000000000,100.000000000000000,34,34,34,35,31500.000000000000000,24.823232136900000
-1,New_York,41,41.098469999999999,-73.777450000000002,20,1,0.050000000000000,40.730862000000002,-73.987155999999999,North America,44.512500000000003,51.164200000000001,0.870000000000000,100.000000000000000,35,35,35,35,31500.000000000000000,30.449913773399999
-1,New_York,42,41.087470000000003,-73.775220000000004,20,6,0.300000000000000,40.730862000000002,-73.987155999999999,North America,43.469000000000001,51.164200000000001,0.849600000000000,100.000000000000000,36,36,36,34,30600.000000000000000,29.366149852400000
-1,New_York,43,41.073990000000002,-73.776420000000002,20,6,0.300000000000000,40.730862000000002,-73.987155999999999,North America,42.064399999999999,51.164200000000001,0.822100000000000,100.000000000000000,37,37,37,35,31500.000000000000000,27.896656926700000
-1,New_York,44,41.129140000000000,-73.779499999999999,20,7,0.350000000000000,40.730862000000002,-73.987155999999999,North America,47.598500000000001,51.164200000000001,0.930300000000000,100.000000000000000,38,38,38,32,28800.000000000000000,28.753253214600001
-1,New_York,45,41.138469999999998,-73.777600000000007,20,4,0.200000000000000,40.730862000000002,-73.987155999999999,North America,48.622300000000003,51.164200000000001,0.950300000000000,100.000000000000000,39,39,39,34,30600.000000000000000,26.933622958600001
-1,New_York,46,41.147509999999997,-73.776910000000001,20,7,0.350000000000000,40.730862000000002,-73.987155999999999,North America,49.580900000000000,51.164200000000001,0.969100000000000,100.000000000000000,40,40,40,35,31500.000000000000000,27.891678712499999
-1,New_York,47,41.155949999999997,-73.772679999999994,20,6,0.300000000000000,40.730862000000002,-73.987155999999999,North America,50.584000000000003,51.164200000000001,0.988700000000000,100.000000000000000,41,41,41,35,31500.000000000000000,28.874821311200002
-1,New_York,48,41.159260000000003,-73.764849999999996,19,2,0.105000000000000,40.730862000000002,-73.987155999999999,North America,51.164200000000001,51.164200000000001,1.000000000000000,100.000000000000000,42,42,42,35,31500.000000000000000,32.134607913799996
-1,New_York,5,41.028979999999997,-73.762510000000006,20,4,0.200000000000000,40.730862000000002,-73.987155999999999,North America,38.151899999999998,51.164200000000001,0.745700000000000,100.000000000000000,43,43,43,34,30600.000000000000000,34.807166045499997
-1,New_York,6,41.023209999999999,-73.774320000000003,20,2,0.100000000000000,40.730862000000002,-73.987155999999999,North America,37.107300000000002,51.164200000000001,0.725300000000000,100.000000000000000,44,44,44,36,32400.000000000000000,34.639482280099998
-1,New_York,7,41.016620000000003,-73.777490000000000,20,2,0.100000000000000,40.730862000000002,-73.987155999999999,North America,36.337499999999999,51.164200000000001,0.710200000000000,100.000000000000000,45,45,45,36,32400.000000000000000,30.489602801400000
-1,New_York,8,41.006169999999997,-73.783879999999996,20,5,0.250000000000000,40.730862000000002,-73.987155999999999,North America,35.061500000000002,51.164200000000001,0.685300000000000,100.000000000000000,46,46,46,32,28800.000000000000000,28.520671818299999
-1,New_York,9,40.998049999999999,-73.789159999999995,20,3,0.150000000000000,40.730862000000002,-73.987155999999999,North America,34.057299999999998,51.164200000000001,0.665600000000000,100.000000000000000,47,47,47,36,32400.000000000000000,27.414150896500001
