OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,fairbanks_070014_20170706_LST_pcs_OID,fairbanks_070014_20170706_LST_pcs_FID_,fairbanks_070014_20170706_LST_pcs_COUNT,fairbanks_070014_20170706_LST_pcs_AREA,fairbanks_070014_20170706_LST_pcs_MEAN
-1,Fairbanks,1,64.830050000000000,-147.734059999999999,20,4,0.200000000000000,64.837776000000005,-147.716385000000002,USA,North America,1.198600000000000,9.412500000000000,0.127300000000000,100.000000000000000,0,0,0,34,30600.000000000000000,32.907723435699999
-1,Fairbanks,2,64.831280000000007,-147.730760000000004,20,0,0.000000000000000,64.837776000000005,-147.716385000000002,USA,North America,0.991800000000000,9.412500000000000,0.105400000000000,100.000000000000000,1,1,1,36,32400.000000000000000,34.830790645900002
-1,Fairbanks,3,64.833119999999994,-147.731549999999999,20,2,0.100000000000000,64.837776000000005,-147.716385000000002,USA,North America,0.884400000000000,9.412500000000000,0.094000000000000,100.000000000000000,2,2,2,32,28800.000000000000000,34.762271134700001
-1,Fairbanks,4,64.835830000000001,-147.731099999999998,20,0,0.000000000000000,64.837776000000005,-147.716385000000002,USA,North America,0.728600000000000,9.412500000000000,0.077400000000000,100.000000000000000,3,3,3,32,28800.000000000000000,38.162580239699999
-1,Fairbanks,5,64.837350000000001,-147.731750000000005,20,2,0.100000000000000,64.837776000000005,-147.716385000000002,USA,North America,0.728000000000000,9.412500000000000,0.077300000000000,100.000000000000000,4,4,4,32,28800.000000000000000,34.796961623199998
-1,Fairbanks,6,64.838030000000003,-147.733489999999989,20,0,0.000000000000000,64.837776000000005,-147.716385000000002,USA,North America,0.809200000000000,9.412500000000000,0.086000000000000,100.000000000000000,5,5,5,24,21600.000000000000000,33.088104253399997
-1,Fairbanks,7,64.839160000000007,-147.735649999999993,20,2,0.100000000000000,64.837776000000005,-147.716385000000002,USA,North America,0.923700000000000,9.412500000000000,0.098100000000000,100.000000000000000,6,6,6,31,27900.000000000000000,34.117946120299997
-1,Fairbanks,8,64.845160000000007,-147.722579999999994,20,2,0.100000000000000,64.837776000000005,-147.716385000000002,USA,North America,0.871700000000000,9.412500000000000,0.092600000000000,100.000000000000000,7,7,7,35,31500.000000000000000,34.754465651399997
-1,Fairbanks,9,64.845609999999994,-147.726879999999994,20,7,0.350000000000000,64.837776000000005,-147.716385000000002,USA,North America,1.002500000000000,9.412500000000000,0.106500000000000,100.000000000000000,8,8,8,36,32400.000000000000000,32.154138875800001
-1,Fairbanks,10,64.845309999999998,-147.717600000000004,20,2,0.100000000000000,64.837776000000005,-147.716385000000002,USA,North America,0.839700000000000,9.412500000000000,0.089200000000000,100.000000000000000,9,9,9,35,31500.000000000000000,30.903459476700000
-1,Fairbanks,11,64.847780000000000,-147.716600000000000,20,1,0.050000000000000,64.837776000000005,-147.716385000000002,USA,North America,1.112400000000000,9.412500000000000,0.118200000000000,100.000000000000000,10,10,10,35,31500.000000000000000,32.016321216900003
-1,Fairbanks,12,64.851900000000001,-147.715170000000001,20,1,0.050000000000000,64.837776000000005,-147.716385000000002,USA,North America,1.571600000000000,9.412500000000000,0.167000000000000,100.000000000000000,11,11,11,35,31500.000000000000000,36.169247788299998
-1,Fairbanks,13,64.851910000000004,-147.717170000000010,20,1,0.050000000000000,64.837776000000005,-147.716385000000002,USA,North America,1.572100000000000,9.412500000000000,0.167000000000000,100.000000000000000,12,12,12,23,20700.000000000000000,36.179378431400004
-1,Fairbanks,14,64.862219999999994,-147.742510000000010,20,4,0.200000000000000,64.837776000000005,-147.716385000000002,USA,North America,2.985300000000000,9.412500000000000,0.317200000000000,100.000000000000000,13,13,13,36,32400.000000000000000,34.419599963899998
