OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,angus_018029_20180611_LST_pcs_OID,angus_018029_20180611_LST_pcs_FID_,angus_018029_20180611_LST_pcs_COUNT,angus_018029_20180611_LST_pcs_AREA,angus_018029_20180611_LST_pcs_MEAN
-1,Angus,1,44.322775000000000,-79.878961000000004,NA,NA,0.150000000000000,44.325538999999999,-79.888369999999995,North America,0.809117913039000,4.792257340690000,0.168800000000000,100.000000000000000,0,0,0,36,32400.000000000000000,33.619019350499997
-1,Angus,2,44.322101000000004,-79.876159999999999,NA,NA,0.200000000000000,44.325538999999999,-79.888369999999995,North America,1.043818684820000,4.792257340690000,0.217800000000000,100.000000000000000,1,1,1,36,32400.000000000000000,31.531750487099998
-1,Angus,3,44.323613000000002,-79.874397999999999,NA,NA,0.350000000000000,44.325538999999999,-79.888369999999995,North America,1.131890854750000,4.792257340690000,0.236200000000000,100.000000000000000,2,2,2,32,28800.000000000000000,29.360929234800000
-1,Angus,4,44.323729999999998,-79.872265999999996,NA,NA,0.550000000000000,44.325538999999999,-79.888369999999995,North America,1.296737495840000,4.792257340690000,0.270600000000000,100.000000000000000,3,3,3,34,30600.000000000000000,28.097415398300001
-1,Angus,5,44.323501999999998,-79.869035999999994,NA,NA,0.400000000000000,44.325538999999999,-79.888369999999995,North America,1.554573616980000,4.792257340690000,0.324400000000000,100.000000000000000,4,4,4,35,31500.000000000000000,29.905805553899999
-1,Angus,6,44.324226000000003,-79.867006000000003,NA,NA,0.200000000000000,44.325538999999999,-79.888369999999995,North America,1.705716152670000,4.792257340690000,0.355900000000000,100.000000000000000,5,5,5,36,32400.000000000000000,31.461868151200001
-1,Angus,7,44.325378000000001,-79.865945999999994,NA,NA,0.700000000000000,44.325538999999999,-79.888369999999995,North America,1.783849201680000,4.792257340690000,0.372200000000000,100.000000000000000,6,6,6,31,27900.000000000000000,31.687879159600001
-1,Angus,8,44.325809999999997,-79.863809000000003,NA,NA,0.300000000000000,44.325538999999999,-79.888369999999995,North America,1.953976239230000,4.792257340690000,0.407700000000000,100.000000000000000,7,7,7,33,29700.000000000000000,32.192943854699998
-1,Angus,9,44.326416000000002,-79.861348000000007,NA,NA,0.368421053000000,44.325538999999999,-79.888369999999995,North America,2.151707877280000,4.792257340690000,0.449000000000000,100.000000000000000,8,8,8,35,31500.000000000000000,31.550553458700001
-1,Angus,10,44.324646999999999,-79.859815999999995,NA,NA,0.250000000000000,44.325538999999999,-79.888369999999995,North America,2.273560486090000,4.792257340690000,0.474400000000000,100.000000000000000,9,9,9,35,31500.000000000000000,31.846600315700002
-1,Angus,11,44.326810999999999,-79.857831000000004,NA,NA,0.150000000000000,44.325538999999999,-79.888369999999995,North America,2.433366757300000,4.792257340690000,0.507800000000000,100.000000000000000,10,10,10,35,31500.000000000000000,27.487454037900001
-1,Angus,12,44.328736999999997,-79.854731999999998,NA,NA,0.300000000000000,44.325538999999999,-79.888369999999995,North America,2.699247672730000,4.792257340690000,0.563300000000000,100.000000000000000,11,11,11,35,31500.000000000000000,27.917856259200001
-1,Angus,13,44.328958000000000,-79.849299999999999,NA,NA,0.857142857000000,44.325538999999999,-79.888369999999995,North America,3.130968932590000,4.792257340690000,0.653300000000000,100.000000000000000,12,12,12,35,31500.000000000000000,27.158319137500001
-1,Angus,14,44.328499999999998,-79.845177000000007,NA,NA,0.150000000000000,44.325538999999999,-79.888369999999995,North America,3.451516936690000,4.792257340690000,0.720200000000000,100.000000000000000,13,13,13,35,31500.000000000000000,29.921154779799998
-1,Angus,15,44.330373000000002,-79.843890999999999,NA,NA,0.105263158000000,44.325538999999999,-79.888369999999995,North America,3.578613655170000,4.792257340690000,0.746700000000000,100.000000000000000,14,14,14,35,31500.000000000000000,28.342012493999999
-1,Angus,16,44.331220000000002,-79.840498999999994,NA,NA,0.350000000000000,44.325538999999999,-79.888369999999995,North America,3.859841751100000,4.792257340690000,0.805400000000000,100.000000000000000,15,15,15,36,32400.000000000000000,28.704653494799999
-1,Angus,17,44.331384999999997,-79.838414999999998,NA,NA,0.421052632000000,44.325538999999999,-79.888369999999995,North America,4.026381437440000,4.792257340690000,0.840200000000000,100.000000000000000,16,16,16,29,26100.000000000000000,29.075723406800002
-1,Angus,18,44.332183000000001,-79.835282000000007,NA,NA,0.176470588000000,44.325538999999999,-79.888369999999995,North America,4.286878594450000,4.792257340690000,0.894500000000000,100.000000000000000,17,17,17,34,30600.000000000000000,30.658078720900001
-1,Angus,19,44.332776000000003,-79.832218999999995,NA,NA,0.473684211000000,44.325538999999999,-79.888369999999995,North America,4.538270753440000,4.792257340690000,0.947000000000000,100.000000000000000,18,18,18,37,33300.000000000000000,29.011387307300001
-1,Angus,20,44.333384000000002,-79.829127999999997,NA,NA,0.368421053000000,44.325538999999999,-79.888369999999995,North America,4.792257340690000,4.792257340690000,1.000000000000000,100.000000000000000,19,19,19,36,32400.000000000000000,26.372361730300000
