OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,st_albert_043023_20180728_LST_pcs_OID,st_albert_043023_20180728_LST_pcs_FID_,st_albert_043023_20180728_LST_pcs_COUNT,st_albert_043023_20180728_LST_pcs_AREA,st_albert_043023_20180728_LST_pcs_MEAN
-1,St_Albert,1,53.629100000000001,-113.631399999999999,20,2,0.100000000000000,53.642969000000001,-113.625910000000005,Canada,North America,1.584100000000000,6.965200000000000,0.227400000000000,100.000000000000000,0,0,0,37,33300.000000000000000,32.450770513999998
-1,St_Albert,2,53.631000000000000,-113.630099999999999,20,1,0.050000000000000,53.642969000000001,-113.625910000000005,Canada,North America,1.359300000000000,6.965200000000000,0.195200000000000,100.000000000000000,1,1,1,35,31500.000000000000000,32.055265922899999
-1,St_Albert,3,53.633600000000001,-113.628299999999996,13,1,0.077000000000000,53.642969000000001,-113.625910000000005,Canada,North America,1.053600000000000,6.965200000000000,0.151300000000000,100.000000000000000,2,2,2,37,33300.000000000000000,31.776860178200000
-1,St_Albert,4,53.636200000000002,-113.629499999999993,20,2,0.100000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.789000000000000,6.965200000000000,0.113300000000000,100.000000000000000,3,3,3,36,32400.000000000000000,33.134689930800000
-1,St_Albert,5,53.636299999999999,-113.624300000000005,20,7,0.350000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.749100000000000,6.965200000000000,0.107500000000000,100.000000000000000,4,4,4,32,28800.000000000000000,33.279487581900000
-1,St_Albert,6,53.637300000000003,-113.620599999999996,19,3,0.158000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.721000000000000,6.965200000000000,0.103500000000000,100.000000000000000,5,5,5,32,28800.000000000000000,30.975887581500000
-1,St_Albert,7,53.639099999999999,-113.621099999999998,20,5,0.250000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.534400000000000,6.965200000000000,0.076700000000000,100.000000000000000,6,6,6,36,32400.000000000000000,31.617935520200000
-1,St_Albert,8,53.641599999999997,-113.619500000000002,18,2,0.111000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.449100000000000,6.965200000000000,0.064500000000000,100.000000000000000,7,7,7,36,32400.000000000000000,29.550112469199998
-1,St_Albert,9,53.643599999999999,-113.617599999999996,20,5,0.250000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.552300000000000,6.965200000000000,0.079300000000000,100.000000000000000,8,8,8,34,30600.000000000000000,29.369377910099999
-1,St_Albert,10,53.646400000000000,-113.619100000000003,20,1,0.050000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.589100000000000,6.965200000000000,0.084600000000000,100.000000000000000,9,9,9,36,32400.000000000000000,31.615565871499999
-1,St_Albert,11,53.646400000000000,-113.615099999999998,20,4,0.200000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.808300000000000,6.965200000000000,0.116000000000000,100.000000000000000,10,10,10,35,31500.000000000000000,27.873171832699999
-1,St_Albert,12,53.646799999999999,-113.612399999999994,20,5,0.250000000000000,53.642969000000001,-113.625910000000005,Canada,North America,0.987200000000000,6.965200000000000,0.141700000000000,100.000000000000000,11,11,11,34,30600.000000000000000,29.734625373299998
-1,St_Albert,13,53.648400000000002,-113.610500000000002,20,3,0.150000000000000,53.642969000000001,-113.625910000000005,Canada,North America,1.181700000000000,6.965200000000000,0.169700000000000,100.000000000000000,12,12,12,35,31500.000000000000000,30.236372569899999
-1,St_Albert,14,53.650799999999997,-113.609200000000001,20,2,0.100000000000000,53.642969000000001,-113.625910000000005,Canada,North America,1.404000000000000,6.965200000000000,0.201600000000000,100.000000000000000,13,13,13,35,31500.000000000000000,28.746852221499999
-1,St_Albert,15,53.650700000000001,-113.605699999999999,19,0,0.000000000000000,53.642969000000001,-113.625910000000005,Canada,North America,1.585400000000000,6.965200000000000,0.227600000000000,100.000000000000000,14,14,14,37,33300.000000000000000,29.874476717499999
-1,St_Albert,16,53.651299999999999,-113.600399999999993,20,6,0.300000000000000,53.642969000000001,-113.625910000000005,Canada,North America,1.919700000000000,6.965200000000000,0.275600000000000,100.000000000000000,15,15,15,32,28800.000000000000000,30.262895467000000
-1,St_Albert,17,53.652799999999999,-113.598699999999994,20,6,0.300000000000000,53.642969000000001,-113.625910000000005,Canada,North America,2.100300000000000,6.965200000000000,0.301500000000000,100.000000000000000,16,16,16,36,32400.000000000000000,29.102973090799999
-1,St_Albert,18,53.654699999999998,-113.597600000000000,19,3,0.158000000000000,53.642969000000001,-113.625910000000005,Canada,North America,2.276600000000000,6.965200000000000,0.326900000000000,100.000000000000000,17,17,17,36,32400.000000000000000,28.396391979699999
-1,St_Albert,19,53.656900000000000,-113.596699999999998,20,2,0.100000000000000,53.642969000000001,-113.625910000000005,Canada,North America,2.471000000000000,6.965200000000000,0.354800000000000,100.000000000000000,18,18,18,34,30600.000000000000000,27.777370671400000
-1,St_Albert,20,53.657400000000003,-113.593000000000004,20,7,0.350000000000000,53.642969000000001,-113.625910000000005,Canada,North America,2.698000000000000,6.965200000000000,0.387400000000000,100.000000000000000,19,19,19,35,31500.000000000000000,28.455219343400000
-1,St_Albert,21,53.659100000000002,-113.591399999999993,14,2,0.143000000000000,53.642969000000001,-113.625910000000005,Canada,North America,2.896600000000000,6.965200000000000,0.415900000000000,100.000000000000000,20,20,20,35,31500.000000000000000,26.478466075699998
