OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,norrtalje_192018_20180716_LST_pcs_OID,norrtalje_192018_20180716_LST_pcs_FID_,norrtalje_192018_20180716_LST_pcs_COUNT,norrtalje_192018_20180716_LST_pcs_AREA,norrtalje_192018_20180716_LST_pcs_MEAN
-1,Norrtalje,1,59.751019999999997,18.690249999999999,19,3,0.158000000000000,59.759723999999999,18.701070999999999,Europe,1.141900000000000,6.587100000000000,0.173400000000000,100.000000000000000,0,0,0,35,31500.000000000000000,39.204378830899998
-1,Norrtalje,2,59.753560000000000,18.693079999999998,16,3,0.188000000000000,59.759723999999999,18.701070999999999,Europe,0.818600000000000,6.587100000000000,0.124300000000000,100.000000000000000,1,1,1,35,31500.000000000000000,39.514045320000001
-1,Norrtalje,3,59.755159999999997,18.694810000000000,15,1,0.067000000000000,59.759723999999999,18.701070999999999,Europe,0.616800000000000,6.587100000000000,0.093600000000000,100.000000000000000,2,2,2,35,31500.000000000000000,38.936850797300004
-1,Norrtalje,4,59.755910000000000,18.697199999999999,17,3,0.176000000000000,59.759723999999999,18.701070999999999,Europe,0.476300000000000,6.587100000000000,0.072300000000000,100.000000000000000,3,3,3,31,27900.000000000000000,38.916329535000003
-1,Norrtalje,5,59.758040000000001,18.698409999999999,19,2,0.105000000000000,59.759723999999999,18.701070999999999,Europe,0.239300000000000,6.587100000000000,0.036300000000000,100.000000000000000,4,4,4,36,32400.000000000000000,38.117960118699997
-1,Norrtalje,6,59.758890000000001,18.700510000000001,15,1,0.067000000000000,59.759723999999999,18.701070999999999,Europe,0.097900000000000,6.587100000000000,0.014900000000000,100.000000000000000,5,5,5,31,27900.000000000000000,38.331455042999998
-1,Norrtalje,7,59.759140000000002,18.705240000000000,16,3,0.188000000000000,59.759723999999999,18.701070999999999,Europe,0.242300000000000,6.587100000000000,0.036800000000000,100.000000000000000,6,6,6,35,31500.000000000000000,39.774554233499998
-1,Norrtalje,8,59.760730000000002,18.708939999999998,20,5,0.250000000000000,59.759723999999999,18.701070999999999,Europe,0.454600000000000,6.587100000000000,0.069000000000000,100.000000000000000,7,7,7,35,31500.000000000000000,39.616493195099999
-1,Norrtalje,9,59.761859999999999,18.712630000000001,15,3,0.200000000000000,59.759723999999999,18.701070999999999,Europe,0.689500000000000,6.587100000000000,0.104700000000000,100.000000000000000,8,8,8,36,32400.000000000000000,38.088598842800003
-1,Norrtalje,10,59.764560000000003,18.714590000000001,16,1,0.062000000000000,59.759723999999999,18.701070999999999,Europe,0.928600000000000,6.587100000000000,0.141000000000000,100.000000000000000,9,9,9,36,32400.000000000000000,38.610208971200002
