continent,city,pop,individual,site,sample,range
NAM,Toronto,37,15,u,s_37_15,Introduced
NAM,Toronto,37,8,u,s_37_8,Introduced
NAM,Toronto,40,10,u,s_40_10,Introduced
NAM,Toronto,40,3,u,s_40_3,Introduced
NAM,Toronto,41,7,u,s_41_7,Introduced
NAM,Toronto,41,8,u,s_41_8,Introduced
NAM,Toronto,42,10,u,s_42_10,Introduced
NAM,Toronto,42,9,u,s_42_9,Introduced
NAM,Toronto,43,13,u,s_43_13,Introduced
NAM,Toronto,43,8,u,s_43_8,Introduced
NAM,Toronto,77,18,r,s_77_18,Introduced
NAM,Toronto,78,4,r,s_78_4,Introduced
NAM,Toronto,79,17,r,s_79_17,Introduced
NAM,Toronto,81,3,r,s_81_3,Introduced
NAM,Toronto,82,19,r,s_82_19,Introduced
NAM,Toronto,83,13,r,s_83_13,Introduced
NAM,Toronto,83,14,r,s_83_14,Introduced
NAM,Toronto,83,18,r,s_83_18,Introduced
NAM,Toronto,83,5,r,s_83_5,Introduced
NAM,Toronto,83,9,r,s_83_9,Introduced
