OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,latacunga_010061_20161120_NDVI_pcs_OID,latacunga_010061_20161120_NDVI_pcs_FID_,latacunga_010061_20161120_NDVI_pcs_COUNT,latacunga_010061_20161120_NDVI_pcs_AREA,latacunga_010061_20161120_NDVI_pcs_MEAN
-1,Latacunga,1,-0.933840000000000,-78.614940000000004,22,3,0.136000000000000,-0.933613000000000,-78.614884000000004,Ecuador,South America,0.026000000000000,27.346299999999999,0.001000000000000,100.000000000000000,0,0,0,32,28800.000000000000000,0.201572669612000
-1,Latacunga,2,-0.931630000000000,-78.615719999999996,11,0,0.000000000000000,-0.933613000000000,-78.614884000000004,Ecuador,South America,0.239300000000000,27.346299999999999,0.008800000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.142956203648000
-1,Latacunga,3,-0.929090000000000,-78.617279999999994,18,0,0.000000000000000,-0.933613000000000,-78.614884000000004,Ecuador,South America,0.569100000000000,27.346299999999999,0.020800000000000,100.000000000000000,2,2,2,37,33300.000000000000000,0.151760984313000
-1,Latacunga,4,-0.923920000000000,-78.619810000000001,24,0,0.000000000000000,-0.933613000000000,-78.614884000000004,Ecuador,South America,1.209000000000000,27.346299999999999,0.044200000000000,100.000000000000000,3,3,3,36,32400.000000000000000,0.213442135602000
-1,Latacunga,5,-0.918670000000000,-78.619380000000007,17,1,0.059000000000000,-0.933613000000000,-78.614884000000004,Ecuador,South America,1.735100000000000,27.346299999999999,0.063400000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.182604055776000
-1,Latacunga,6,-0.913100000000000,-78.618089999999995,21,12,0.571000000000000,-0.933613000000000,-78.614884000000004,Ecuador,South America,2.308600000000000,27.346299999999999,0.084400000000000,100.000000000000000,5,5,5,37,33300.000000000000000,0.505458704523000
-1,Latacunga,7,-0.907280000000000,-78.619990000000001,13,1,0.077000000000000,-0.933613000000000,-78.614884000000004,Ecuador,South America,2.982600000000000,27.346299999999999,0.109100000000000,100.000000000000000,6,6,6,36,32400.000000000000000,0.372110938032000
-1,Latacunga,8,-0.897950000000000,-78.614230000000006,15,1,0.067000000000000,-0.933613000000000,-78.614884000000004,Ecuador,South America,3.966200000000000,27.346299999999999,0.145000000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.550830537507000
-1,Latacunga,9,-0.891920000000000,-78.613780000000006,18,5,0.278000000000000,-0.933613000000000,-78.614884000000004,Ecuador,South America,4.637700000000000,27.346299999999999,0.169600000000000,100.000000000000000,8,8,8,37,33300.000000000000000,0.482527400191000
-1,Latacunga,10,-0.888300000000000,-78.615120000000005,12,6,0.500000000000000,-0.933613000000000,-78.614884000000004,Ecuador,South America,5.038600000000000,27.346299999999999,0.184300000000000,100.000000000000000,9,9,9,34,30600.000000000000000,0.473494622637000
-1,Latacunga,11,-0.878020000000000,-78.613190000000003,15,10,0.667000000000000,-0.933613000000000,-78.614884000000004,Ecuador,South America,6.184500000000000,27.346299999999999,0.226200000000000,100.000000000000000,10,10,10,36,32400.000000000000000,0.350063382337000
