OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,rancagua_233084_20170117_NDVI_pcs_OID,rancagua_233084_20170117_NDVI_pcs_FID_,rancagua_233084_20170117_NDVI_pcs_COUNT,rancagua_233084_20170117_NDVI_pcs_AREA,rancagua_233084_20170117_NDVI_pcs_MEAN
-1,Rancagua,1,-34.170040000000000,-70.740960000000001,20,10,0.500000000000000,-34.167701999999998,-70.738297000000003,South America,0.357200000000000,17.080600000000000,0.020900000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.199011372881000
-1,Rancagua,2,-34.167789999999997,-70.741780000000006,20,18,0.900000000000000,-34.167701999999998,-70.738297000000003,South America,0.320600000000000,17.080600000000000,0.018800000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.122371928108000
-1,Rancagua,3,-34.165460000000003,-70.740129999999994,20,15,0.750000000000000,-34.167701999999998,-70.738297000000003,South America,0.301000000000000,17.080600000000000,0.017600000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.197932731360000
-1,Rancagua,4,-34.165939999999999,-70.737499999999997,20,13,0.650000000000000,-34.167701999999998,-70.738297000000003,South America,0.209200000000000,17.080600000000000,0.012200000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.178755398560000
-1,Rancagua,5,-34.166280000000000,-70.735259999999997,20,17,0.850000000000000,-34.167701999999998,-70.738297000000003,South America,0.321100000000000,17.080600000000000,0.018800000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.226176379887000
-1,Rancagua,6,-34.166429999999998,-70.733249999999998,20,14,0.700000000000000,-34.167701999999998,-70.738297000000003,South America,0.485400000000000,17.080600000000000,0.028400000000000,100.000000000000000,5,5,5,32,28800.000000000000000,0.238138651242000
-1,Rancagua,7,-34.166759999999996,-70.730869999999996,20,9,0.450000000000000,-34.167701999999998,-70.738297000000003,South America,0.691300000000000,17.080600000000000,0.040500000000000,100.000000000000000,6,6,6,34,30600.000000000000000,0.210614206872000
-1,Rancagua,8,-34.166829999999997,-70.727950000000007,20,14,0.700000000000000,-34.167701999999998,-70.738297000000003,South America,0.956900000000000,17.080600000000000,0.056000000000000,100.000000000000000,7,7,7,36,32400.000000000000000,0.263738181235000
-1,Rancagua,9,-34.167529999999999,-70.725539999999995,20,9,0.450000000000000,-34.167701999999998,-70.738297000000003,South America,1.173800000000000,17.080600000000000,0.068700000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.288974656803000
-1,Rancagua,10,-34.167920000000002,-70.723070000000007,20,14,0.700000000000000,-34.167701999999998,-70.738297000000003,South America,1.401100000000000,17.080600000000000,0.082000000000000,100.000000000000000,9,9,9,35,31500.000000000000000,0.308879148321000
-1,Rancagua,11,-34.168329999999997,-70.720370000000003,20,16,0.800000000000000,-34.167701999999998,-70.738297000000003,South America,1.650800000000000,17.080600000000000,0.096600000000000,100.000000000000000,10,10,10,37,33300.000000000000000,0.336526133724000
