OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,lanzhou_131035_20160715_NDVI_pcs_OID,lanzhou_131035_20160715_NDVI_pcs_FID_,lanzhou_131035_20160715_NDVI_pcs_COUNT,lanzhou_131035_20160715_NDVI_pcs_AREA,lanzhou_131035_20160715_NDVI_pcs_MEAN
-1,Lanzhou,1,35.871259999999999,104.026510000000002,15,10,0.667000000000000,36.057811999999998,103.825896000000000,Asia,27.500599999999999,34.845199999999998,0.789200000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.536426413911000
-1,Lanzhou,17,35.991570000000003,103.955609999999993,15,0,0.000000000000000,36.057811999999998,103.825896000000000,Asia,13.796099999999999,34.845199999999998,0.395900000000000,100.000000000000000,16,1,16,34,30600.000000000000000,0.200741323697000
-1,Lanzhou,18,35.992379999999997,103.955820000000003,15,9,0.600000000000000,36.057811999999998,103.825896000000000,Asia,13.764200000000001,34.845199999999998,0.395000000000000,100.000000000000000,17,2,17,20,18000.000000000000000,0.214308994822000
-1,Lanzhou,19,35.993049999999997,103.956850000000003,15,6,0.400000000000000,36.057811999999998,103.825896000000000,Asia,13.803900000000001,34.845199999999998,0.396100000000000,100.000000000000000,18,3,18,24,21600.000000000000000,0.343479199025000
-1,Lanzhou,23,36.002130000000001,103.960229999999996,15,8,0.533000000000000,36.057811999999998,103.825896000000000,Asia,13.574199999999999,34.845199999999998,0.389600000000000,100.000000000000000,22,4,22,36,32400.000000000000000,0.296995162136000
-1,Lanzhou,24,36.004460000000002,103.961190000000002,15,8,0.533000000000000,36.057811999999998,103.825896000000000,Asia,13.535399999999999,34.845199999999998,0.388400000000000,100.000000000000000,23,5,23,35,31500.000000000000000,0.312756710819000
-1,Lanzhou,25,36.006779999999999,103.962490000000003,15,5,0.333000000000000,36.057811999999998,103.825896000000000,Asia,13.530200000000001,34.845199999999998,0.388300000000000,100.000000000000000,24,6,24,37,33300.000000000000000,0.199623068644000
-1,Lanzhou,26,36.006889999999999,103.965590000000006,15,7,0.467000000000000,36.057811999999998,103.825896000000000,Asia,13.778700000000001,34.845199999999998,0.395400000000000,100.000000000000000,25,7,25,36,32400.000000000000000,0.176154042491000
-1,Lanzhou,27,36.008360000000003,103.966329999999999,15,8,0.533000000000000,36.057811999999998,103.825896000000000,Asia,13.773199999999999,34.845199999999998,0.395300000000000,100.000000000000000,26,8,26,30,27000.000000000000000,0.142551683759000
-1,Lanzhou,28,36.009659999999997,103.963970000000003,15,4,0.267000000000000,36.057811999999998,103.825896000000000,Asia,13.520899999999999,34.845199999999998,0.388000000000000,100.000000000000000,27,9,27,32,28800.000000000000000,0.176913327654000
-1,Lanzhou,29,36.051969999999997,103.855959999999996,15,9,0.600000000000000,36.057811999999998,103.825896000000000,Asia,2.779600000000000,34.845199999999998,0.079800000000000,100.000000000000000,28,10,28,35,31500.000000000000000,0.360129479000000
-1,Lanzhou,30,36.054969999999997,103.855630000000005,15,14,0.933000000000000,36.057811999999998,103.825896000000000,Asia,2.691500000000000,34.845199999999998,0.077200000000000,100.000000000000000,29,11,29,35,31500.000000000000000,0.269718621565000
-1,Lanzhou,31,36.058199999999999,103.857590000000002,15,15,1.000000000000000,36.057811999999998,103.825896000000000,Asia,2.849400000000000,34.845199999999998,0.081800000000000,100.000000000000000,30,12,30,35,31500.000000000000000,0.189792638698000
-1,Lanzhou,32,36.061149999999998,103.857969999999995,15,11,0.733000000000000,36.057811999999998,103.825896000000000,Asia,2.906900000000000,34.845199999999998,0.083400000000000,100.000000000000000,31,13,31,32,28800.000000000000000,0.205367104383000
-1,Lanzhou,33,36.059669999999997,103.855940000000004,15,10,0.667000000000000,36.057811999999998,103.825896000000000,Asia,2.708600000000000,34.845199999999998,0.077700000000000,100.000000000000000,32,14,32,37,33300.000000000000000,0.245899120094000
-1,Lanzhou,34,36.060380000000002,103.851479999999995,15,9,0.600000000000000,36.057811999999998,103.825896000000000,Asia,2.317400000000000,34.845199999999998,0.066500000000000,100.000000000000000,33,15,33,34,30600.000000000000000,0.330402530949000
-1,Lanzhou,35,36.062089999999998,103.847960000000000,15,6,0.400000000000000,36.057811999999998,103.825896000000000,Asia,2.039600000000000,34.845199999999998,0.058500000000000,100.000000000000000,34,16,34,35,31500.000000000000000,0.265560747896000
-1,Lanzhou,36,36.063389999999998,103.848969999999994,15,15,1.000000000000000,36.057811999999998,103.825896000000000,Asia,2.164900000000000,34.845199999999998,0.062100000000000,100.000000000000000,35,17,35,31,27900.000000000000000,0.207022010679000
-1,Lanzhou,37,36.065100000000001,103.850269999999995,15,11,0.733000000000000,36.057811999999998,103.825896000000000,Asia,2.336000000000000,34.845199999999998,0.067000000000000,100.000000000000000,36,18,36,32,28800.000000000000000,0.196771047078000
