OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,vancouver_047026_20170822_NDVI_pcs_OID,vancouver_047026_20170822_NDVI_pcs_FID_,vancouver_047026_20170822_NDVI_pcs_COUNT,vancouver_047026_20170822_NDVI_pcs_AREA,vancouver_047026_20170822_NDVI_pcs_MEAN
-1,Vancouver,1,49.282290000000003,-123.129050000000007,20,3,0.150000000000000,49.282730000000001,-123.120734999999996,North America,0.605100000000000,46.597299999999997,0.013000000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.459683796763000
-1,Vancouver,2,49.276310000000002,-123.123810000000006,16,2,0.125000000000000,49.282730000000001,-123.120734999999996,North America,0.747900000000000,46.597299999999997,0.016100000000000,100.000000000000000,1,1,1,32,28800.000000000000000,0.356791850645000
-1,Vancouver,3,49.278129999999997,-123.105639999999994,20,2,0.100000000000000,49.282730000000001,-123.120734999999996,North America,1.208600000000000,46.597299999999997,0.025900000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.380698819884000
-1,Vancouver,4,49.277500000000003,-123.097219999999993,20,2,0.100000000000000,49.282730000000001,-123.120734999999996,North America,1.802200000000000,46.597299999999997,0.038700000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.336971565230000
-1,Vancouver,5,49.274329999999999,-123.083250000000007,20,3,0.150000000000000,49.282730000000001,-123.120734999999996,North America,2.875200000000000,46.597299999999997,0.061700000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.542563264711000
-1,Vancouver,6,49.265120000000003,-123.081739999999996,18,1,0.056000000000000,49.282730000000001,-123.120734999999996,North America,3.440600000000000,46.597299999999997,0.073800000000000,100.000000000000000,5,5,5,34,30600.000000000000000,0.384798513835000
-1,Vancouver,7,49.257890000000003,-123.061509999999998,20,2,0.100000000000000,49.282730000000001,-123.120734999999996,North America,5.108200000000000,46.597299999999997,0.109600000000000,100.000000000000000,6,6,6,36,32400.000000000000000,0.630054897732000
-1,Vancouver,8,49.240259999999999,-123.038920000000005,19,6,0.316000000000000,49.282730000000001,-123.120734999999996,North America,7.586200000000000,46.597299999999997,0.162800000000000,100.000000000000000,7,7,7,34,30600.000000000000000,0.335762155845000
-1,Vancouver,9,49.244309999999999,-123.049400000000006,20,3,0.150000000000000,49.282730000000001,-123.120734999999996,North America,6.711600000000000,46.597299999999997,0.144000000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.415056496007000
-1,Vancouver,10,49.240160000000003,-123.036739999999995,20,0,0.000000000000000,49.282730000000001,-123.120734999999996,North America,7.717400000000000,46.597299999999997,0.165600000000000,100.000000000000000,9,9,9,32,28800.000000000000000,0.389381761197000
