OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,sapporo_108030_20150712_NDVI_pcs_OID,sapporo_108030_20150712_NDVI_pcs_FID_,sapporo_108030_20150712_NDVI_pcs_COUNT,sapporo_108030_20150712_NDVI_pcs_AREA,sapporo_108030_20150712_NDVI_pcs_MEAN
-1,Sapporo,1,43.070900000000002,141.346820000000008,20,0,0.000000000000000,43.061449000000003,141.354537999999991,Asia,1.223700000000000,21.217099999999999,0.057700000000000,100.000000000000000,0,0,0,34,30600.000000000000000,0.491137654028000
-1,Sapporo,2,43.071779999999997,141.353350000000006,20,4,0.200000000000000,43.061449000000003,141.354537999999991,Asia,1.152800000000000,21.217099999999999,0.054300000000000,100.000000000000000,1,1,1,32,28800.000000000000000,0.235232888721000
-1,Sapporo,3,43.076610000000002,141.352710000000002,20,9,0.450000000000000,43.061449000000003,141.354537999999991,Asia,1.692400000000000,21.217099999999999,0.079800000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.211113134027000
-1,Sapporo,4,43.078270000000003,141.358759999999990,20,1,0.050000000000000,43.061449000000003,141.354537999999991,Asia,1.901600000000000,21.217099999999999,0.089600000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.296925333249000
-1,Sapporo,5,43.078029999999998,141.365330000000000,20,6,0.300000000000000,43.061449000000003,141.354537999999991,Asia,2.041500000000000,21.217099999999999,0.096200000000000,100.000000000000000,4,4,4,36,32400.000000000000000,0.204077189219000
-1,Sapporo,6,43.081809999999997,141.368449999999996,20,5,0.250000000000000,43.061449000000003,141.354537999999991,Asia,2.530400000000000,21.217099999999999,0.119300000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.242928821274000
-1,Sapporo,7,43.083399999999997,141.372919999999993,20,0,0.000000000000000,43.061449000000003,141.354537999999991,Asia,2.861300000000000,21.217099999999999,0.134900000000000,100.000000000000000,6,6,6,34,30600.000000000000000,0.249439476387000
-1,Sapporo,8,43.089219999999997,141.379700000000014,20,5,0.250000000000000,43.061449000000003,141.354537999999991,Asia,3.703000000000000,21.217099999999999,0.174500000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.259072150077000
-1,Sapporo,9,43.091149999999999,141.385539999999992,20,4,0.200000000000000,43.061449000000003,141.354537999999991,Asia,4.153000000000000,21.217099999999999,0.195700000000000,100.000000000000000,8,8,8,32,28800.000000000000000,0.310821414925000
-1,Sapporo,10,43.097589999999997,141.388980000000004,20,6,0.300000000000000,43.061449000000003,141.354537999999991,Asia,4.896400000000000,21.217099999999999,0.230800000000000,100.000000000000000,9,9,9,36,32400.000000000000000,0.374013384597000
-1,Sapporo,11,43.100780000000000,141.390760000000000,20,5,0.250000000000000,43.061449000000003,141.354537999999991,Asia,5.270700000000000,21.217099999999999,0.248400000000000,100.000000000000000,10,10,10,32,28800.000000000000000,0.363639140967000
-1,Sapporo,12,43.102269999999997,141.399090000000001,18,3,0.167000000000000,43.061449000000003,141.354537999999991,Asia,5.804800000000000,21.217099999999999,0.273600000000000,100.000000000000000,11,11,11,36,32400.000000000000000,0.420154960619000
-1,Sapporo,13,43.102840000000000,141.404969999999992,20,5,0.250000000000000,43.061449000000003,141.354537999999991,Asia,6.161000000000000,21.217099999999999,0.290400000000000,100.000000000000000,12,12,12,36,32400.000000000000000,0.215851250829000
-1,Sapporo,14,43.106009999999998,141.402530000000013,20,17,0.850000000000000,43.061449000000003,141.354537999999991,Asia,6.304100000000000,21.217099999999999,0.297100000000000,100.000000000000000,13,13,13,35,31500.000000000000000,0.327240953275000
