OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,new_tecumseth_018029_20180611_NDVI_pcs_OID,new_tecumseth_018029_20180611_NDVI_pcs_FID_,new_tecumseth_018029_20180611_NDVI_pcs_COUNT,new_tecumseth_018029_20180611_NDVI_pcs_AREA,new_tecumseth_018029_20180611_NDVI_pcs_MEAN
-1,New_Tecumseth,1,44.153317000000001,-79.869055000000003,NA,NA,0.250000000000000,44.153990000000000,-79.869209999999995,North America,0.075848987583200,5.014682596760000,0.015100000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.293037522691000
-1,New_Tecumseth,2,44.154556999999997,-79.864800000000002,NA,NA,0.300000000000000,44.153990000000000,-79.869209999999995,North America,0.357428392457000,5.014682596760000,0.071300000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.551986523185000
-1,New_Tecumseth,3,44.154522999999998,-79.862352000000001,NA,NA,0.285714286000000,44.153990000000000,-79.869209999999995,North America,0.550322916817000,5.014682596760000,0.109700000000000,100.000000000000000,2,2,2,36,32400.000000000000000,0.549871500995000
-1,New_Tecumseth,4,44.155904999999997,-79.859993000000003,NA,NA,0.250000000000000,44.153990000000000,-79.869209999999995,North America,0.765523218639000,5.014682596760000,0.152700000000000,100.000000000000000,3,3,3,36,32400.000000000000000,0.424768157303000
-1,New_Tecumseth,5,44.154285000000002,-79.857450000000000,NA,NA,0.250000000000000,44.153990000000000,-79.869209999999995,North America,0.938772527998000,5.014682596760000,0.187200000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.668449448688000
-1,New_Tecumseth,6,44.156204000000002,-79.854192999999995,NA,NA,0.650000000000000,44.153990000000000,-79.869209999999995,North America,1.223052753430000,5.014682596760000,0.243900000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.633451473713000
-1,New_Tecumseth,7,44.156396000000001,-79.850497000000004,NA,NA,0.350000000000000,44.153990000000000,-79.869209999999995,North America,1.516657647400000,5.014682596760000,0.302400000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.651106672628000
-1,New_Tecumseth,8,44.158597999999998,-79.847099999999998,NA,NA,0.350000000000000,44.153990000000000,-79.869209999999995,North America,1.836761262590000,5.014682596760000,0.366300000000000,100.000000000000000,7,7,7,32,28800.000000000000000,0.684233329259000
-1,New_Tecumseth,9,44.160335000000003,-79.844423000000006,NA,NA,0.750000000000000,44.153990000000000,-79.869209999999995,North America,2.099474869330000,5.014682596760000,0.418700000000000,100.000000000000000,8,8,8,36,32400.000000000000000,0.635315628515000
-1,New_Tecumseth,10,44.159875999999997,-79.840496000000002,NA,NA,0.250000000000000,44.153990000000000,-79.869209999999995,North America,2.382328875180000,5.014682596760000,0.475100000000000,100.000000000000000,9,9,9,36,32400.000000000000000,0.344659413728000
-1,New_Tecumseth,11,44.160097999999998,-79.838247999999993,NA,NA,0.117647059000000,44.153990000000000,-79.869209999999995,North America,2.561667292790000,5.014682596760000,0.510800000000000,100.000000000000000,10,10,10,32,28800.000000000000000,0.607638609596000
-1,New_Tecumseth,12,44.161682999999996,-79.834584000000007,NA,NA,0.285714286000000,44.153990000000000,-79.869209999999995,North America,2.891672286380000,5.014682596760000,0.576600000000000,100.000000000000000,11,11,11,35,31500.000000000000000,0.714051919324000
-1,New_Tecumseth,13,44.161819000000001,-79.828971999999993,NA,NA,0.300000000000000,44.153990000000000,-79.869209999999995,North America,3.325889378920000,5.014682596760000,0.663200000000000,100.000000000000000,12,12,12,35,31500.000000000000000,0.403454069474000
-1,New_Tecumseth,14,44.162309000000000,-79.826319999999996,NA,NA,0.250000000000000,44.153990000000000,-79.869209999999995,North America,3.544322454750000,5.014682596760000,0.706800000000000,100.000000000000000,13,13,13,35,31500.000000000000000,0.239874068222000
-1,New_Tecumseth,15,44.162990000000001,-79.823042000000001,NA,NA,0.300000000000000,44.153990000000000,-79.869209999999995,North America,3.816502337510000,5.014682596760000,0.761100000000000,100.000000000000000,14,14,14,32,28800.000000000000000,0.370748705231000
-1,New_Tecumseth,16,44.162981000000002,-79.819920999999994,NA,NA,0.200000000000000,44.153990000000000,-79.869209999999995,North America,4.057040766160000,5.014682596760000,0.809000000000000,100.000000000000000,15,15,15,36,32400.000000000000000,0.534720357094000
-1,New_Tecumseth,17,44.164706000000002,-79.816446999999997,NA,NA,0.250000000000000,44.153990000000000,-79.869209999999995,North America,4.374414774000000,5.014682596760000,0.872300000000000,100.000000000000000,16,16,16,35,31500.000000000000000,0.467679393717000
-1,New_Tecumseth,18,44.163549000000003,-79.810633999999993,NA,NA,0.200000000000000,44.153990000000000,-79.869209999999995,North America,4.792124629690000,5.014682596760000,0.955600000000000,100.000000000000000,17,17,17,35,31500.000000000000000,0.716979440621000
-1,New_Tecumseth,19,44.164928000000003,-79.808223999999996,NA,NA,0.250000000000000,44.153990000000000,-79.869209999999995,North America,5.014682596760000,5.014682596760000,1.000000000000000,100.000000000000000,18,18,18,35,31500.000000000000000,0.649066162961000
-1,New_Tecumseth,20,44.168861999999997,-79.811770999999993,NA,NA,0.400000000000000,44.153990000000000,-79.869209999999995,North America,4.871145021630000,5.014682596760000,0.971400000000000,100.000000000000000,19,19,19,35,31500.000000000000000,0.751642817259000
