OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,guelph_018030_20180611_NDVI_pcs_OID,guelph_018030_20180611_NDVI_pcs_FID_,guelph_018030_20180611_NDVI_pcs_COUNT,guelph_018030_20180611_NDVI_pcs_AREA,guelph_018030_20180611_NDVI_pcs_MEAN
-1,Guelph,1,43.547469000000000,-80.248662999999993,NA,NA,0.260869565000000,43.544809999999998,-80.248109999999997,North America,0.299007726392000,8.728394321210001,0.034300000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.314114822022000
-1,Guelph,2,43.543796000000000,-80.251401000000001,NA,NA,0.208333333000000,43.544809999999998,-80.248109999999997,North America,0.288219952965000,8.728394321210001,0.033000000000000,100.000000000000000,1,1,1,36,32400.000000000000000,0.339176203642000
-1,Guelph,3,43.543534000000001,-80.256281000000001,NA,NA,0.150000000000000,43.544809999999998,-80.248109999999997,North America,0.673684388741000,8.728394321210001,0.077200000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.630048280103000
-1,Guelph,4,43.542081000000003,-80.259996000000001,NA,NA,0.136363636000000,43.544809999999998,-80.248109999999997,North America,1.004920967970000,8.728394321210001,0.115100000000000,100.000000000000000,3,3,3,32,28800.000000000000000,0.482762576547000
-1,Guelph,5,43.540348000000002,-80.265370000000004,NA,NA,0.444444444000000,43.544809999999998,-80.248109999999997,North America,1.477000956660000,8.728394321210001,0.169200000000000,100.000000000000000,4,4,4,36,32400.000000000000000,0.615103637179000
-1,Guelph,6,43.537394999999997,-80.268073000000001,NA,NA,0.095238095000000,43.544809999999998,-80.248109999999997,North America,1.808023688270000,8.728394321210001,0.207100000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.466109999163000
-1,Guelph,7,43.534438000000002,-80.271648999999996,NA,NA,0.333333333000000,43.544809999999998,-80.248109999999997,North America,2.220385430980000,8.728394321210001,0.254400000000000,100.000000000000000,6,6,6,36,32400.000000000000000,0.533875379297000
-1,Guelph,8,43.532497999999997,-80.278412000000003,NA,NA,0.227272727000000,43.544809999999998,-80.248109999999997,North America,2.800037576320000,8.728394321210001,0.320800000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.617011773586000
-1,Guelph,9,43.529328999999997,-80.279211000000004,NA,NA,0.333333333000000,43.544809999999998,-80.248109999999997,North America,3.041103036510000,8.728394321210001,0.348400000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.374510462156000
-1,Guelph,10,43.527513999999996,-80.283798000000004,NA,NA,0.142857143000000,43.544809999999998,-80.248109999999997,North America,3.460456676510000,8.728394321210001,0.396500000000000,100.000000000000000,9,9,9,35,31500.000000000000000,0.463496151992000
-1,Guelph,11,43.522959999999998,-80.287828000000005,NA,NA,0.047619048000000,43.544809999999998,-80.248109999999997,North America,4.019248260250000,8.728394321210001,0.460500000000000,100.000000000000000,10,10,10,37,33300.000000000000000,0.187643594939000
-1,Guelph,12,43.517449999999997,-80.294999000000004,NA,NA,0.400000000000000,43.544809999999998,-80.248109999999997,North America,4.852226135140000,8.728394321210001,0.555900000000000,100.000000000000000,11,11,11,35,31500.000000000000000,0.580329921842000
-1,Guelph,13,43.517510999999999,-80.299222000000000,NA,NA,0.478260870000000,43.544809999999998,-80.248109999999997,North America,5.117862724280000,8.728394321210001,0.586300000000000,100.000000000000000,12,12,12,32,28800.000000000000000,0.364914989565000
-1,Guelph,14,43.510933999999999,-80.303899000000001,NA,NA,0.181818182000000,43.544809999999998,-80.248109999999997,North America,5.866755312280000,8.728394321210001,0.672100000000000,100.000000000000000,13,13,13,35,31500.000000000000000,0.523246002197000
-1,Guelph,15,43.507309999999997,-80.308594999999997,NA,NA,0.533333333000000,43.544809999999998,-80.248109999999997,North America,6.416187566240000,8.728394321210001,0.735100000000000,100.000000000000000,14,14,14,32,28800.000000000000000,0.413259117864000
-1,Guelph,16,43.503630999999999,-80.313980999999998,NA,NA,0.350000000000000,43.544809999999998,-80.248109999999997,North America,7.012261619780000,8.728394321210001,0.803400000000000,100.000000000000000,15,15,15,36,32400.000000000000000,0.490378931165000
-1,Guelph,17,43.498252999999998,-80.321280999999999,NA,NA,0.400000000000000,43.544809999999998,-80.248109999999997,North America,7.849011186410000,8.728394321210001,0.899300000000000,100.000000000000000,16,16,16,35,31500.000000000000000,0.523132391487000
-1,Guelph,18,43.493583000000001,-80.324448000000004,NA,NA,0.391304348000000,43.544809999999998,-80.248109999999997,North America,8.386555124159999,8.728394321210001,0.960800000000000,100.000000000000000,17,17,17,33,29700.000000000000000,0.595176808762000
-1,Guelph,19,43.492744000000002,-80.329119000000006,NA,NA,0.777777778000000,43.544809999999998,-80.248109999999997,North America,8.728394321210001,8.728394321210001,1.000000000000000,100.000000000000000,18,18,18,35,31500.000000000000000,0.420838737488000
-1,Guelph,20,43.496014000000002,-80.332849999999993,NA,NA,0.400000000000000,43.544809999999998,-80.248109999999997,North America,8.724966626900001,8.728394321210001,0.999600000000000,100.000000000000000,19,19,19,35,31500.000000000000000,0.554205604110000
