OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,barrie_018029_20180611_NDVI_pcs_OID,barrie_018029_20180611_NDVI_pcs_FID_,barrie_018029_20180611_NDVI_pcs_COUNT,barrie_018029_20180611_NDVI_pcs_AREA,barrie_018029_20180611_NDVI_pcs_MEAN
-1,Barrie,1,44.387428000000000,-79.694063000000000,NA,NA,0.300000000000000,44.389339000000000,-79.685516000000007,North America,0.711623792967000,8.217993591879999,0.086600000000000,100.000000000000000,0,0,0,36,32400.000000000000000,0.225217859364000
-1,Barrie,2,44.388108000000003,-79.688321000000002,NA,NA,0.210526316000000,44.389339000000000,-79.685516000000007,North America,0.261563687128000,8.217993591879999,0.031800000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.308159300685000
-1,Barrie,3,44.388371999999997,-79.686052000000004,NA,NA,0.300000000000000,44.389339000000000,-79.685516000000007,North America,0.115653479484000,8.217993591879999,0.014100000000000,100.000000000000000,2,2,2,33,29700.000000000000000,0.366031253880000
-1,Barrie,4,44.390591999999998,-79.683239000000000,NA,NA,0.222222222000000,44.389339000000000,-79.685516000000007,North America,0.228357989341000,8.217993591879999,0.027800000000000,100.000000000000000,3,3,3,34,30600.000000000000000,0.383985285812000
-1,Barrie,5,44.390358999999997,-79.676293000000001,NA,NA,0.100000000000000,44.389339000000000,-79.685516000000007,North America,0.741579731021000,8.217993591879999,0.090200000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.523918222902000
-1,Barrie,6,44.392082000000002,-79.672346000000005,NA,NA,0.200000000000000,44.389339000000000,-79.685516000000007,North America,1.090009978340000,8.217993591879999,0.132600000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.590286020988000
-1,Barrie,7,44.396779000000002,-79.673167000000007,NA,NA,0.350000000000000,44.389339000000000,-79.685516000000007,North America,1.283412047610000,8.217993591879999,0.156200000000000,100.000000000000000,6,6,6,36,32400.000000000000000,0.567024043865000
-1,Barrie,8,44.394011999999996,-79.665863999999999,NA,NA,0.200000000000000,44.389339000000000,-79.685516000000007,North America,1.645675790040000,8.217993591879999,0.200300000000000,100.000000000000000,7,7,7,32,28800.000000000000000,0.595676715951000
-1,Barrie,9,44.394401000000002,-79.662953000000002,NA,NA,0.450000000000000,44.389339000000000,-79.685516000000007,North America,1.879067023100000,8.217993591879999,0.228700000000000,100.000000000000000,8,8,8,37,33300.000000000000000,0.564900505382000
-1,Barrie,10,44.393771000000001,-79.657490999999993,NA,NA,0.500000000000000,44.389339000000000,-79.685516000000007,North America,2.280669379700000,8.217993591879999,0.277500000000000,100.000000000000000,9,9,9,36,32400.000000000000000,0.506519867469000
-1,Barrie,11,44.394542000000001,-79.653233000000000,NA,NA,0.300000000000000,44.389339000000000,-79.685516000000007,North America,2.629535087400000,8.217993591879999,0.320000000000000,100.000000000000000,10,10,10,37,33300.000000000000000,0.686610542439000
