OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,kunming_129043_20150528_NDVI_pcs_OID,kunming_129043_20150528_NDVI_pcs_FID_,kunming_129043_20150528_NDVI_pcs_COUNT,kunming_129043_20150528_NDVI_pcs_AREA,kunming_129043_20150528_NDVI_pcs_MEAN
-1,Kunming,1,25.056819999999998,102.700969999999998,16,1,0.062000000000000,25.037281000000000,102.716949000000000,Asia,2.704000000000000,21.446600000000000,0.126100000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.521563767110000
-1,Kunming,2,25.062930000000001,102.699939999999998,16,9,0.562000000000000,25.037281000000000,102.716949000000000,Asia,3.327100000000000,21.446600000000000,0.155100000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.326307240275000
-1,Kunming,3,25.070740000000001,102.704310000000007,16,5,0.312000000000000,25.037281000000000,102.716949000000000,Asia,3.932300000000000,21.446600000000000,0.183400000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.359786051938000
-1,Kunming,4,25.066530000000000,102.704229999999995,16,6,0.375000000000000,25.037281000000000,102.716949000000000,Asia,3.495600000000000,21.446600000000000,0.163000000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.310370012266000
-1,Kunming,5,25.073760000000000,102.709040000000002,16,11,0.688000000000000,25.037281000000000,102.716949000000000,Asia,4.133800000000000,21.446600000000000,0.192700000000000,100.000000000000000,4,4,4,36,32400.000000000000000,0.191208061866000
-1,Kunming,6,25.075089999999999,102.712490000000003,16,11,0.688000000000000,25.037281000000000,102.716949000000000,Asia,4.228100000000000,21.446600000000000,0.197100000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.392379837802000
-1,Kunming,7,25.079760000000000,102.714609999999993,16,16,1.000000000000000,25.037281000000000,102.716949000000000,Asia,4.729300000000000,21.446600000000000,0.220500000000000,100.000000000000000,6,6,6,36,32400.000000000000000,0.340823856493000
-1,Kunming,8,25.081170000000000,102.717209999999994,16,5,0.312000000000000,25.037281000000000,102.716949000000000,Asia,4.880300000000000,21.446600000000000,0.227600000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.386732535490000
-1,Kunming,9,25.083700000000000,102.721480000000000,16,7,0.438000000000000,25.037281000000000,102.716949000000000,Asia,5.181700000000000,21.446600000000000,0.241600000000000,100.000000000000000,8,8,8,32,28800.000000000000000,0.353206432424000
-1,Kunming,10,25.085590000000000,102.722650000000002,16,3,0.188000000000000,25.037281000000000,102.716949000000000,Asia,5.402300000000000,21.446600000000000,0.251900000000000,100.000000000000000,9,9,9,32,28800.000000000000000,0.430879693478000
-1,Kunming,11,25.087940000000000,102.723349999999996,16,14,0.875000000000000,25.037281000000000,102.716949000000000,Asia,5.669800000000000,21.446600000000000,0.264400000000000,100.000000000000000,10,10,10,37,33300.000000000000000,0.446841475126000
-1,Kunming,12,25.091529999999999,102.725549999999998,16,9,0.562000000000000,25.037281000000000,102.716949000000000,Asia,6.094100000000000,21.446600000000000,0.284200000000000,100.000000000000000,11,11,11,35,31500.000000000000000,0.380725217291000
-1,Kunming,13,25.094169999999998,102.726129999999998,16,9,0.562000000000000,25.037281000000000,102.716949000000000,Asia,6.393000000000000,21.446600000000000,0.298100000000000,100.000000000000000,12,12,12,36,32400.000000000000000,0.585993550951000
-1,Kunming,14,25.095970000000001,102.727279999999993,16,9,0.562000000000000,25.037281000000000,102.716949000000000,Asia,6.608400000000000,21.446600000000000,0.308100000000000,100.000000000000000,13,13,13,32,28800.000000000000000,0.386097708717000
-1,Kunming,15,25.096180000000000,102.729680000000002,16,4,0.250000000000000,25.037281000000000,102.716949000000000,Asia,6.673600000000000,21.446600000000000,0.311200000000000,100.000000000000000,14,14,14,35,31500.000000000000000,0.421524241567000
-1,Kunming,16,25.096950000000000,102.734660000000005,16,4,0.250000000000000,25.037281000000000,102.716949000000000,Asia,6.870500000000000,21.446600000000000,0.320400000000000,100.000000000000000,15,15,15,32,28800.000000000000000,0.310860391241000
-1,Kunming,17,25.098400000000002,102.736480000000000,16,15,0.938000000000000,25.037281000000000,102.716949000000000,Asia,7.075100000000000,21.446600000000000,0.329900000000000,100.000000000000000,16,16,16,34,30600.000000000000000,0.423780724406000
-1,Kunming,18,25.101130000000001,102.737520000000004,16,11,0.688000000000000,25.037281000000000,102.716949000000000,Asia,7.395800000000000,21.446600000000000,0.344800000000000,100.000000000000000,17,17,17,36,32400.000000000000000,0.370527164390000
-1,Kunming,19,25.104170000000000,102.738470000000007,16,13,0.812000000000000,25.037281000000000,102.716949000000000,Asia,7.747100000000000,21.446600000000000,0.361200000000000,100.000000000000000,18,18,18,36,32400.000000000000000,0.337031592098000
-1,Kunming,20,25.108100000000000,102.738829999999993,16,10,0.625000000000000,25.037281000000000,102.716949000000000,Asia,8.177300000000001,21.446600000000000,0.381300000000000,100.000000000000000,19,19,19,35,31500.000000000000000,0.355575770565000
-1,Kunming,21,25.111550000000001,102.739199999999997,16,14,0.875000000000000,25.037281000000000,102.716949000000000,Asia,8.557000000000000,21.446600000000000,0.399000000000000,100.000000000000000,20,20,20,35,31500.000000000000000,0.356605535746000
-1,Kunming,22,25.117319999999999,102.740080000000006,16,3,0.188000000000000,25.037281000000000,102.716949000000000,Asia,9.199800000000000,21.446600000000000,0.429000000000000,100.000000000000000,21,21,21,35,31500.000000000000000,0.399820939558000
-1,Kunming,23,25.124700000000001,102.742350000000002,16,13,0.812000000000000,25.037281000000000,102.716949000000000,Asia,10.051500000000001,21.446600000000000,0.468700000000000,100.000000000000000,22,22,22,35,31500.000000000000000,0.367772984079000
-1,Kunming,24,25.129860000000001,102.744399999999999,16,9,0.562000000000000,25.037281000000000,102.716949000000000,Asia,10.659100000000000,21.446600000000000,0.497000000000000,100.000000000000000,23,23,23,32,28800.000000000000000,0.473384866491000
