OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,santiago_233083_20170117_NDVI_pcs_OID,santiago_233083_20170117_NDVI_pcs_FID_,santiago_233083_20170117_NDVI_pcs_COUNT,santiago_233083_20170117_NDVI_pcs_AREA,santiago_233083_20170117_NDVI_pcs_MEAN
-1,Santiago,1,-33.872799999999998,-70.642210000000006,20,14,0.700000000000000,-33.442137000000002,-70.645768000000004,South America,47.888700000000000,47.888700000000000,1.000000000000000,100.000000000000000,0,0,0,34,30600.000000000000000,0.459538044298000
-1,Santiago,2,-33.865420000000000,-70.639660000000006,20,19,0.950000000000000,-33.442137000000002,-70.645768000000004,South America,47.070300000000003,47.888700000000000,0.982900000000000,100.000000000000000,1,1,1,36,32400.000000000000000,0.488795253966000
-1,Santiago,3,-33.857970000000002,-70.632059999999996,20,11,0.550000000000000,-33.442137000000002,-70.645768000000004,South America,46.255899999999997,47.888700000000000,0.965900000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.569814953634000
-1,Santiago,4,-33.851120000000002,-70.633740000000003,20,14,0.700000000000000,-33.442137000000002,-70.645768000000004,South America,45.490499999999997,47.888700000000000,0.949900000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.446178142514000
-1,Santiago,5,-33.842449999999999,-70.637150000000005,20,19,0.950000000000000,-33.442137000000002,-70.645768000000004,South America,44.519900000000000,47.888700000000000,0.929700000000000,100.000000000000000,4,4,4,36,32400.000000000000000,0.605819404953000
-1,Santiago,6,-33.835120000000003,-70.644139999999993,20,16,0.800000000000000,-33.442137000000002,-70.645768000000004,South America,43.698000000000000,47.888700000000000,0.912500000000000,100.000000000000000,5,5,5,32,28800.000000000000000,0.413987418171000
-1,Santiago,7,-33.825130000000001,-70.646469999999994,20,17,0.850000000000000,-33.442137000000002,-70.645768000000004,South America,42.586900000000000,47.888700000000000,0.889300000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.388185110688000
-1,Santiago,8,-33.813270000000003,-70.650610000000000,20,17,0.850000000000000,-33.442137000000002,-70.645768000000004,South America,41.270499999999998,47.888700000000000,0.861800000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.524661184209000
-1,Santiago,9,-33.806860000000000,-70.651560000000003,20,14,0.700000000000000,-33.442137000000002,-70.645768000000004,South America,40.558900000000001,47.888700000000000,0.846900000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.378979646734000
-1,Santiago,10,-33.794029999999999,-70.654949999999999,14,9,0.643000000000000,-33.442137000000002,-70.645768000000004,South America,39.137999999999998,47.888700000000000,0.817300000000000,100.000000000000000,9,9,9,35,31500.000000000000000,0.420457748856000
