Sample	total_reads	mapped_reads	mapped_reads_pct	forward_strand	forward_strand_pct	reverse_strand	reverse_strand_pct	failed_qc	failed_qc_pct	duplicates	duplicates_pct	paired_end	paired_end_pct	both_mapped	both_mapped_pct	read_1	read_2	singletons	singletons_pct
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_14_1	11121777.0	10695365.0	96.166	5770817.0	51.8875	5350960.0	48.1125	0.0	0.0	1628746.0	14.6447	10962834.0	98.5709	10591434.0	96.6122	5481018.0	5481816.0	6481.0	0.0591179
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_14_10	7641043.0	7484687.0	97.9537	3898159.0	51.0161	3742884.0	48.9839	0.0	0.0	975779.0	12.7702	7609159.0	99.5827	7459038.0	98.0271	3804518.0	3804641.0	1980.0	0.0260213
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_14_14	6959218.0	6797495.0	97.6761	3559355.0	51.1459	3399863.0	48.8541	0.0	0.0	880089.0	12.6464	6934700.0	99.6477	6774642.0	97.6919	3467295.0	3467405.0	3363.0	0.0484953
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_14_17	4737063.0	4682688.0	98.8521	2393835.0	50.5342	2343228.0	49.4658	0.0	0.0	576416.0	12.1682	4716061.0	99.5566	4659612.0	98.803	2357764.0	2358297.0	5072.0	0.107547
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_14_18	3273699.0	3140545.0	95.9326	1699217.0	51.9051	1574482.0	48.0949	0.0	0.0	490419.0	14.9806	3156381.0	96.4164	3019317.0	95.6576	1578033.0	1578348.0	10122.0	0.320684
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_14_3	5247458.0	5159972.0	98.3328	2666131.0	50.808	2581327.0	49.192	0.0	0.0	671796.0	12.8023	5217478.0	99.4287	5128396.0	98.2926	2608782.0	2608696.0	4844.0	0.0928418
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_14_4	3428093.0	3374298.0	98.4308	1740123.0	50.7607	1687970.0	49.2393	0.0	0.0	428338.0	12.4949	3400015.0	99.1809	3346877.0	98.4371	1699889.0	1700126.0	2346.0	0.0689997
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_14_5	243535.0	231639.0	95.1153	127617.0	52.4019	115918.0	47.5981	0.0	0.0	9010.0	3.69967	237260.0	97.4234	229704.0	96.8153	118619.0	118641.0	285.0	0.120121
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_14_7	4247889.0	4083776.0	96.1366	2200531.0	51.8029	2047358.0	48.1971	0.0	0.0	654002.0	15.3959	4121561.0	97.0261	3954733.0	95.9523	2060740.0	2060821.0	12186.0	0.295665
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_14_8	7279292.0	7060660.0	96.9965	3748496.0	51.4953	3530796.0	48.5047	0.0	0.0	1102474.0	15.1453	7252102.0	99.6265	7036770.0	97.0308	3625909.0	3626193.0	2342.0	0.0322941
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_15_1	5228669.0	4884220.0	93.4123	2783140.0	53.2285	2445529.0	46.7715	0.0	0.0	609950.0	11.6655	5198264.0	99.4185	4852895.0	93.3561	2598925.0	2599339.0	7576.0	0.145741
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_15_10	8860528.0	8341241.0	94.1393	4682049.0	52.8416	4178479.0	47.1584	0.0	0.0	1295828.0	14.6247	8656638.0	97.6989	8136066.0	93.9864	4327304.0	4329334.0	19133.0	0.221021
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_15_11	4822963.0	4782295.0	99.1568	2429799.0	50.3798	2393164.0	49.6202	0.0	0.0	536140.0	11.1164	4802972.0	99.5855	4760596.0	99.1177	2401712.0	2401260.0	5975.0	0.124402
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_15_2	5010063.0	4710711.0	94.025	2652197.0	52.9374	2357866.0	47.0626	0.0	0.0	549391.0	10.9658	4984693.0	99.4936	4685187.0	93.9915	2492463.0	2492230.0	6040.0	0.121171
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_15_4	5342809.0	5147673.0	96.3477	2767298.0	51.7948	2575511.0	48.2052	0.0	0.0	800191.0	14.977	5203416.0	97.391	5107504.0	98.1568	2601658.0	2601758.0	4462.0	0.0857514
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_15_5	1365357.0	1330033.0	97.4128	699814.0	51.255	665543.0	48.745	0.0	0.0	133108.0	9.74895	1358657.0	99.5093	1324901.0	97.5155	679329.0	679328.0	856.0	0.0630034
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_15_7	5811115.0	5731449.0	98.6291	2941205.0	50.6134	2869910.0	49.3866	0.0	0.0	666791.0	11.4744	5775789.0	99.3921	5688736.0	98.4928	2888520.0	2887269.0	11557.0	0.200094
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_15_8	6347755.0	6284354.0	99.0012	3198092.0	50.3815	3149663.0	49.6185	0.0	0.0	846345.0	13.333	6292081.0	99.1229	6220001.0	98.8544	3147190.0	3144891.0	17205.0	0.273439
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_15_9	5047578.0	4943326.0	97.9346	2570470.0	50.9248	2477108.0	49.0752	0.0	0.0	635185.0	12.584	5009161.0	99.2389	4899446.0	97.8097	2504815.0	2504346.0	12266.0	0.244871
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_1_10	8666750.0	8417659.0	97.1259	4448729.0	51.331	4218021.0	48.669	0.0	0.0	1032311.0	11.9112	8596967.0	99.1948	8342153.0	97.036	4298567.0	4298400.0	19304.0	0.224544
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_1_13	10480327.0	10254920.0	97.8492	5346208.0	51.0118	5134119.0	48.9882	0.0	0.0	1841542.0	17.5714	10356745.0	98.8208	10125652.0	97.7687	5177155.0	5179590.0	14523.0	0.140227
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_1_19	6882180.0	5973292.0	86.7936	3883086.0	56.4223	2999094.0	43.5777	0.0	0.0	889284.0	12.9215	6256148.0	90.9036	5862801.0	93.7126	3128272.0	3127876.0	20508.0	0.327806
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_1_3	15723803.0	13884842.0	88.3046	8777302.0	55.8218	6946501.0	44.1782	0.0	0.0	1708142.0	10.8634	15654443.0	99.5589	13825950.0	88.3197	7827324.0	7827119.0	10105.0	0.0645504
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_1_4	13087648.0	11391241.0	87.0381	7382431.0	56.4076	5705217.0	43.5924	0.0	0.0	1540953.0	11.7741	12963910.0	99.0545	11274016.0	86.9646	6482265.0	6481645.0	21543.0	0.166177
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_1_5	8118275.0	7607598.0	93.7095	4304720.0	53.0251	3813555.0	46.9749	0.0	0.0	915290.0	11.2744	7984231.0	98.3489	7493230.0	93.8504	3992043.0	3992188.0	22012.0	0.275693
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_1_7	8459540.0	6731287.0	79.5704	5086993.0	60.1332	3372547.0	39.8668	0.0	0.0	832724.0	9.84361	8347162.0	98.6716	6658719.0	79.7723	4173672.0	4173490.0	15889.0	0.190352
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_1_8	9643126.0	8184391.0	84.8728	5542576.0	57.477	4100550.0	42.523	0.0	0.0	1072828.0	11.1253	9540539.0	98.9362	8093771.0	84.8356	4770650.0	4769889.0	19542.0	0.204831
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_1_9	7798196.0	7354284.0	94.3075	4110538.0	52.7114	3687658.0	47.2886	0.0	0.0	1161908.0	14.8997	7632998.0	97.8816	7175057.0	94.0005	3816312.0	3816686.0	25336.0	0.331927
home | santang3 | scratch | glue | results | qc | bamtools_stats | Albuquerque_29_1	10193764.0	9828324.0	96.4151	5278218.0	51.7789	4915546.0	48.2211	0.0	0.0	1303528.0	12.7875	10161258.0	99.6811	9796226.0	96.4076	5080459.0	5080799.0	5307.0	0.0522278
