sample	prefix	pop	plant	category	mean_coverage
s_37_15	s	37	15	good	10.4273
s_37_8	s	37	8	good	11.7885
s_40_10	s	40	10	good	11.6823
s_40_3	s	40	3	good	13.6465
s_41_7	s	41	7	good	11.203
s_41_8	s	41	8	good	11.0549
s_42_10	s	42	10	good	11.3037
s_42_9	s	42	9	good	11.1852
s_43_13	s	43	13	good	12.2254
s_43_8	s	43	8	good	12.4258
s_77_18	s	77	18	good	7.4463
s_78_4	s	78	4	good	15.2961
s_79_17	s	79	17	good	9.7586
s_81_3	s	81	3	good	12.1865
s_82_19	s	82	19	good	9.0362
s_83_13	s	83	13	good	15.7444
s_83_14	s	83	14	good	14.5451
s_83_18	s	83	18	good	13.9286
s_83_5	s	83	5	good	13.7664
s_83_9	s	83	9	good	12.108
