continent,city,population,individual,site,sample,country,population_latitude,population_longitude
NAM,Albuquerque,29,5,r,Albuquerque_29_5,USA,35.208,-106.733
NAM,Albuquerque,29,9,r,Albuquerque_29_9,USA,35.208,-106.733
NAM,Albuquerque,32,13,r,Albuquerque_32_13,USA,35.19,-106.714
NAM,Albuquerque,32,3,r,Albuquerque_32_3,USA,35.19,-106.714
NAM,Albuquerque,33,2,r,Albuquerque_33_2,USA,35.179,-106.7326
NAM,Albuquerque,33,7,r,Albuquerque_33_7,USA,35.179,-106.7326
NAM,Albuquerque,35,12,r,Albuquerque_35_12,USA,35.169,-106.701
NAM,Albuquerque,35,3,r,Albuquerque_35_3,USA,35.169,-106.701
NAM,Albuquerque,36,3,r,Albuquerque_36_3,USA,35.193,-106.7196
NAM,Albuquerque,36,11,r,Albuquerque_36_11,USA,35.193,-106.7196
NAM,Albuquerque,1,9,u,Albuquerque_1_9,USA,35.083,-106.615
NAM,Albuquerque,1,13,u,Albuquerque_1_13,USA,35.083,-106.615
NAM,Albuquerque,14,7,u,Albuquerque_14_7,USA,35.086,-106.6298
NAM,Albuquerque,14,18,u,Albuquerque_14_18,USA,35.086,-106.6298
NAM,Albuquerque,15,4,u,Albuquerque_15_4,USA,35.084,-106.626
NAM,Albuquerque,15,10,u,Albuquerque_15_10,USA,35.084,-106.626
NAM,Albuquerque,2,15,u,Albuquerque_2_15,USA,35.086,-106.619
NAM,Albuquerque,2,7,u,Albuquerque_2_7,USA,35.086,-106.619
NAM,Albuquerque,3,1,u,Albuquerque_3_1,USA,35.092,-106.621
NAM,Albuquerque,3,8,u,Albuquerque_3_8,USA,35.092,-106.621
EU,Antwerp,36,4,r,Antwerp_36_4,Belgium,51.11326,4.39615
EU,Antwerp,36,8,r,Antwerp_36_8,Belgium,51.11326,4.39615
EU,Antwerp,37,13,r,Antwerp_37_13,Belgium,51.11068,4.39493
EU,Antwerp,37,11,r,Antwerp_37_11,Belgium,51.11068,4.39493
EU,Antwerp,38,14,r,Antwerp_38_14,Belgium,51.10611,4.39817
EU,Antwerp,38,10,r,Antwerp_38_10,Belgium,51.10611,4.39817
EU,Antwerp,39,15,r,Antwerp_39_15,Belgium,51.0961,4.3982
EU,Antwerp,39,9,r,Antwerp_39_9,Belgium,51.0961,4.3982
EU,Antwerp,40,5,r,Antwerp_40_5,Belgium,51.09297,4.3959
EU,Antwerp,40,10,r,Antwerp_40_10,Belgium,51.09297,4.3959
EU,Antwerp,1,10,u,Antwerp_1_10,Belgium,51.2253,4.39961
EU,Antwerp,1,11,u,Antwerp_1_11,Belgium,51.2253,4.39961
EU,Antwerp,2,3,u,Antwerp_2_3,Belgium,51.22088,4.39679
EU,Antwerp,2,7,u,Antwerp_2_7,Belgium,51.22088,4.39679
EU,Antwerp,3,1,u,Antwerp_3_1,Belgium,51.21186,4.41495
EU,Antwerp,3,9,u,Antwerp_3_9,Belgium,51.21186,4.41495
EU,Antwerp,4,10,u,Antwerp_4_10,Belgium,51.21166,4.41164
EU,Antwerp,4,3,u,Antwerp_4_3,Belgium,51.21166,4.41164
EU,Antwerp,5,4,u,Antwerp_5_4,Belgium,51.20682,4.41923
EU,Antwerp,5,9,u,Antwerp_5_9,Belgium,51.20682,4.41923
OCE,Armidale,35,11,r,Armidale_35_11,Australia,-30.45775,151.58159
OCE,Armidale,35,16,r,Armidale_35_16,Australia,-30.45775,151.58159
OCE,Armidale,36,6,r,Armidale_36_6,Australia,-30.45705,151.57751
OCE,Armidale,37,17,r,Armidale_37_17,Australia,-30.45595,151.57394
OCE,Armidale,39,11,r,Armidale_39_11,Australia,-30.43688,151.56502
OCE,Armidale,39,17,r,Armidale_39_17,Australia,-30.43688,151.56502
OCE,Armidale,40,16,r,Armidale_40_16,Australia,-30.43316,151.56442
OCE,Armidale,40,9,r,Armidale_40_9,Australia,-30.43316,151.56442
OCE,Armidale,39,13,r,Armidale_39_13,Australia,-30.43688,151.56502
OCE,Armidale,35,8,r,Armidale_35_8,Australia,-30.45775,151.58159
OCE,Armidale,1,15,u,Armidale_1_15,Australia,-30.51337,151.67218
OCE,Armidale,1,14,u,Armidale_1_14,Australia,-30.51337,151.67218
OCE,Armidale,2,20,u,Armidale_2_20,Australia,-30.51278,151.6702
OCE,Armidale,2,14,u,Armidale_2_14,Australia,-30.51278,151.6702
OCE,Armidale,3,9,u,Armidale_3_9,Australia,-30.51192,151.66779
OCE,Armidale,3,4,u,Armidale_3_4,Australia,-30.51192,151.66779
OCE,Armidale,4,20,u,Armidale_4_20,Australia,-30.5112,151.66353
OCE,Armidale,4,8,u,Armidale_4_8,Australia,-30.5112,151.66353
OCE,Armidale,5,10,u,Armidale_5_10,Australia,-30.5108,151.66076
OCE,Armidale,5,13,u,Armidale_5_13,Australia,-30.5108,151.66076
NAM,Athens,21,3,r,Athens_21_3,USA,33.87478,-83.28732
NAM,Athens,21,18,r,Athens_21_18,USA,33.87478,-83.28732
NAM,Athens,22,4,r,Athens_22_4,USA,33.84832,-83.28397
NAM,Athens,22,6,r,Athens_22_6,USA,33.84832,-83.28397
NAM,Athens,23,5,r,Athens_23_5,USA,33.8393,-83.27975
NAM,Athens,23,6,r,Athens_23_6,USA,33.8393,-83.27975
NAM,Athens,24,17,r,Athens_24_17,USA,33.82508,-83.27802
NAM,Athens,24,7,r,Athens_24_7,USA,33.82508,-83.27802
NAM,Athens,25,17,r,Athens_25_17,USA,33.85408,-83.30908
NAM,Athens,24,13,r,Athens_24_13,USA,33.82508,-83.27802
NAM,Athens,10,15,u,Athens_10_15,USA,33.95515,-83.37103
NAM,Athens,10,14,u,Athens_10_14,USA,33.95515,-83.37103
NAM,Athens,6,10,u,Athens_6_10,USA,33.96848,-83.3708
NAM,Athens,6,4,u,Athens_6_4,USA,33.96848,-83.3708
NAM,Athens,7,19,u,Athens_7_19,USA,33.9642,-83.37788
NAM,Athens,7,3,u,Athens_7_3,USA,33.9642,-83.37788
NAM,Athens,8,4,u,Athens_8_4,USA,33.96295,-83.3759
NAM,Athens,8,19,u,Athens_8_19,USA,33.96295,-83.3759
NAM,Athens,9,5,u,Athens_9_5,USA,33.96325,-83.37477
NAM,Athens,9,15,u,Athens_9_15,USA,33.96325,-83.37477
