continent,city,pop,individual,site,plantID,qubit_1,qubit_2,qubit_3,row_firstPlating,column_firstPlating,row_secondPlating,column_secondPlating,max_qubit,initial_vol,TE_vol,leftover
ASI,Beijing,20,6,r,Beijing_20_6,NA,NA,43.6,NA,NA,b,12,43.6,5.73,19.27,Yes
ASI,Beijing,17,24,r,Beijing_17_24,NA,NA,12.3,NA,NA,a,9,12.3,20.33,4.67,No
ASI,Beijing,12,2,r,Beijing_12_2,NA,NA,9.62,NA,NA,b,8,9.62,25,0,No
ASI,Beijing,18,15,r,Beijing_18_15,NA,NA,7.9,NA,NA,h,9,7.9,25,0,No
ASI,Beijing,20,2,r,Beijing_20_2,NA,NA,7.859999999999999,NA,NA,h,12,7.859999999999999,25,0,No
ASI,Beijing,12,14,r,Beijing_12_14,NA,NA,7.659999999999999,NA,NA,c,7,7.659999999999999,25,0,No
ASI,Beijing,12,4,r,Beijing_12_4,NA,NA,7.2,NA,NA,h,7,7.2,25,0,No
ASI,Beijing,11,3,u,Beijing_11_3,NA,NA,8.219999999999999,NA,NA,c,5,8.219999999999999,25,0,No
ASI,Beijing,1,7,u,Beijing_1_7,NA,NA,6.74,NA,NA,b,1,6.74,25,0,No
ASI,Beijing,11,7,u,Beijing_11_7,NA,NA,6.56,NA,NA,a,5,6.56,25,0,No
ASI,Beijing,1,20,u,Beijing_1_20,NA,NA,5.4,NA,NA,h,1,5.4,25,0,No
ASI,Beijing,11,2,u,Beijing_11_2,NA,NA,5.22,NA,NA,b,5,5.22,25,0,No
ASI,Beijing,11,13,u,Beijing_11_13,NA,NA,5.14,NA,NA,d,5,5.14,25,0,No
ASI,Beijing,10,7,u,Beijing_10_7,NA,NA,4.88,NA,NA,d,4,4.88,25,0,No
EU,Brighton,36,6,r,Brighton_36_6,NA,NA,62.4,NA,NA,e,7,62.4,4.01,20.99,Yes
EU,Brighton,36,2,r,Brighton_36_2,NA,NA,21.6,NA,NA,a,7,21.6,11.57,13.43,Yes
EU,Brighton,37,2,r,Brighton_37_2,NA,NA,17.1,NA,NA,c,8,17.1,14.62,10.38,Yes
EU,Brighton,37,1,r,Brighton_37_1,NA,NA,11.5,NA,NA,b,8,11.5,21.74,3.26,No
EU,Brighton,38,3,r,Brighton_38_3,NA,NA,22,NA,NA,f,9,22,11.36,13.64,Yes
EU,Brighton,39,16,r,Brighton_39_16,NA,NA,12.8,NA,NA,d,11,12.8,19.53,5.47,Yes
EU,Brighton,40,12,r,Brighton_40_12,NA,NA,12.8,NA,NA,e,12,12.8,19.53,5.47,Yes
EU,Brighton,1,8,u,Brighton_1_8,NA,NA,41.4,NA,NA,e,1,41.4,6.04,18.96,Yes
EU,Brighton,1,10,u,Brighton_1_10,NA,NA,20,NA,NA,g,1,20,12.5,12.5,Yes
EU,Brighton,2,5,u,Brighton_2_5,NA,NA,40.4,NA,NA,f,2,40.4,6.19,18.81,Yes
EU,Brighton,3,3,u,Brighton_3_3,NA,NA,11.1,NA,NA,d,3,11.1,22.52,2.48,No
EU,Brighton,4,5,u,Brighton_4_5,NA,NA,16.6,NA,NA,b,5,16.6,15.06,9.94,Yes
