continent,city,pop,individual,site,plantID,qubit_1,qubit_2,qubit_3,row_firstPlating,column_firstPlating,row_secondPlating,column_secondPlating,max_qubit,initial_vol,TE_vol,leftover,Bioruptor_label
ASI,Beijing,19,13,r,Beijing_19_13,NA,NA,8.739999999999998,NA,NA,d,11,8.739999999999998,25,0,No,BEI-4
ASI,Beijing,12,9,r,Beijing_12_9,NA,NA,7.5,NA,NA,e,7,7.5,25,0,No,BEI-8
ASI,Beijing,18,14,r,Beijing_18_14,NA,NA,7.359999999999999,NA,NA,d,9,7.359999999999999,25,0,No,BEI-9
ASI,Beijing,24,4,u,Beijing_24_4,NA,NA,23.8,NA,NA,g,5,23.8,10.5,14.5,Yes,BEI-11
ASI,Beijing,10,5,u,Beijing_10_5,NA,NA,12.3,NA,NA,g,3,12.3,20.33,4.67,No,BEI-12
ASI,Beijing,2,3,u,Beijing_2_3,NA,NA,8.6,NA,NA,g,2,8.6,25,0,No,BEI-13
EU,Brighton,40,1,r,Brighton_40_1,NA,NA,11.6,NA,NA,h,11,11.6,21.55,3.45,No,BRI-10
EU,Brighton,38,20,r,Brighton_38_20,NA,NA,21.8,NA,NA,e,10,21.8,11.47,13.53,Yes,BRI-6
EU,Brighton,39,6,r,Brighton_39_6,NA,NA,28.8,NA,NA,g,10,28.8,8.68,16.32,Yes,BRI-7
EU,Brighton,2,6,u,Brighton_2_6,NA,NA,25.4,NA,NA,g,2,25.4,9.84,15.16,Yes,BRI-13
EU,Brighton,3,6,u,Brighton_3_6,NA,NA,14.2,NA,NA,f,3,14.2,17.61,7.39,Yes,BRI-16
EU,Brighton,5,1,u,Brighton_5_1,NA,NA,38.4,NA,NA,f,5,38.4,6.51,18.49,Yes,BRI-20
NAM,Edmonton,37,4,r,Edmonton_37_4,13.8,NA,NA,d,7,NA,NA,13.8,18.12,6.88,Yes,YEG-7
NAM,Edmonton,39,11,r,Edmonton_39_11,8.950000000000001,NA,NA,a,10,NA,NA,8.950000000000001,25,0,No,YEG-10
NAM,Edmonton,38,7,r,Edmonton_38_7,15,NA,NA,e,8,NA,NA,15,16.67,8.33,Yes,YEG-8
NAM,Edmonton,1,4,u,Edmonton_1_4,15.3,NA,NA,c,1,NA,NA,15.3,16.34,8.66,Yes,YEG-11
NAM,Edmonton,3,10,u,Edmonton_3_10,21.7,NA,NA,b,4,NA,NA,21.7,11.52,13.48,Yes,YEG-15
NAM,Edmonton,5,4,u,Edmonton_5_4,26.4,NA,NA,g,5,NA,NA,26.4,9.47,15.53,Yes,YEG-19
ASI,Lanzhou,1,8,r,Lanzhou_1_8,24.6,NA,NA,d,1,NA,NA,24.6,10.16,14.84,Yes,LNZ-1
ASI,Lanzhou,2,15,r,Lanzhou_2_15,12.6,NA,NA,b,2,NA,NA,12.6,19.84,5.16,Yes,LNZ-3
ASI,Lanzhou,3,15,r,Lanzhou_3_15,10.2,NA,NA,c,3,NA,NA,10.2,24.51,0.49,No,LNZ-6
ASI,Lanzhou,33,7,u,Lanzhou_33_7,7.1899999999999995,NA,NA,c,7,NA,NA,7.1899999999999995,25,0,No,LNZ-19
ASI,Lanzhou,35,14,u,Lanzhou_35_14,11.9,NA,NA,f,9,NA,NA,11.9,21.01,3.99,No,LNZ-14
ASI,Lanzhou,37,15,u,Lanzhou_37_15,9.709999999999999,NA,NA,c,11,NA,NA,9.709999999999999,25,0,No,LNZ-16
EU,Munster,40,6,r,Munster_40_6,9.18,NA,16.1,h,11,b,12,16.1,15.53,9.47,Yes,MUN-9
EU,Munster,39,5,r,Munster_39_5,26,NA,0,e,10,c,11,26,9.62,15.38,Yes,MUN-8
EU,Munster,37,10,r,Munster_37_10,2.09,NA,17.5,b,9,b,9,17.5,14.29,10.71,Yes,MUN-3
EU,Munster,1,7,u,Munster_1_7,10.9,NA,0,c,1,g,1,10.9,22.94,2.06,No,MUN-12
EU,Munster,2,2,u,Munster_2_2,NA,NA,18.4,NA,NA,d,2,18.4,13.59,11.41,Yes,MUN-13
EU,Munster,3,6,u,Munster_3_6,10.3,NA,8.4,e,3,a,4,10.3,24.27,0.73,No,MUN-16
OCE,Newcastle,50,10,r,Newcastle_50_10,6.6,NA,NA,h,12,NA,NA,6.6,25,0,No,NEW-9
OCE,Newcastle,48,2,r,Newcastle_48_2,8,NA,NA,e,9,NA,NA,8,25,0,No,NEW-6
OCE,Newcastle,47,2,r,Newcastle_47_2,9.34,NA,NA,c,8,NA,NA,9.34,25,0,No,NEW-4
OCE,Newcastle,6,6,u,Newcastle_6_6,11.5,NA,NA,h,2,NA,NA,11.5,21.74,3.26,No,NEW-20
OCE,Newcastle,8,8,u,Newcastle_8_8,10.8,NA,NA,e,5,NA,NA,10.8,23.15,1.85,No,NEW-16
OCE,Newcastle,7,3,u,Newcastle_7_3,25.4,NA,NA,f,3,NA,NA,25.4,9.84,15.16,Yes,NEW-15
NAM,Norfolk,1,15,r,Norfolk_1_15,NA,NA,6.58,NA,NA,b,2,6.58,25,0,No,NOR-7
NAM,Norfolk,5,1,r,Norfolk_5_1,NA,NA,11,NA,NA,h,6,11,22.73,2.27,No,NOR-3
NAM,Norfolk,4,9,r,Norfolk_4_9,NA,NA,16.8,NA,NA,f,4,16.8,14.88,10.12,Yes,NOR-6
NAM,Norfolk,34,3,u,Norfolk_34_3,NA,NA,8.7,NA,NA,e,7,8.7,25,0,No,NOR-15
NAM,Norfolk,36,6,u,Norfolk_36_6,NA,NA,4.98,NA,NA,a,10,4.98,25,0,No,NOR-20
