city,site,count_deep3Only,count_withLow1
Albuquerque,r,37,47
Albuquerque,u,36,46
Antwerp,r,38,48
Antwerp,u,38,48
Armidale,r,37,47
Armidale,u,36,46
Athens,r,37,47
Athens,u,35,45
Bogota,r,19,29
Bogota,u,23,33
Buenos_Aires,r,25,35
Buenos_Aires,u,33,43
Calgary,r,38,48
Calgary,u,36,46
Canberra,r,14,24
Canberra,u,25,35
Cape_Town,r,33,43
Cape_Town,u,33,43
Christchurch,r,38,48
Christchurch,u,38,48
Hiroshima,r,28,38
Hiroshima,u,31,41
Kunming,r,27,37
Kunming,u,28,38
Kyoto,r,16,26
Kyoto,u,12,22
Landshut,r,38,48
Landshut,u,37,47
Linkoping,r,40,50
Linkoping,u,37,47
Loja,r,16,26
Loja,u,20,30
Medellin,r,19,29
Medellin,u,14,24
Melbourne,r,27,37
Melbourne,u,28,38
Memphis,r,9,19
Memphis,u,38,48
Mexico_City,r,38,48
Mexico_City,u,38,48
Munich,r,35,45
Munich,u,35,45
Palmerston_North,r,41,51
Palmerston_North,u,44,54
Paris,r,37,47
Paris,u,39,49
Punta_Arenas,r,39,49
Punta_Arenas,u,42,52
Quito,r,12,22
Quito,u,10,20
Sapporo,r,44,54
Sapporo,u,45,55
Tehran,r,38,48
Tehran,u,36,46
Thessaloniki,r,36,46
Thessaloniki,u,37,47
Vancouver,r,43,53
Vancouver,u,45,55
Warsaw,r,37,47
Warsaw,u,41,51
