city,population,HCN_Result,plant_dens,dist,std_dist,population_latitude,population_longitude
Waterloo,1,0.3,9.4,0.03,0.0,43.464028000000006,-80.520358
Waterloo,2,0.2,12.8,0.36,0.039855072000000005,43.462699,-80.524331
Waterloo,3,0.25,14.8,0.6,0.06884058,43.46045,-80.52561700000003
Waterloo,4,0.473684211,8.0,0.87,0.101449275,43.460933,-80.53009
Waterloo,5,0.15,5.0,1.18,0.13888888900000002,43.460929,-80.534235
Waterloo,6,0.588235294,0.0,1.45,0.171497585,43.460386,-80.537497
Waterloo,7,0.3,1.8,1.67,0.198067633,43.458412,-80.539312
Waterloo,8,0.2,5.2,1.87,0.222222222,43.459045,-80.54238000000002
Waterloo,9,0.1,11.0,2.2,0.262077295,43.45964,-80.546837
Waterloo,10,0.19047619,20.0,2.37,0.282608696,43.458821,-80.548753
Waterloo,11,0.315789474,21.0,2.63,0.314009662,43.4565,-80.551126
Waterloo,12,0.25,9.0,3.06,0.365942029,43.455392,-80.556158
Waterloo,13,0.333333333,8.0,3.29,0.393719807,43.454486,-80.558809
Waterloo,14,0.2,16.0,3.63,0.434782609,43.452838,-80.56245799999998
Waterloo,15,0.705882353,5.0,3.93,0.471014493,43.452433,-80.566139
Waterloo,16,0.25,8.2,4.25,0.509661836,43.451776,-80.570014
Waterloo,17,0.3,12.4,4.42,0.530193237,43.450918,-80.571854
Waterloo,18,0.1,22.2,4.77,0.572463768,43.450573,-80.576323
Waterloo,19,0.25,10.6,5.05,0.606280193,43.451573,-80.580275
Waterloo,20,0.15,10.2,5.27,0.6328502420000001,43.453436,-80.583768
Waterloo,21,0.25,4.8,5.61,0.673913043,43.449814,-80.58676
Waterloo,22,0.111111111,0.0,5.81,0.698067633,43.445773,-80.587547
Waterloo,23,0.380952381,6.4,6.15,0.739130435,43.440968,-80.58929300000001
Waterloo,24,0.333333333,6.6,6.5,0.781400966,43.440584,-80.593789
Waterloo,25,0.1,9.0,6.86,0.824879227,43.439416,-80.598
Waterloo,26,0.5,16.8,7.0,0.84178744,43.43946500000001,-80.599915
Waterloo,27,0.6315789470000001,6.6,7.32,0.880434783,43.438872,-80.603794
Waterloo,28,0.2,7.6,7.51,0.903381643,43.438276,-80.60598399999998
Waterloo,29,0.095238095,0.0,7.91,0.951690821,43.437752,-80.611079
Waterloo,30,0.05,11.4,8.31,1.0,43.436995,-80.616003
