OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,santa_maria_223081_20140119_LST_pcs_OID,santa_maria_223081_20140119_LST_pcs_FID_,santa_maria_223081_20140119_LST_pcs_COUNT,santa_maria_223081_20140119_LST_pcs_AREA,santa_maria_223081_20140119_LST_pcs_MEAN
-1,Santa_Maria,1,-29.685669999999998,-53.802610000000001,20,15,0.750000000000000,-29.686389999999999,-53.811340000000001,South America,0.847100000000000,10.637900000000000,0.079600000000000,100.000000000000000,0,0,0,36,32400.000000000000000,38.364049213000001
-1,Santa_Maria,2,-29.695969999999999,-53.719279999999998,5,5,1.000000000000000,-29.686389999999999,-53.811340000000001,South America,8.956200000000001,10.637900000000000,0.841900000000000,100.000000000000000,1,1,1,36,32400.000000000000000,35.820289213000002
-1,Santa_Maria,3,-29.719280000000001,-53.717689999999997,20,14,0.700000000000000,-29.686389999999999,-53.811340000000001,South America,9.756500000000001,10.637900000000000,0.917100000000000,100.000000000000000,2,2,2,35,31500.000000000000000,37.918970041800002
-1,Santa_Maria,4,-29.723389999999998,-53.716690000000000,20,16,0.800000000000000,-29.686389999999999,-53.811340000000001,South America,10.024699999999999,10.637900000000000,0.942400000000000,100.000000000000000,3,3,3,36,32400.000000000000000,37.041497648799997
-1,Santa_Maria,5,-29.724440000000001,-53.712170000000000,19,18,0.947000000000000,-29.686389999999999,-53.811340000000001,South America,10.470900000000000,10.637900000000000,0.984300000000000,100.000000000000000,4,4,4,36,32400.000000000000000,37.305924720699998
-1,Santa_Maria,6,-29.721609999999998,-53.718670000000003,20,12,0.600000000000000,-29.686389999999999,-53.811340000000001,South America,9.769700000000000,10.637900000000000,0.918400000000000,100.000000000000000,5,5,5,36,32400.000000000000000,37.261881947299997
-1,Santa_Maria,7,-29.715969999999999,-53.714280000000002,19,16,0.842000000000000,-29.686389999999999,-53.811340000000001,South America,9.934900000000001,10.637900000000000,0.933900000000000,100.000000000000000,6,6,6,36,32400.000000000000000,36.181080053899997
-1,Santa_Maria,8,-29.727720000000001,-53.756059999999998,20,18,0.900000000000000,-29.686389999999999,-53.811340000000001,South America,7.044500000000000,10.637900000000000,0.662200000000000,100.000000000000000,7,7,7,36,32400.000000000000000,32.933308353599998
-1,Santa_Maria,9,-29.725030000000000,-53.752060000000000,20,17,0.850000000000000,-29.686389999999999,-53.811340000000001,South America,7.158200000000000,10.637900000000000,0.672900000000000,100.000000000000000,8,8,8,37,33300.000000000000000,36.856985636799998
-1,Santa_Maria,10,-29.720330000000001,-53.722189999999998,20,10,0.500000000000000,-29.686389999999999,-53.811340000000001,South America,9.401199999999999,10.637900000000000,0.883700000000000,100.000000000000000,9,9,9,35,31500.000000000000000,33.035591555000003
-1,Santa_Maria,11,-29.722390000000001,-53.712170000000000,20,16,0.800000000000000,-29.686389999999999,-53.811340000000001,South America,10.381000000000000,10.637900000000000,0.975900000000000,100.000000000000000,10,10,10,35,31500.000000000000000,34.897910219600000
-1,Santa_Maria,12,-29.725999999999999,-53.711080000000003,15,10,0.667000000000000,-29.686389999999999,-53.811340000000001,South America,10.637900000000000,10.637900000000000,1.000000000000000,100.000000000000000,11,11,11,35,31500.000000000000000,35.730690377899997
-1,Santa_Maria,13,-29.692580000000000,-53.800559999999997,10,3,0.300000000000000,-29.686389999999999,-53.811340000000001,South America,1.248200000000000,10.637900000000000,0.117300000000000,100.000000000000000,12,12,12,36,32400.000000000000000,40.734145443199999
-1,Santa_Maria,14,-29.713580000000000,-53.716110000000000,13,5,0.385000000000000,-29.686389999999999,-53.811340000000001,South America,9.682200000000000,10.637900000000000,0.910200000000000,100.000000000000000,13,13,13,36,32400.000000000000000,39.664573475499999
-1,Santa_Maria,15,-29.718470000000000,-53.719610000000003,15,3,0.200000000000000,-29.686389999999999,-53.811340000000001,South America,9.550900000000000,10.637900000000000,0.897800000000000,100.000000000000000,14,14,14,32,28800.000000000000000,35.124179100900001
-1,Santa_Maria,16,-29.725639999999999,-53.737780000000001,15,9,0.600000000000000,-29.686389999999999,-53.811340000000001,South America,8.337999999999999,10.637900000000000,0.783800000000000,100.000000000000000,15,15,15,36,32400.000000000000000,34.815751950799999
