OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,fredericton_010028_20180721_LST_pcs_OID,fredericton_010028_20180721_LST_pcs_FID_,fredericton_010028_20180721_LST_pcs_COUNT,fredericton_010028_20180721_LST_pcs_AREA,fredericton_010028_20180721_LST_pcs_MEAN
-1,Fredericton,1,45.963979999999999,-66.649760000000001,20,1,0.050000000000000,45.962040999999999,-66.643934000000002,Canada,North America,0.499300000000000,11.910200000000000,0.041900000000000,100.000000000000000,0,0,0,35,31500.000000000000000,39.353897502599999
-1,Fredericton,2,45.963940000000001,-66.649500000000003,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,Canada,North America,0.479200000000000,11.910200000000000,0.040200000000000,100.000000000000000,1,1,1,4,3600.000000000000000,40.958471223899998
-1,Fredericton,3,45.963180000000001,-66.646209999999996,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,Canada,North America,0.216800000000000,11.910200000000000,0.018200000000000,100.000000000000000,2,2,2,37,33300.000000000000000,42.559223917499999
-1,Fredericton,4,45.963839999999998,-66.642820000000000,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,Canada,North America,0.217800000000000,11.910200000000000,0.018300000000000,100.000000000000000,3,3,3,34,30600.000000000000000,40.422442287300001
-1,Fredericton,5,45.962539999999997,-66.641409999999993,20,0,0.000000000000000,45.962040999999999,-66.643934000000002,Canada,North America,0.202800000000000,11.910200000000000,0.017000000000000,100.000000000000000,4,4,4,34,30600.000000000000000,43.619696354500000
-1,Fredericton,6,45.959930000000000,-66.636640000000000,20,5,0.250000000000000,45.962040999999999,-66.643934000000002,Canada,North America,0.610700000000000,11.910200000000000,0.051300000000000,100.000000000000000,5,5,5,35,31500.000000000000000,41.073370135799998
-1,Fredericton,7,45.958170000000003,-66.637540000000001,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,Canada,North America,0.655400000000000,11.910200000000000,0.055000000000000,100.000000000000000,6,6,6,37,33300.000000000000000,38.133064414200000
-1,Fredericton,8,45.956370000000000,-66.636489999999995,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,Canada,North America,0.853700000000000,11.910200000000000,0.071700000000000,100.000000000000000,7,7,7,35,31500.000000000000000,34.345571729200003
-1,Fredericton,9,45.954819999999998,-66.634540000000001,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,Canada,North America,1.082600000000000,11.910200000000000,0.090900000000000,100.000000000000000,8,8,8,37,33300.000000000000000,33.227792173099999
-1,Fredericton,10,45.953009999999999,-66.632429999999999,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,Canada,North America,1.341400000000000,11.910200000000000,0.112600000000000,100.000000000000000,9,9,9,32,28800.000000000000000,30.472502291000001
-1,Fredericton,11,45.951990000000002,-66.632400000000004,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,Canada,North America,1.429700000000000,11.910200000000000,0.120000000000000,100.000000000000000,10,10,10,26,23400.000000000000000,30.111175557399999
-1,Fredericton,12,45.947830000000003,-66.632279999999994,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,Canada,North America,1.819000000000000,11.910200000000000,0.152700000000000,100.000000000000000,11,11,11,35,31500.000000000000000,28.595981137500001
-1,Fredericton,13,45.945630000000001,-66.635090000000005,20,1,0.050000000000000,45.962040999999999,-66.643934000000002,Canada,North America,1.948700000000000,11.910200000000000,0.163600000000000,100.000000000000000,12,12,12,35,31500.000000000000000,32.427571228399998
-1,Fredericton,14,45.943779999999997,-66.633520000000004,20,5,0.250000000000000,45.962040999999999,-66.643934000000002,Canada,North America,2.184300000000000,11.910200000000000,0.183400000000000,100.000000000000000,13,13,13,35,31500.000000000000000,30.015662934300000
-1,Fredericton,15,45.940610000000000,-66.631540000000001,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,Canada,North America,2.568400000000000,11.910200000000000,0.215600000000000,100.000000000000000,14,14,14,32,28800.000000000000000,31.308717743100001
-1,Fredericton,16,45.936279999999996,-66.627250000000004,20,6,0.300000000000000,45.962040999999999,-66.643934000000002,Canada,North America,3.141500000000000,11.910200000000000,0.263800000000000,100.000000000000000,15,15,15,36,32400.000000000000000,31.094330443000000
-1,Fredericton,17,45.930740000000000,-66.622990000000001,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,Canada,North America,3.838800000000000,11.910200000000000,0.322300000000000,100.000000000000000,16,16,16,32,28800.000000000000000,33.398922486600000
-1,Fredericton,18,45.928710000000002,-66.619029999999995,20,7,0.350000000000000,45.962040999999999,-66.643934000000002,Canada,North America,4.176600000000000,11.910200000000000,0.350700000000000,100.000000000000000,17,17,17,35,31500.000000000000000,30.475811630199999
-1,Fredericton,19,45.927480000000003,-66.615399999999994,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,Canada,North America,4.431300000000000,11.910200000000000,0.372100000000000,100.000000000000000,18,18,18,36,32400.000000000000000,30.042365648699999
-1,Fredericton,20,45.926209999999998,-66.611300000000000,20,5,0.250000000000000,45.962040999999999,-66.643934000000002,Canada,North America,4.716000000000000,11.910200000000000,0.396000000000000,100.000000000000000,19,19,19,37,33300.000000000000000,30.505306626799999
-1,Fredericton,21,45.925989999999999,-66.608009999999993,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,Canada,North America,4.877000000000000,11.910200000000000,0.409500000000000,100.000000000000000,20,20,20,36,32400.000000000000000,28.976430972999999
-1,Fredericton,22,45.924199999999999,-66.605249999999998,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,Canada,North America,5.162500000000000,11.910200000000000,0.433500000000000,100.000000000000000,21,21,21,36,32400.000000000000000,32.420954780199999
-1,Fredericton,23,45.922890000000002,-66.601119999999995,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,Canada,North America,5.469100000000000,11.910200000000000,0.459200000000000,100.000000000000000,22,22,22,35,31500.000000000000000,29.194016868199999
-1,Fredericton,24,45.921129999999998,-66.598870000000005,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,Canada,North America,5.730300000000000,11.910200000000000,0.481100000000000,100.000000000000000,23,23,23,37,33300.000000000000000,31.487401467200002
-1,Fredericton,25,45.919870000000003,-66.596850000000003,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,Canada,North America,5.936600000000000,11.910200000000000,0.498400000000000,100.000000000000000,24,24,24,35,31500.000000000000000,34.586066285599998
-1,Fredericton,26,45.916789999999999,-66.592230000000001,20,1,0.050000000000000,45.962040999999999,-66.643934000000002,Canada,North America,6.426700000000000,11.910200000000000,0.539600000000000,100.000000000000000,25,25,25,32,28800.000000000000000,30.614438371599999
-1,Fredericton,27,45.914369999999998,-66.589389999999995,20,3,0.150000000000000,45.962040999999999,-66.643934000000002,Canada,North America,6.774100000000000,11.910200000000000,0.568800000000000,100.000000000000000,26,26,26,35,31500.000000000000000,30.013619111600001
-1,Fredericton,28,45.912050000000001,-66.587320000000005,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,Canada,North America,7.075800000000000,11.910200000000000,0.594100000000000,100.000000000000000,27,27,27,37,33300.000000000000000,31.362670083499999
-1,Fredericton,29,45.909669999999998,-66.585859999999997,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,Canada,North America,7.354000000000000,11.910200000000000,0.617500000000000,100.000000000000000,28,28,28,36,32400.000000000000000,33.036134871900003
-1,Fredericton,30,45.907570000000000,-66.582650000000001,20,5,0.250000000000000,45.962040999999999,-66.643934000000002,Canada,North America,7.690700000000000,11.910200000000000,0.645700000000000,100.000000000000000,29,29,29,36,32400.000000000000000,32.489801342100002
-1,Fredericton,31,45.905970000000003,-66.579759999999993,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,Canada,North America,7.968900000000000,11.910200000000000,0.669100000000000,100.000000000000000,30,30,30,35,31500.000000000000000,32.858614077699997
-1,Fredericton,32,45.903779999999998,-66.577309999999997,20,8,0.400000000000000,45.962040999999999,-66.643934000000002,Canada,North America,8.277500000000000,11.910200000000000,0.695000000000000,100.000000000000000,31,31,31,32,28800.000000000000000,34.123362751099997
-1,Fredericton,33,45.902580000000000,-66.576269999999994,20,8,0.400000000000000,45.962040999999999,-66.643934000000002,Canada,North America,8.432000000000000,11.910200000000000,0.708000000000000,100.000000000000000,32,32,32,32,28800.000000000000000,30.280152507099999
-1,Fredericton,34,45.896039999999999,-66.573999999999998,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,Canada,North America,9.116800000000000,11.910200000000000,0.765500000000000,100.000000000000000,33,33,33,37,33300.000000000000000,29.796731211200001
-1,Fredericton,35,45.896500000000003,-66.566249999999997,20,4,0.200000000000000,45.962040999999999,-66.643934000000002,Canada,North America,9.445100000000000,11.910200000000000,0.793000000000000,100.000000000000000,34,34,34,35,31500.000000000000000,31.038008017300001
-1,Fredericton,36,45.895640000000000,-66.561880000000002,20,0,0.000000000000000,45.962040999999999,-66.643934000000002,Canada,North America,9.736000000000001,11.910200000000000,0.817500000000000,100.000000000000000,35,35,35,32,28800.000000000000000,31.136666971600000
-1,Fredericton,37,45.893099999999997,-66.558539999999994,20,6,0.300000000000000,45.962040999999999,-66.643934000000002,Canada,North America,10.118700000000000,11.910200000000000,0.849600000000000,100.000000000000000,36,36,36,34,30600.000000000000000,30.992482740800000
-1,Fredericton,38,45.891910000000003,-66.556590000000000,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,Canada,North America,10.317399999999999,11.910200000000000,0.866300000000000,100.000000000000000,37,37,37,36,32400.000000000000000,32.187453007000002
-1,Fredericton,39,45.889740000000003,-66.554130000000001,20,2,0.100000000000000,45.962040999999999,-66.643934000000002,Canada,North America,10.624499999999999,11.910200000000000,0.892100000000000,100.000000000000000,38,38,38,35,31500.000000000000000,30.414520095899999
-1,Fredericton,40,45.881560000000000,-66.542330000000007,20,1,0.050000000000000,45.962040999999999,-66.643934000000002,Canada,North America,11.910200000000000,11.910200000000000,1.000000000000000,100.000000000000000,39,39,39,35,31500.000000000000000,31.589529646700001
