OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,toluca_026047_20180518_LST_pcs_OID,toluca_026047_20180518_LST_pcs_FID_,toluca_026047_20180518_LST_pcs_COUNT,toluca_026047_20180518_LST_pcs_AREA,toluca_026047_20180518_LST_pcs_MEAN
-1,Toluca,TOL1,19.282150000000001,-99.673040000000000,20,8,0.400000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,2.124100000000000,29.792500000000000,0.071300000000000,100.000000000000000,0,0,0,35,31500.000000000000000,42.399971805699998
-1,Toluca,TOL10,19.276800000000001,-99.581239999999994,20,20,1.000000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,8.006399999999999,29.792500000000000,0.268700000000000,100.000000000000000,1,1,1,37,33300.000000000000000,38.918052052900002
-1,Toluca,TOL11,19.277640000000002,-99.568979999999996,20,10,0.500000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,9.250999999999999,29.792500000000000,0.310500000000000,100.000000000000000,2,2,2,35,31500.000000000000000,39.027979585099999
-1,Toluca,TOL12,19.317920000000001,-99.460740000000001,20,20,1.000000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,20.667800000000000,29.792500000000000,0.693700000000000,100.000000000000000,3,3,3,33,29700.000000000000000,38.219129248000002
-1,Toluca,TOL13,19.316459999999999,-99.466579999999993,20,20,1.000000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,20.038499999999999,29.792500000000000,0.672600000000000,100.000000000000000,4,4,4,37,33300.000000000000000,38.086276944300003
-1,Toluca,TOL14,19.309470000000001,-99.633290000000002,20,17,0.850000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,3.048100000000000,29.792500000000000,0.102300000000000,100.000000000000000,5,5,5,37,33300.000000000000000,44.776629472800003
-1,Toluca,TOL15,19.301990000000000,-99.372090000000000,20,17,0.850000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,29.792500000000000,29.792500000000000,1.000000000000000,100.000000000000000,6,6,6,35,31500.000000000000000,36.365946492500001
-1,Toluca,TOL16,19.301010000000002,-99.382599999999996,20,20,1.000000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,28.686399999999999,29.792500000000000,0.962900000000000,100.000000000000000,7,7,7,36,32400.000000000000000,38.329846685699998
-1,Toluca,TOL17,19.284379999999999,-99.501180000000005,20,1,0.050000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,16.248300000000000,29.792500000000000,0.545400000000000,100.000000000000000,8,8,8,36,32400.000000000000000,41.144454259200003
-1,Toluca,TOL18,19.287920000000000,-99.617170000000002,20,20,1.000000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,4.078700000000000,29.792500000000000,0.136900000000000,100.000000000000000,9,9,9,35,31500.000000000000000,39.637596423900000
-1,Toluca,TOL19,19.328930000000000,-99.452389999999994,20,20,1.000000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,21.732199999999999,29.792500000000000,0.729500000000000,100.000000000000000,10,10,10,35,31500.000000000000000,33.616617778500000
-1,Toluca,TOL2,19.286519999999999,-99.676050000000004,20,5,0.250000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,2.217000000000000,29.792500000000000,0.074400000000000,100.000000000000000,11,11,11,37,33300.000000000000000,38.781263822100001
-1,Toluca,TOL20,19.335899999999999,-99.467010000000002,20,20,1.000000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,20.398000000000000,29.792500000000000,0.684700000000000,100.000000000000000,12,12,12,32,28800.000000000000000,37.942001022900001
-1,Toluca,TOL21,19.402519999999999,-99.474950000000007,20,20,1.000000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,22.596900000000002,29.792500000000000,0.758500000000000,100.000000000000000,13,13,13,32,28800.000000000000000,37.006793303599999
-1,Toluca,TOL22,19.397269999999999,-99.525559999999999,20,5,0.250000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,17.982099999999999,29.792500000000000,0.603600000000000,100.000000000000000,14,14,14,35,31500.000000000000000,41.072809749199997
-1,Toluca,TOL3,19.289870000000001,-99.679469999999995,20,18,0.900000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,2.499200000000000,29.792500000000000,0.083900000000000,100.000000000000000,15,15,15,36,32400.000000000000000,38.284734641299998
-1,Toluca,TOL4,19.290590000000002,-99.603380000000001,20,13,0.650000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,5.501800000000000,29.792500000000000,0.184700000000000,100.000000000000000,16,16,16,36,32400.000000000000000,41.928490707199998
-1,Toluca,TOL5,19.279769999999999,-99.603380000000001,20,0,0.000000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,5.668200000000000,29.792500000000000,0.190300000000000,100.000000000000000,17,17,17,35,31500.000000000000000,41.700514078600001
-1,Toluca,TOL6,19.269749999999998,-99.607460000000003,20,3,0.150000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,5.648500000000000,29.792500000000000,0.189600000000000,100.000000000000000,18,18,18,35,31500.000000000000000,36.727755674100003
-1,Toluca,TOL7,19.270000000000000,-99.629339999999999,20,4,0.200000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,3.708000000000000,29.792500000000000,0.124500000000000,100.000000000000000,19,19,19,34,30600.000000000000000,42.134284691799998
-1,Toluca,TOL8,19.272459999999999,-99.630939999999995,20,0,0.000000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,3.402100000000000,29.792500000000000,0.114200000000000,100.000000000000000,20,20,20,34,30600.000000000000000,40.404791996299998
-1,Toluca,TOL9,19.276840000000000,-99.600790000000003,20,13,0.650000000000000,19.292120000000001,-99.655777000000000,Mexico,North America,6.016100000000000,29.792500000000000,0.201900000000000,100.000000000000000,21,21,21,34,30600.000000000000000,41.655788443500001
