OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,frankfurt_196025_20130714_LST_pcs_OID,frankfurt_196025_20130714_LST_pcs_FID_,frankfurt_196025_20130714_LST_pcs_COUNT,frankfurt_196025_20130714_LST_pcs_AREA,frankfurt_196025_20130714_LST_pcs_MEAN
-1,Frankfurt,1,50.079590000000003,8.672150000000000,15,2,0.133000000000000,50.110644000000001,8.682092000000001,Europe,3.525100000000000,17.040099999999999,0.206900000000000,100.000000000000000,0,0,0,36,32400.000000000000000,29.641332455200001
-1,Frankfurt,2,50.082619999999999,8.677190000000000,15,3,0.200000000000000,50.110644000000001,8.682092000000001,Europe,3.135700000000000,17.040099999999999,0.184000000000000,100.000000000000000,1,1,1,36,32400.000000000000000,29.335345005299999
-1,Frankfurt,3,50.089570000000002,8.675520000000001,19,6,0.316000000000000,50.110644000000001,8.682092000000001,Europe,2.389700000000000,17.040099999999999,0.140200000000000,100.000000000000000,2,2,2,35,31500.000000000000000,32.163774588400003
-1,Frankfurt,4,50.094200000000001,8.677870000000000,17,1,0.059000000000000,50.110644000000001,8.682092000000001,Europe,1.853100000000000,17.040099999999999,0.108700000000000,100.000000000000000,3,3,3,35,31500.000000000000000,32.941746654600003
-1,Frankfurt,5,50.096739999999997,8.675369999999999,20,7,0.350000000000000,50.110644000000001,8.682092000000001,Europe,1.618700000000000,17.040099999999999,0.095000000000000,100.000000000000000,4,4,4,36,32400.000000000000000,32.970372615000002
-1,Frankfurt,6,50.102139999999999,8.681740000000000,16,16,1.000000000000000,50.110644000000001,8.682092000000001,Europe,0.945900000000000,17.040099999999999,0.055500000000000,100.000000000000000,5,5,5,35,31500.000000000000000,33.417481519799999
-1,Frankfurt,7,50.106290000000001,8.682510000000001,20,2,0.100000000000000,50.110644000000001,8.682092000000001,Europe,0.485100000000000,17.040099999999999,0.028500000000000,100.000000000000000,6,6,6,36,32400.000000000000000,30.947010342599999
-1,Frankfurt,8,50.109360000000002,8.684930000000000,20,4,0.200000000000000,50.110644000000001,8.682092000000001,Europe,0.247700000000000,17.040099999999999,0.014500000000000,100.000000000000000,7,7,7,35,31500.000000000000000,30.197558018300001
-1,Frankfurt,9,50.116300000000003,8.682190000000000,16,5,0.312000000000000,50.110644000000001,8.682092000000001,Europe,0.629000000000000,17.040099999999999,0.036900000000000,100.000000000000000,8,8,8,34,30600.000000000000000,34.413246361399999
-1,Frankfurt,10,50.119500000000002,8.686260000000001,20,0,0.000000000000000,50.110644000000001,8.682092000000001,Europe,1.028600000000000,17.040099999999999,0.060400000000000,100.000000000000000,9,9,9,35,31500.000000000000000,31.070453326300001
