OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,linkoping_194019_20180628_LST_pcs_OID,linkoping_194019_20180628_LST_pcs_FID_,linkoping_194019_20180628_LST_pcs_COUNT,linkoping_194019_20180628_LST_pcs_AREA,linkoping_194019_20180628_LST_pcs_MEAN
-1,Linkoping,1,58.413660000000000,15.616339999999999,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,0.377900000000000,11.610799999999999,0.032500000000000,100.000000000000000,0,0,0,37,33300.000000000000000,36.462597118799998
-1,Linkoping,2,58.411239999999999,15.618840000000001,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,0.181800000000000,11.610799999999999,0.015700000000000,100.000000000000000,1,1,1,37,33300.000000000000000,37.270655772700003
-1,Linkoping,3,58.407510000000002,15.620520000000001,20,3,0.150000000000000,58.411800999999997,15.621772000000000,Europe,0.482700000000000,11.610799999999999,0.041600000000000,100.000000000000000,2,2,2,34,30600.000000000000000,33.323408518900003
-1,Linkoping,4,58.404550000000000,15.621639999999999,18,1,0.056000000000000,58.411800999999997,15.621772000000000,Europe,0.806300000000000,11.610799999999999,0.069400000000000,100.000000000000000,3,3,3,34,30600.000000000000000,32.799778548500001
-1,Linkoping,5,58.403739999999999,15.626640000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,0.940100000000000,11.610799999999999,0.081000000000000,100.000000000000000,4,4,4,32,28800.000000000000000,33.334485071600000
-1,Linkoping,6,58.401750000000000,15.629080000000000,16,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,1.196000000000000,11.610799999999999,0.103000000000000,100.000000000000000,5,5,5,35,31500.000000000000000,31.072023653900001
-1,Linkoping,7,58.403350000000003,15.631110000000000,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,1.085800000000000,11.610799999999999,0.093500000000000,100.000000000000000,6,6,6,37,33300.000000000000000,33.273569976200001
-1,Linkoping,8,58.402560000000001,15.633060000000000,20,2,0.100000000000000,58.411800999999997,15.621772000000000,Europe,1.219900000000000,11.610799999999999,0.105100000000000,100.000000000000000,7,7,7,31,27900.000000000000000,33.755549732900000
-1,Linkoping,9,58.397790000000001,15.636030000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,1.765500000000000,11.610799999999999,0.152100000000000,100.000000000000000,8,8,8,36,32400.000000000000000,33.641062017599999
-1,Linkoping,10,58.396569999999997,15.639670000000001,18,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,1.988900000000000,11.610799999999999,0.171300000000000,100.000000000000000,9,9,9,37,33300.000000000000000,35.683191336000000
-1,Linkoping,11,58.394750000000002,15.639340000000001,18,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,2.154600000000000,11.610799999999999,0.185600000000000,100.000000000000000,10,10,10,34,30600.000000000000000,33.804733237900003
-1,Linkoping,12,58.392510000000001,15.642120000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,2.450900000000000,11.610799999999999,0.211100000000000,100.000000000000000,11,11,11,37,33300.000000000000000,37.181738779600003
-1,Linkoping,13,58.389919999999996,15.643100000000000,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,2.732000000000000,11.610799999999999,0.235300000000000,100.000000000000000,12,12,12,35,31500.000000000000000,35.279296448899998
-1,Linkoping,14,58.387450000000001,15.645379999999999,18,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,3.037100000000000,11.610799999999999,0.261600000000000,100.000000000000000,13,13,13,34,30600.000000000000000,34.597459266500003
-1,Linkoping,15,58.385539999999999,15.648529999999999,18,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,3.310200000000000,11.610799999999999,0.285100000000000,100.000000000000000,14,14,14,36,32400.000000000000000,35.723153749900000
-1,Linkoping,16,58.382460000000002,15.651320000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,3.689000000000000,11.610799999999999,0.317700000000000,100.000000000000000,15,15,15,34,30600.000000000000000,34.412974358900001
-1,Linkoping,17,58.381259999999997,15.653800000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,3.875000000000000,11.610799999999999,0.333700000000000,100.000000000000000,16,16,16,36,32400.000000000000000,35.010197589999997
-1,Linkoping,18,58.380319999999998,15.658680000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,4.108400000000000,11.610799999999999,0.353800000000000,100.000000000000000,17,17,17,34,30600.000000000000000,37.309759929700000
-1,Linkoping,19,58.378999999999998,15.660959999999999,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,4.303200000000000,11.610799999999999,0.370600000000000,100.000000000000000,18,18,18,35,31500.000000000000000,35.856556528299997
-1,Linkoping,20,58.377899999999997,15.666960000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,4.598300000000000,11.610799999999999,0.396000000000000,100.000000000000000,19,19,19,34,30600.000000000000000,36.668321118999998
-1,Linkoping,21,58.375590000000003,15.668360000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,4.856300000000000,11.610799999999999,0.418300000000000,100.000000000000000,20,20,20,35,31500.000000000000000,35.460872308799999
-1,Linkoping,22,58.373770000000000,15.671279999999999,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,5.119300000000000,11.610799999999999,0.440900000000000,100.000000000000000,21,21,21,34,30600.000000000000000,34.312362197299997
-1,Linkoping,23,58.372459999999997,15.679020000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,5.501600000000000,11.610799999999999,0.473800000000000,100.000000000000000,22,22,22,34,30600.000000000000000,34.421653302400003
-1,Linkoping,24,58.370410000000000,15.682150000000000,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,5.793500000000000,11.610799999999999,0.499000000000000,100.000000000000000,23,23,23,36,32400.000000000000000,32.780649759200003
-1,Linkoping,25,58.369100000000003,15.684620000000001,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,5.996700000000000,11.610799999999999,0.516500000000000,100.000000000000000,24,24,24,34,30600.000000000000000,34.034651362799998
-1,Linkoping,26,58.367570000000001,15.693140000000000,20,0,0.000000000000000,58.411800999999997,15.621772000000000,Europe,6.441300000000000,11.610799999999999,0.554800000000000,100.000000000000000,25,25,25,32,28800.000000000000000,37.651997436199999
-1,Linkoping,27,58.365659999999998,15.695349999999999,20,2,0.100000000000000,58.411800999999997,15.621772000000000,Europe,6.686800000000000,11.610799999999999,0.575900000000000,100.000000000000000,26,26,26,34,30600.000000000000000,36.895621141299998
-1,Linkoping,28,58.363779999999998,15.697600000000000,20,3,0.150000000000000,58.411800999999997,15.621772000000000,Europe,6.931500000000000,11.610799999999999,0.597000000000000,100.000000000000000,27,27,27,35,31500.000000000000000,35.822567960900003
-1,Linkoping,29,58.362569999999998,15.699030000000000,20,1,0.050000000000000,58.411800999999997,15.621772000000000,Europe,7.088300000000000,11.610799999999999,0.610500000000000,100.000000000000000,28,28,28,33,29700.000000000000000,34.257573999400002
