OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,jacksonville_016039_20160709_LST_pcs_OID,jacksonville_016039_20160709_LST_pcs_FID_,jacksonville_016039_20160709_LST_pcs_COUNT,jacksonville_016039_20160709_LST_pcs_AREA,jacksonville_016039_20160709_LST_pcs_MEAN
-1,Jacksonville,1,30.332619999999999,-81.652429999999995,15,5,0.333000000000000,30.325970000000002,-81.656761000000003,North America,0.848300000000000,41.157699999999998,0.020600000000000,100.000000000000000,0,0,0,35,31500.000000000000000,44.587124004600000
-1,Jacksonville,2,30.332599999999999,-81.652370000000005,15,8,0.533000000000000,30.325970000000002,-81.656761000000003,North America,0.849200000000000,41.157699999999998,0.020600000000000,100.000000000000000,1,1,1,2,1800.000000000000000,46.777320456100000
-1,Jacksonville,3,30.338130000000000,-81.657719999999998,15,4,0.267000000000000,30.325970000000002,-81.656761000000003,North America,1.355300000000000,41.157699999999998,0.032900000000000,100.000000000000000,2,2,2,35,31500.000000000000000,40.100752214099998
-1,Jacksonville,4,30.341830000000002,-81.660640000000001,15,10,0.667000000000000,30.325970000000002,-81.656761000000003,North America,1.802400000000000,41.157699999999998,0.043800000000000,100.000000000000000,3,3,3,37,33300.000000000000000,42.204489620399997
-1,Jacksonville,5,30.343830000000001,-81.661720000000003,15,9,0.600000000000000,30.325970000000002,-81.656761000000003,North America,2.042200000000000,41.157699999999998,0.049600000000000,100.000000000000000,4,4,4,32,28800.000000000000000,43.287579938599997
-1,Jacksonville,6,30.348720000000000,-81.662049999999994,15,15,1.000000000000000,30.325970000000002,-81.656761000000003,North America,2.580100000000000,41.157699999999998,0.062700000000000,100.000000000000000,5,5,5,32,28800.000000000000000,46.751930164400001
-1,Jacksonville,7,30.365469999999998,-81.643349999999998,15,14,0.933000000000000,30.325970000000002,-81.656761000000003,North America,4.576900000000000,41.157699999999998,0.111200000000000,100.000000000000000,6,6,6,37,33300.000000000000000,36.799327266799999
-1,Jacksonville,8,30.372029999999999,-81.640100000000004,15,15,1.000000000000000,30.325970000000002,-81.656761000000003,North America,5.365400000000000,41.157699999999998,0.130400000000000,100.000000000000000,7,7,7,36,32400.000000000000000,39.785952781100001
-1,Jacksonville,9,30.387419999999999,-81.650540000000007,14,13,0.929000000000000,30.325970000000002,-81.656761000000003,North America,6.859000000000000,41.157699999999998,0.166700000000000,100.000000000000000,8,8,8,35,31500.000000000000000,38.959289935199998
-1,Jacksonville,10,30.389890000000001,-81.656750000000002,15,11,0.733000000000000,30.325970000000002,-81.656761000000003,North America,7.107600000000000,41.157699999999998,0.172700000000000,100.000000000000000,9,9,9,32,28800.000000000000000,38.388024999000002
-1,Jacksonville,11,30.399339999999999,-81.647369999999995,15,14,0.933000000000000,30.325970000000002,-81.656761000000003,North America,8.208000000000000,41.157699999999998,0.199400000000000,100.000000000000000,10,10,10,35,31500.000000000000000,35.432438506700002
-1,Jacksonville,12,30.410340000000001,-81.650319999999994,9,9,1.000000000000000,30.325970000000002,-81.656761000000003,North America,9.401800000000000,41.157699999999998,0.228400000000000,100.000000000000000,11,11,11,35,31500.000000000000000,43.312078336399999
-1,Jacksonville,13,30.441440000000000,-81.639930000000007,13,11,0.846000000000000,30.325970000000002,-81.656761000000003,North America,12.940799999999999,41.157699999999998,0.314400000000000,100.000000000000000,12,12,12,32,28800.000000000000000,39.740253078199999
-1,Jacksonville,14,30.442689999999999,-81.607169999999996,15,14,0.933000000000000,30.325970000000002,-81.656761000000003,North America,13.823000000000000,41.157699999999998,0.335900000000000,100.000000000000000,13,13,13,32,28800.000000000000000,39.696511301599998
-1,Jacksonville,15,30.457000000000001,-81.605689999999996,15,12,0.800000000000000,30.325970000000002,-81.656761000000003,North America,15.371300000000000,41.157699999999998,0.373500000000000,100.000000000000000,14,14,14,32,28800.000000000000000,42.756486743499998
-1,Jacksonville,16,30.459420000000001,-81.619349999999997,9,8,0.889000000000000,30.325970000000002,-81.656761000000003,North America,15.266600000000000,41.157699999999998,0.370900000000000,100.000000000000000,15,15,15,35,31500.000000000000000,35.712500379100000
-1,Jacksonville,17,30.466100000000001,-81.621809999999996,14,14,1.000000000000000,30.325970000000002,-81.656761000000003,North America,15.938300000000000,41.157699999999998,0.387200000000000,100.000000000000000,16,16,16,35,31500.000000000000000,36.507091781000000
-1,Jacksonville,18,30.478220000000000,-81.610129999999998,15,14,0.933000000000000,30.325970000000002,-81.656761000000003,North America,17.510200000000001,41.157699999999998,0.425400000000000,100.000000000000000,17,17,17,35,31500.000000000000000,37.767360431000000
-1,Jacksonville,19,30.484000000000002,-81.596670000000003,15,15,1.000000000000000,30.325970000000002,-81.656761000000003,North America,18.492999999999999,41.157699999999998,0.449300000000000,100.000000000000000,18,18,18,35,31500.000000000000000,35.534373623199997
-1,Jacksonville,20,30.499400000000001,-81.587479999999999,15,14,0.933000000000000,30.325970000000002,-81.656761000000003,North America,20.396899999999999,41.157699999999998,0.495600000000000,100.000000000000000,19,19,19,34,30600.000000000000000,34.154858635600000
-1,Jacksonville,21,30.518750000000001,-81.589609999999993,15,15,1.000000000000000,30.325970000000002,-81.656761000000003,North America,22.382300000000001,41.157699999999998,0.543800000000000,100.000000000000000,20,20,20,35,31500.000000000000000,34.888535415400000
-1,Jacksonville,22,30.629100000000001,-81.570130000000006,15,11,0.733000000000000,30.325970000000002,-81.656761000000003,North America,34.713799999999999,41.157699999999998,0.843400000000000,100.000000000000000,21,21,21,32,28800.000000000000000,33.875449025199998
-1,Jacksonville,23,30.626030000000000,-81.548180000000002,15,15,1.000000000000000,30.325970000000002,-81.656761000000003,North America,34.950099999999999,41.157699999999998,0.849200000000000,100.000000000000000,22,22,22,36,32400.000000000000000,38.344080275600000
-1,Jacksonville,24,30.591770000000000,-81.525779999999997,13,13,1.000000000000000,30.325970000000002,-81.656761000000003,North America,32.111499999999999,41.157699999999998,0.780200000000000,100.000000000000000,23,23,23,35,31500.000000000000000,34.666859634100000
-1,Jacksonville,25,30.596470000000000,-81.516149999999996,15,15,1.000000000000000,30.325970000000002,-81.656761000000003,North America,32.959600000000002,41.157699999999998,0.800800000000000,100.000000000000000,24,24,24,36,32400.000000000000000,32.564146801200003
