OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Freehold_gcs_PET_annual_OID,Freehold_gcs_PET_annual_FID_,Freehold_gcs_PET_annual_COUNT,Freehold_gcs_PET_annual_AREA,Freehold_gcs_PET_annual_MEAN
-1,Freehold,1,40.261670000000002,-74.274109999999993,20,10,0.500000000000000,40.260109999999997,-74.273757000000003,North America,0.176000000000000,15.804000000000000,0.011100000000000,0,0,1,0.000069444451688,1029.000000000000000
-1,Freehold,2,40.261189999999999,-74.275970000000001,20,2,0.100000000000000,40.260109999999997,-74.273757000000003,North America,0.222900000000000,15.804000000000000,0.014100000000000,1,1,1,0.000069444451688,1028.000000000000000
-1,Freehold,3,40.259210000000003,-74.278869999999998,20,1,0.050000000000000,40.260109999999997,-74.273757000000003,North America,0.445300000000000,15.804000000000000,0.028200000000000,,,,,
-1,Freehold,4,40.258409999999998,-74.282610000000005,20,4,0.200000000000000,40.260109999999997,-74.273757000000003,North America,0.774600000000000,15.804000000000000,0.049000000000000,,,,,
-1,Freehold,5,40.254899999999999,-74.282200000000003,20,8,0.400000000000000,40.260109999999997,-74.273757000000003,North America,0.921400000000000,15.804000000000000,0.058300000000000,2,4,1,0.000069444451688,1028.000000000000000
-1,Freehold,6,40.253210000000003,-74.282719999999998,20,4,0.200000000000000,40.260109999999997,-74.273757000000003,North America,1.080400000000000,15.804000000000000,0.068400000000000,,,,,
-1,Freehold,8,40.250819999999997,-74.288390000000007,20,2,0.100000000000000,40.260109999999997,-74.273757000000003,North America,1.615300000000000,15.804000000000000,0.102200000000000,3,6,1,0.000069444451688,1032.000000000000000
-1,Freehold,10,40.244470000000000,-74.298559999999995,20,5,0.250000000000000,40.260109999999997,-74.273757000000003,North America,2.730400000000000,15.804000000000000,0.172800000000000,4,7,1,0.000069444451688,1031.000000000000000
-1,Freehold,11,40.249180000000003,-74.291790000000006,20,8,0.400000000000000,40.260109999999997,-74.273757000000003,North America,1.954200000000000,15.804000000000000,0.123700000000000,,,,,
-1,Freehold,15,40.245970000000000,-74.296520000000001,20,5,0.250000000000000,40.260109999999997,-74.273757000000003,North America,2.490700000000000,15.804000000000000,0.157600000000000,,,,,
