OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Portland_OR_gcs_PET_annual_OID,Portland_OR_gcs_PET_annual_FID_,Portland_OR_gcs_PET_annual_COUNT,Portland_OR_gcs_PET_annual_AREA,Portland_OR_gcs_PET_annual_MEAN
-1,Portland,1,45.521630000000002,-122.653469999999999,14,5,0.357000000000000,45.516022000000000,-122.681426999999999,North America,2.265700000000000,46.144300000000001,0.049100000000000,0,0,1,0.000069444451688,969.000000000000000
-1,Portland,2,45.523429999999998,-122.678439999999995,15,4,0.267000000000000,45.516022000000000,-122.681426999999999,North America,0.856000000000000,46.144300000000001,0.018600000000000,1,1,1,0.000069444451688,972.000000000000000
-1,Portland,3,45.515630000000002,-122.678439999999995,15,1,0.067000000000000,45.516022000000000,-122.681426999999999,North America,0.236800000000000,46.144300000000001,0.005100000000000,2,2,1,0.000069444451688,972.000000000000000
-1,Portland,4,45.514560000000003,-122.685929999999999,15,4,0.267000000000000,45.516022000000000,-122.681426999999999,North America,0.386700000000000,46.144300000000001,0.008400000000000,3,3,1,0.000069444451688,968.000000000000000
-1,Portland,5,45.525160000000000,-122.674170000000004,15,2,0.133000000000000,45.516022000000000,-122.681426999999999,North America,1.162800000000000,46.144300000000001,0.025200000000000,4,4,1,0.000069444451688,969.000000000000000
-1,Portland,6,45.530389999999997,-122.666430000000005,15,2,0.133000000000000,45.516022000000000,-122.681426999999999,North America,1.979300000000000,46.144300000000001,0.042900000000000,5,5,1,0.000069444451688,969.000000000000000
-1,Portland,7,45.536709999999999,-122.662729999999996,15,0,0.000000000000000,45.516022000000000,-122.681426999999999,North America,2.722700000000000,46.144300000000001,0.059000000000000,6,6,1,0.000069444451688,963.000000000000000
-1,Portland,8,45.543460000000003,-122.666600000000003,15,1,0.067000000000000,45.516022000000000,-122.681426999999999,North America,3.262300000000000,46.144300000000001,0.070700000000000,7,7,1,0.000069444451688,962.000000000000000
-1,Portland,9,45.554549999999999,-122.665880000000001,15,0,0.000000000000000,45.516022000000000,-122.681426999999999,North America,4.452000000000000,46.144300000000001,0.096500000000000,8,8,1,0.000069444451688,959.000000000000000
-1,Portland,10,45.564079999999997,-122.668710000000004,14,6,0.429000000000000,45.516022000000000,-122.681426999999999,North America,5.434800000000000,46.144300000000001,0.117800000000000,9,9,1,0.000069444451688,958.000000000000000
