OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,Talca_gcs_PET_annual_OID,Talca_gcs_PET_annual_FID_,Talca_gcs_PET_annual_COUNT,Talca_gcs_PET_annual_AREA,Talca_gcs_PET_annual_MEAN
-1,Talca,1,-35.426400000000001,-71.665859999999995,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,1.000300000000000,14.086700000000000,0.071000000000000,0,0,1,0.000069444451688,1380.000000000000000
-1,Talca,2,-35.428339999999999,-71.667040000000000,20,19,0.950000000000000,-35.427525000000003,-71.654906999999994,South America,1.103100000000000,14.086700000000000,0.078300000000000,1,1,1,0.000069444451688,1379.000000000000000
-1,Talca,3,-35.428220000000003,-71.671090000000007,20,17,0.850000000000000,-35.427525000000003,-71.654906999999994,South America,1.468300000000000,14.086700000000000,0.104200000000000,,,,,
-1,Talca,4,-35.429560000000002,-71.672319999999999,20,16,0.800000000000000,-35.427525000000003,-71.654906999999994,South America,1.593900000000000,14.086700000000000,0.113100000000000,,,,,
-1,Talca,5,-35.429420000000000,-71.675659999999993,20,10,0.500000000000000,-35.427525000000003,-71.654906999999994,South America,1.892100000000000,14.086700000000000,0.134300000000000,2,4,1,0.000069444451688,1378.000000000000000
-1,Talca,6,-35.431570000000001,-71.676969999999997,20,15,0.750000000000000,-35.427525000000003,-71.654906999999994,South America,2.049000000000000,14.086700000000000,0.145500000000000,,,,,
-1,Talca,7,-35.433219999999999,-71.678039999999996,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,2.189500000000000,14.086700000000000,0.155400000000000,,,,,
-1,Talca,8,-35.435440000000000,-71.679730000000006,20,17,0.850000000000000,-35.427525000000003,-71.654906999999994,South America,2.415100000000000,14.086700000000000,0.171400000000000,3,7,1,0.000069444451688,1375.000000000000000
-1,Talca,9,-35.437449999999998,-71.680580000000006,20,13,0.650000000000000,-35.427525000000003,-71.654906999999994,South America,2.574500000000000,14.086700000000000,0.182800000000000,,,,,
-1,Talca,10,-35.439380000000000,-71.682689999999994,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,2.841400000000000,14.086700000000000,0.201700000000000,,,,,
-1,Talca,11,-35.441540000000003,-71.684280000000001,20,14,0.700000000000000,-35.427525000000003,-71.654906999999994,South America,3.083900000000000,14.086700000000000,0.218900000000000,4,10,1,0.000069444451688,1373.000000000000000
-1,Talca,12,-35.444209999999998,-71.685900000000004,20,8,0.400000000000000,-35.427525000000003,-71.654906999999994,South America,3.365500000000000,14.086700000000000,0.238900000000000,5,11,1,0.000069444451688,1372.000000000000000
