PC1,PC2,sample,continent,range,city,pop,individual,site
0.001035701382346701,0.02890941116779527,Albuquerque_29_5,NAM,Introduced,Albuquerque,29,5,r
-0.005572597780302401,0.01601621917189644,Albuquerque_29_9,NAM,Introduced,Albuquerque,29,9,r
-0.007019886136846801,0.022061330586575445,Albuquerque_32_13,NAM,Introduced,Albuquerque,32,13,r
-5.061980278456002e-4,0.04076199773991285,Albuquerque_32_3,NAM,Introduced,Albuquerque,32,3,r
0.012790742158679924,-0.0010099681762517632,Albuquerque_33_2,NAM,Introduced,Albuquerque,33,2,r
0.00447331304903914,0.007686480648484817,Albuquerque_33_7,NAM,Introduced,Albuquerque,33,7,r
-0.017141902830121986,0.04482938971218352,Albuquerque_35_12,NAM,Introduced,Albuquerque,35,12,r
0.005049816457278303,0.009910440147011004,Albuquerque_35_3,NAM,Introduced,Albuquerque,35,3,r
-0.009564721388465652,-0.004040793464731788,Albuquerque_36_3,NAM,Introduced,Albuquerque,36,3,r
-0.0020038845923995748,0.019336108702562367,Albuquerque_36_11,NAM,Introduced,Albuquerque,36,11,r
0.002587196773966044,0.016363224517266385,Albuquerque_1_9,NAM,Introduced,Albuquerque,1,9,u
0.02060851094151067,0.0076047196158558535,Albuquerque_1_13,NAM,Introduced,Albuquerque,1,13,u
-0.005790882588693807,0.010106142626036234,Albuquerque_14_7,NAM,Introduced,Albuquerque,14,7,u
-0.011694423347337739,0.02632472755380768,Albuquerque_14_18,NAM,Introduced,Albuquerque,14,18,u
-0.011542600463256088,0.0166338845449943,Albuquerque_15_4,NAM,Introduced,Albuquerque,15,4,u
0.006311799814578568,0.028788959581488912,Albuquerque_15_10,NAM,Introduced,Albuquerque,15,10,u
0.01595116700717156,0.018820808798796367,Albuquerque_2_15,NAM,Introduced,Albuquerque,2,15,u
0.011838464021395578,0.01725888543402775,Albuquerque_2_7,NAM,Introduced,Albuquerque,2,7,u
0.0035935169399865046,0.010330567922794597,Albuquerque_3_1,NAM,Introduced,Albuquerque,3,1,u
0.012644841923133797,7.308430793271026e-4,Albuquerque_3_8,NAM,Introduced,Albuquerque,3,8,u
-0.012236844312331633,0.013411745383380143,Antwerp_36_4,EU,Native,Antwerp,36,4,r
