city,seed,fst,num_sum,denom_sum,nSites,betaLog_Dist,pvalLog_Dist,betaLog_fromGlobalModel,sig
Albuquerque,1,0.0037245268959554736,15.137639000000002,4064.311904,230027,-0.839,0.004,-0.425,Significantly negative
Albuquerque,10,0.002700768316057663,10.958604000000003,4057.5875889999998,230048,-0.839,0.004,-0.425,Significantly negative
Albuquerque,100,0.0031434883944861424,12.766772000000001,4061.338996,229953,-0.839,0.004,-0.425,Significantly negative
Albuquerque,11,0.0026844983820996965,10.886846,4055.448896,229901,-0.839,0.004,-0.425,Significantly negative
Albuquerque,12,0.0033089380680230724,13.428258000000012,4058.177495,229852,-0.839,0.004,-0.425,Significantly negative
Albuquerque,13,0.004112737857081392,16.674476000000006,4054.349336,229819,-0.839,0.004,-0.425,Significantly negative
Albuquerque,14,0.003673329075989014,14.902110000000002,4056.840455,229866,-0.839,0.004,-0.425,Significantly negative
Albuquerque,15,0.002979154310955522,12.088977000000003,4057.855263,229824,-0.839,0.004,-0.425,Significantly negative
Albuquerque,16,0.004031595183243886,16.36570400000001,4059.361929,229982,-0.839,0.004,-0.425,Significantly negative
Albuquerque,17,0.003352428777262098,13.599216000000002,4056.526448,229853,-0.839,0.004,-0.425,Significantly negative
Albuquerque,18,0.0030958857644390746,12.561451000000007,4057.465926,229611,-0.839,0.004,-0.425,Significantly negative
Albuquerque,19,0.003992449123793111,16.193324,4055.987565,229848,-0.839,0.004,-0.425,Significantly negative
Albuquerque,2,0.0035791726188188753,14.538456,4061.959997,230028,-0.839,0.004,-0.425,Significantly negative
Albuquerque,20,0.0030670905115387733,12.449701000000001,4059.124096,229977,-0.839,0.004,-0.425,Significantly negative
Albuquerque,21,0.0026534784220404546,10.777555000000001,4061.670489,230023,-0.839,0.004,-0.425,Significantly negative
Albuquerque,22,0.004056022363000032,16.476227000000005,4062.163747,229901,-0.839,0.004,-0.425,Significantly negative
Albuquerque,23,0.0034382268241759497,13.948849000000003,4056.989173,230010,-0.839,0.004,-0.425,Significantly negative
Albuquerque,24,0.002299567029446845,9.322417,4053.987938,229839,-0.839,0.004,-0.425,Significantly negative
Albuquerque,25,0.0030850306463063694,12.501476000000002,4052.302046,229735,-0.839,0.004,-0.425,Significantly negative
Albuquerque,26,0.002541013903470899,10.311878000000009,4058.174568,229961,-0.839,0.004,-0.425,Significantly negative
Albuquerque,27,0.0032523032232707146,13.200499,4058.8155819999997,229972,-0.839,0.004,-0.425,Significantly negative
Albuquerque,28,0.0037526702322771537,15.230052000000006,4058.457327,230015,-0.839,0.004,-0.425,Significantly negative
Albuquerque,29,0.002849447939342433,11.55757,4056.073403,229952,-0.839,0.004,-0.425,Significantly negative
Albuquerque,3,0.003520705404926139,14.290801000000009,4059.073213,229982,-0.839,0.004,-0.425,Significantly negative
Albuquerque,30,0.0032581913981374524,13.225224,4059.069092,229902,-0.839,0.004,-0.425,Significantly negative
Albuquerque,31,0.00422719428893758,17.175982,4063.210921,230016,-0.839,0.004,-0.425,Significantly negative
Albuquerque,32,0.0034322493802995523,13.929064,4058.290193,229963,-0.839,0.004,-0.425,Significantly negative
Albuquerque,33,0.0030795101401772705,12.484403,4054.022371,229791,-0.839,0.004,-0.425,Significantly negative
Albuquerque,34,0.0042829722778151575,17.39216,4060.768754,229887,-0.839,0.004,-0.425,Significantly negative
Albuquerque,35,0.003220183655103214,13.066357000000004,4057.643414,229982,-0.839,0.004,-0.425,Significantly negative
Albuquerque,36,0.0027605300863920114,11.190893,4053.892785,229823,-0.839,0.004,-0.425,Significantly negative
Albuquerque,37,0.003635050546582177,14.738537000000003,4054.561776,229893,-0.839,0.004,-0.425,Significantly negative
Albuquerque,38,0.0036116645322532455,14.662585000000002,4059.785971,229934,-0.839,0.004,-0.425,Significantly negative
Albuquerque,39,0.00424490374668611,17.244881000000003,4062.490466,229984,-0.839,0.004,-0.425,Significantly negative
Albuquerque,4,0.0031500597801774203,12.776408,4055.9255670000002,229943,-0.839,0.004,-0.425,Significantly negative
Albuquerque,40,0.004141842014024122,16.842592,4066.449648,229979,-0.839,0.004,-0.425,Significantly negative
Albuquerque,41,0.004105473459172797,16.681889000000005,4063.328911,229994,-0.839,0.004,-0.425,Significantly negative
Albuquerque,42,0.0029099735369339072,11.817641000000002,4061.081948,229944,-0.839,0.004,-0.425,Significantly negative
Albuquerque,43,0.0038064985893724117,15.462941000000006,4062.247926,230046,-0.839,0.004,-0.425,Significantly negative
Albuquerque,44,0.003950497550983314,16.043817000000004,4061.214263,230017,-0.839,0.004,-0.425,Significantly negative
Albuquerque,45,0.003168852550435758,12.863314,4059.29711,229991,-0.839,0.004,-0.425,Significantly negative
Albuquerque,46,0.002354633514984214,9.546589,4054.384234,229999,-0.839,0.004,-0.425,Significantly negative
Albuquerque,47,0.003923263328360884,15.922731,4058.542511,229993,-0.839,0.004,-0.425,Significantly negative
Albuquerque,48,0.00288394519983626,11.706003000000011,4059.024076,230016,-0.839,0.004,-0.425,Significantly negative
Albuquerque,49,0.004043796816014497,16.40716,4057.3650820000003,229904,-0.839,0.004,-0.425,Significantly negative
Albuquerque,5,0.00312151972749084,12.659137000000001,4055.440332,229589,-0.839,0.004,-0.425,Significantly negative
Albuquerque,50,0.002416806368525948,9.797991000000001,4054.106745,229963,-0.839,0.004,-0.425,Significantly negative
Albuquerque,51,0.004167541726330256,16.935834000000003,4063.7467149999998,230031,-0.839,0.004,-0.425,Significantly negative
Albuquerque,52,0.00457001927946929,18.565316,4062.415247,229965,-0.839,0.004,-0.425,Significantly negative
Albuquerque,53,0.003519034753952164,14.299996000000002,4063.613178,229991,-0.839,0.004,-0.425,Significantly negative
Albuquerque,54,0.003595868460637831,14.609131000000003,4062.754564,230036,-0.839,0.004,-0.425,Significantly negative
Albuquerque,55,0.003776870267374335,15.328620000000003,4058.550841,229927,-0.839,0.004,-0.425,Significantly negative
Albuquerque,56,0.0028879081778354927,11.715511000000001,4056.746364,229809,-0.839,0.004,-0.425,Significantly negative
