city,habitat,tp_scaled,tw_scaled,nSites
Albuquerque,r,0.01913511770764838,0.023888636530552922,231866
Albuquerque,u,0.019133686133374475,0.02396645692597143,232617
Antwerp,r,0.019404469790878818,0.026088582357564567,231124
Antwerp,u,0.01970166281598378,0.02521575221032632,232516
Armidale,r,0.019237864983101465,0.024082739748373896,234596
Armidale,u,0.018880395321818295,0.023508584350642524,232859
Athens,r,0.018744519870021494,0.022766399774734814,233471
Athens,u,0.019078279591119827,0.02385617968923748,232582
Bogota,r,0.018752653842455943,0.019291222125121552,226181
Bogota,u,0.01896382882285788,0.020238679028154696,231279
Buenos_Aires,r,0.018433767451882122,0.022058612821556547,231336
Buenos_Aires,u,0.018386137957737546,0.02128518229946789,233149
Calgary,r,0.01992045472393588,0.024944999599155335,233470
Calgary,u,0.020032282798156578,0.02416495358449599,234150
Canberra,r,0.018136304943761148,0.02169590787352749,223254
Canberra,u,0.018131374689011086,0.02347817846187578,226966
Cape_Town,r,0.01857954054093813,0.023574775103796068,233145
Cape_Town,u,0.018917828709071386,0.02354816097343931,233348
Christchurch,r,0.018622760564545916,0.023560706703534363,232658
Christchurch,u,0.01916586991033035,0.024354250618204815,232727
Hiroshima,r,0.01857427747613044,0.023489315831925567,191599
Hiroshima,u,0.019067699012302635,0.026134550444178364,220598
Kunming,r,0.018547868949443446,0.01651923761114324,233823
Kunming,u,0.01868321788237907,0.017419440010575868,234286
Kyoto,r,0.019203480856622906,0.023646477929514263,203438
Kyoto,u,0.01832579724244309,0.0192833741117483,214649
Landshut,r,0.018997012828080844,0.019691290741676658,234308
Landshut,u,0.018956840453846414,0.02017289512341868,233212
Linkoping,r,0.019535706194829257,0.02238467930193881,232187
Linkoping,u,0.0190326642241946,0.019609357113458743,231562
Loja,r,0.01878298742144891,0.01816611567039657,231167
Loja,u,0.018502472890949428,0.017968026460454707,231230
Medellin,r,0.01868704309486439,0.0179731438869131,225461
Medellin,u,0.019230462296128476,0.01960512184289714,230663
Melbourne,r,0.018644538216535597,0.02026810994980773,218714
Melbourne,u,0.01862695824599807,0.0198001543262486,230816
Memphis,r,0.01832725329366614,0.017850370442016882,232038
Memphis,u,0.01855728813286532,0.01746364015860042,235931
Mexico_City,r,0.017717455105267003,0.01681240734534667,231778
Mexico_City,u,0.018622830505213798,0.020075096991838185,234260
Munich,r,0.019029688835124035,0.021406282498253694,234979
Munich,u,0.018596759579976127,0.02141626792858918,231101
Paris,r,0.019452727009444885,0.019625340358286968,233160
Paris,u,0.019247703639153114,0.020705535366919815,227679
Quito,r,0.02086212367882794,0.02387285548312341,229939
Quito,u,0.019300488081811694,0.01910129557066563,224396
Tehran,r,0.01899547544464276,0.018127947059122698,234802
Tehran,u,0.01880378866648742,0.01731862603349878,234167
Thessaloniki,r,0.019578425244727908,0.021151070080119093,233699
Thessaloniki,u,0.019305673412476684,0.02101963254911218,233618
Toronto,r,0.02000594832655204,0.020304525086555714,235953
Toronto,u,0.020232844535220243,0.019811853569569344,236280
