city,fst,num_sum,denom_sum,nSites,betaLog_Dist,pvalLog_Dist,betaLog_fromGlobalModel,sig,sigLog
Albuquerque,0.008367866134094926,34.08698799999999,4073.557996,229919,-0.839,0.004,-0.425,Significantly negative,Yes
Antwerp,0.005988814849625644,24.715761999999994,4126.987162,229205,2.15,0,2.142,Significantly positive,Yes
Armidale,0.006078278761310534,24.884371,4093.983178,231597,1.487,0,0.32,Significantly positive,Yes
Athens,0.009259624287973252,37.42994399999999,4042.274593,230919,1.565,0,1.788,Significantly positive,Yes
Bogota,0.010045507148330444,38.87931700000001,3870.3189820000002,224076,0.839,0.014,1.325,Significantly positive,Yes
Buenos_Aires,0.007320793119800374,28.647247999999994,3913.134483,229923,0.015,0.95,0.599,Not significant,No
Calgary,0.007800818886312562,33.42677899999999,4285.034621,232144,1.168,0.014,1.346,Significantly positive,Yes
Canberra,0.01219450129541516,44.423364,3642.901249,219353,-0.056,0.841,-1.113,Not significant,No
Cape_Town,0.017175798224533096,69.863892,4067.577593,231334,0.851,0.159,0.747,Not significant,No
Christchurch,0.004837787775171273,19.467474000000003,4024.044647,230703,1.889,0,0.688,Significantly positive,Yes
Hiroshima,0.04405787520848467,147.960183,3358.314088,186401,-0.043,0.842,0.257,Not significant,No
Kunming,0.014311495046364402,57.753228,4035.443384,232195,-0.439,0.091,-0.094,Not significant,No
Kyoto,0.025417272246858594,85.740368,3373.311155,192517,-1.027,0,-0.67,Significantly negative,Yes
Landshut,0.006084457235375087,24.768713999999996,4070.817337,231985,-0.356,0.19,-0.127,Not significant,No
Linkoping,0.00738360021370325,29.924954999999994,4052.894812,229349,4.106,0,3.357,Significantly positive,Yes
Loja,0.009381742113498251,36.51966799999999,3892.631833,228624,1.113,0,1.571,Significantly positive,Yes
Medellin,0.010873323663089358,41.78005000000001,3842.435974,222850,-3.45,0,-1.527,Significantly negative,Yes
Melbourne,0.018419790478590634,69.19300100000001,3756.448863,216690,1.33,0,0.183,Significantly positive,Yes
Memphis,0.004950830534086052,19.574325999999996,3953.745915,231447,1.81,0,2.051,Significantly positive,Yes
Mexico_City,0.01596074312731872,62.749462,3931.487494,230727,-0.152,0.703,0.301,Not significant,No
Munich,0.007849951000772907,31.573040999999982,4022.068545,230280,0.513,0.034,0.684,Significantly positive,Yes
Paris,0.006603222343560372,26.889903000000007,4072.239522,226636,-0.227,0.312,-0.007,Not significant,No
Quito,0.008341015294372346,33.73980600000001,4045.047852,221740,0.516,0.139,1.011,Not significant,No
Tehran,0.014996435044752399,60.510092,4034.965098,232777,2.345,0,2.418,Significantly positive,Yes
Thessaloniki,0.02098488241699394,88.74298900000002,4228.900941,231860,1.703,0,1.799,Significantly positive,Yes
Toronto,0.005500284542638905,24.35981599999999,4428.828329,235166,1.463,0,1.75,Significantly positive,Yes
