continent,city,significant,r,u,r_1,r_2,r_3,r_4,r_5,u_1,u_2,u_3,u_4,u_5,sitePop_mapped
AFR,Cape_Town,No,7,9,2,1,1,3,NA,4,4,1,NA,NA,u_1=4; r_1=7; r_2=8; u_2=13; u_3=14; r_3=18; r_4=19
ASI,Beijing,No,2,2,1,1,NA,NA,NA,1,1,NA,NA,NA,u_1=10; r_1=17; r_2=20; u_2=24
ASI,Hiroshima,No,5,13,1,2,2,NA,NA,4,3,2,2,2,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=21; r_2=23; r_3=25
ASI,Kunming,No,22,23,5,3,3,5,6,5,3,1,8,6,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=46; r_2=47; r_3=48; r_4=49; r_5=50
ASI,Kyoto,Yes,12,11,2,2,4,4,NA,2,2,3,4,NA,u_1=1; u_2=3; u_3=4; u_4=5; r_1=22; r_2=23; r_3=24; r_4=25
ASI,Lanzhou,Yes,17,5,3,6,3,2,3,5,NA,NA,NA,NA,r_1=1; r_2=2; r_3=3; r_4=4; r_5=5; u_1=35
ASI,Sapporo,No,28,34,8,6,3,5,6,10,5,7,9,3,u_1=1; u_2=2; u_3=3; r_1=35; r_2=36; r_3=38; r_4=39; r_5=40; u_4=43; u_5=44
ASI,Shanghai,Yes,4,39,2,1,1,NA,NA,9,9,8,6,7,u_1=1; u_2=2; u_3=3; u_4=5; u_5=6; r_1=7; r_2=8; r_3=10
ASI,Tehran,Yes,26,27,6,7,6,2,5,4,5,5,7,6,u_1=1; u_2=2; r_1=27; r_2=28; r_3=35; r_4=36; r_5=37; u_3=38; u_4=39; u_5=40
ASI,Tokyo,No,4,13,1,2,1,NA,NA,3,3,1,3,3,r_1=10; r_2=13; u_1=15; r_3=18; u_2=21; u_3=25; u_4=39; u_5=48
EU,Antwerp,Yes,44,47,9,9,9,9,8,10,10,9,9,9,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=36; r_2=37; r_3=38; r_4=39; r_5=40
EU,Brighton,Yes,38,30,8,8,8,7,7,10,6,5,2,7,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=36; r_2=37; r_3=38; r_4=39; r_5=40
EU,Landshut,No,41,29,10,8,7,6,10,6,5,5,10,3,r_1=1; r_2=2; r_3=3; r_4=4; r_5=5; u_1=47; u_2=48; u_3=49; u_4=50; u_5=51
EU,Linkoping,No,43,43,10,8,6,9,10,10,6,10,10,7,u_1=5; u_2=8; u_3=13; u_4=15; u_5=16; r_1=25; r_2=27; r_3=37; r_4=38; r_5=40
EU,Munich,No,21,12,6,9,2,2,2,2,3,4,3,NA,r_1=1; r_2=2; r_3=3; r_4=4; r_5=5; u_1=47; u_2=48; u_3=50; u_4=51
EU,Munster,Yes,29,25,8,6,6,5,4,3,6,5,3,8,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=36; r_2=37; r_3=38; r_4=39; r_5=40
EU,Paris,No,26,40,3,2,9,9,3,8,6,9,10,7,u_1=2; u_2=3; r_1=6; r_2=8; r_3=11; r_4=13; r_5=15; u_3=23; u_4=25; u_5=39
EU,Reading,Yes,4,11,2,1,1,NA,NA,5,1,2,3,NA,u_1=2; u_2=3; u_3=4; u_4=5; r_1=40; r_2=42; r_3=43
EU,Stockholm,No,8,10,3,1,2,2,NA,4,3,2,1,NA,u_1=1; u_2=2; u_3=4; u_4=5; r_1=42; r_2=43; r_3=44; r_4=45
EU,Thessaloniki,Yes,32,28,6,5,6,5,10,9,7,4,5,3,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=42; r_2=43; r_3=44; r_4=45; r_5=46
EU,Warsaw,No,29,35,7,7,5,3,7,8,10,5,8,4,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=46; r_2=47; r_3=48; r_4=49; r_5=50
NAM,Albuquerque,Yes,35,38,5,8,9,5,8,8,7,5,10,8,u_1=1; u_2=2; u_3=3; u_4=14; u_5=15; r_1=29; r_2=32; r_3=33; r_4=35; r_5=36
NAM,Athens,Yes,28,25,5,8,8,6,1,3,7,7,3,5,u_1=6; u_2=7; u_3=8; u_4=9; u_5=10; r_1=21; r_2=22; r_3=23; r_4=24; r_5=25
NAM,Calgary,Yes,24,28,9,6,3,1,5,7,5,3,7,6,u_1=2; r_1=23; r_2=24; r_3=25; r_4=27; r_5=28; u_2=32; u_3=35; u_4=36; u_5=37
NAM,Edmonton,No,8,10,3,1,1,2,1,2,2,1,3,2,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=37; r_2=38; r_3=39; r_4=40; r_5=41
NAM,Memphis,No,3,18,2,1,NA,NA,NA,7,4,1,3,3,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=45; r_2=47
NAM,Mexico_City,No,26,38,8,2,4,5,7,10,7,4,10,7,u_1=1; u_2=2; u_3=3; r_1=18; r_2=20; r_3=22; r_4=24; r_5=25; u_4=28; u_5=30
NAM,Norfolk,Yes,6,3,4,1,1,NA,NA,1,1,1,NA,NA,r_1=2; r_2=4; r_3=5; u_1=35; u_2=38; u_3=39
NAM,Sacramento,Yes,25,11,2,3,8,4,8,5,4,1,1,NA,u_1=1; u_2=2; u_3=3; u_4=5; r_1=37; r_2=38; r_3=39; r_4=40; r_5=41
NAM,Tampa,No,13,15,2,4,3,2,2,4,4,1,3,3,r_1=1; u_1=3; u_2=4; u_3=5; u_4=6; u_5=7; r_2=12; r_3=13; r_4=14; r_5=15
NAM,Vancouver,Yes,29,32,5,7,8,5,4,5,5,6,9,7,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=36; r_2=37; r_3=38; r_4=39; r_5=40
OCE,Armidale,Yes,10,30,3,1,1,3,2,6,7,6,6,5,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=35; r_2=36; r_3=37; r_4=39; r_5=40
OCE,Canberra,No,10,24,6,2,1,1,NA,8,7,3,4,2,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=30; r_2=31; r_3=33; r_4=34
OCE,Christchurch,Yes,45,28,9,10,9,10,7,3,5,4,9,7,u_1=1; u_2=2; u_3=3; u_4=4; u_5=6; r_1=37; r_2=38; r_3=39; r_4=40; r_5=41
OCE,Melbourne,No,6,12,3,1,2,NA,NA,4,3,4,1,NA,r_1=2; r_2=5; r_3=6; u_1=25; u_2=29; u_3=30; u_4=31
OCE,Newcastle,No,3,10,1,2,NA,NA,NA,4,4,1,1,NA,u_1=6; u_2=7; u_3=8; u_4=10; r_1=47; r_2=50
OCE,Palmerston_North,Yes,28,39,5,6,5,8,4,7,8,9,9,6,u_1=6; u_2=7; u_3=8; u_4=10; u_5=11; r_1=36; r_2=37; r_3=38; r_4=39; r_5=40
OCE,Sydney,NA,11,33,6,2,1,2,NA,9,8,7,7,2,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=36; r_2=37; r_3=39; r_4=40
OCE,Wollongong,Yes,26,23,6,2,7,4,7,7,3,5,4,4,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=36; r_2=37; r_3=38; r_4=39; r_5=40
SAM,Bogota,Yes,13,21,5,1,2,4,1,4,1,5,4,7,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=36; r_2=37; r_3=38; r_4=39; r_5=40
SAM,Buenos_Aires,No,15,31,3,3,1,4,4,5,8,4,8,6,r_1=1; r_2=2; r_3=3; r_4=4; r_5=5; u_1=18; u_2=19; u_3=21; u_4=22; u_5=23
SAM,Loja,No,12,11,2,7,3,NA,NA,2,2,2,1,4,r_1=1; r_2=2; r_3=3; u_1=36; u_2=37; u_3=38; u_4=39; u_5=40
SAM,Medellin,Yes,9,2,5,3,1,NA,NA,1,1,NA,NA,NA,u_1=2; u_2=4; r_1=36; r_2=37; r_3=38
SAM,Punta_Arenas,Yes,25,33,4,5,6,5,5,5,7,7,6,8,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=20; r_2=21; r_3=22; r_4=23; r_5=24
SAM,Quito,Yes,13,8,2,2,5,3,1,3,3,2,NA,NA,r_1=1; r_2=2; r_3=3; r_4=4; r_5=6; u_1=36; u_2=37; u_3=40
SAM,Rancagua,No,10,15,4,2,1,3,NA,5,1,5,4,NA,u_1=1; u_2=4; u_3=7; u_4=10; r_1=22; r_2=25; r_3=31; r_4=34
SAM,Santiago,Yes,16,25,5,5,3,3,NA,7,8,1,4,5,r_1=1; r_2=5; r_3=9; r_4=17; u_1=22; u_2=26; u_3=30; u_4=34; u_5=38
SAM,Talca,No,22,31,6,7,2,1,6,6,9,5,5,6,u_1=1; u_2=4; u_3=7; u_4=10; u_5=13; r_1=20; r_2=23; r_3=27; r_4=30; r_5=34
SAM,Temuco,No,13,24,4,6,1,1,1,5,4,4,7,4,u_1=1; u_2=2; u_3=3; u_4=4; u_5=5; r_1=41; r_2=43; r_3=44; r_4=46; r_5=47
