city,site,count_deep3Only,count_withLow1
Albuquerque,r,37,57
Albuquerque,u,36,56
Antwerp,r,38,58
Antwerp,u,38,58
Armidale,r,37,57
Armidale,u,36,56
Athens,r,37,57
Athens,u,35,55
Bogota,r,19,39
Bogota,u,23,43
Buenos_Aires,r,25,45
Buenos_Aires,u,33,53
Calgary,r,38,58
Calgary,u,36,56
Canberra,r,14,34
Canberra,u,25,45
Cape_Town,r,33,53
Cape_Town,u,33,53
Christchurch,r,38,58
Christchurch,u,38,58
Hiroshima,r,28,48
Hiroshima,u,31,51
Kunming,r,27,47
Kunming,u,28,48
Kyoto,r,16,36
Kyoto,u,12,32
Landshut,r,38,58
Landshut,u,37,57
Linkoping,r,40,60
Linkoping,u,37,57
Loja,r,16,36
Loja,u,20,40
Medellin,r,19,39
Medellin,u,14,34
Melbourne,r,27,47
Melbourne,u,28,48
Memphis,r,9,29
Memphis,u,38,58
Mexico_City,r,38,58
Mexico_City,u,38,58
Munich,r,35,55
Munich,u,35,55
Paris,r,37,57
Paris,u,39,59
Quito,r,12,32
Quito,u,10,30
Tehran,r,38,58
Tehran,u,36,56
Thessaloniki,r,36,56
Thessaloniki,u,37,57
