OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F9_Wollongong_gcs_PET_Sep_OID,F9_Wollongong_gcs_PET_Sep_FID_,F9_Wollongong_gcs_PET_Sep_COUNT,F9_Wollongong_gcs_PET_Sep_AREA,F9_Wollongong_gcs_PET_Sep_MEAN
-1,Wollongong,1,-34.424169999999997,150.895510000000002,20,0,0,-34.424393999999999,150.893849999999986,Oceania,0.154300000000000,16.634300000000000,0.009300000000000,0,0,1,0.000069444451688,89.000000000000000
-1,Wollongong,2,-34.426650000000002,150.891899999999993,20,1,0,-34.424393999999999,150.893849999999986,Oceania,0.308100000000000,16.634300000000000,0.018500000000000,1,1,1,0.000069444451688,89.000000000000000
-1,Wollongong,3,-34.428199999999997,150.886910000000000,20,1,0,-34.424393999999999,150.893849999999986,Oceania,0.764400000000000,16.634300000000000,0.046000000000000,2,2,1,0.000069444451688,89.000000000000000
-1,Wollongong,4,-34.430070000000001,150.883070000000004,20,2,0,-34.424393999999999,150.893849999999986,Oceania,1.173000000000000,16.634300000000000,0.070500000000000,3,3,1,0.000069444451688,88.000000000000000
-1,Wollongong,5,-34.431880000000000,150.878850000000000,20,10,0,-34.424393999999999,150.893849999999986,Oceania,1.608000000000000,16.634300000000000,0.096700000000000,,,,,
-1,Wollongong,6,-34.434899999999999,150.875490000000013,20,3,0,-34.424393999999999,150.893849999999986,Oceania,2.049500000000000,16.634300000000000,0.123200000000000,4,5,1,0.000069444451688,88.000000000000000
-1,Wollongong,7,-34.435569999999998,150.870599999999996,20,0,0,-34.424393999999999,150.893849999999986,Oceania,2.468100000000000,16.634300000000000,0.148400000000000,5,6,1,0.000069444451688,88.000000000000000
-1,Wollongong,8,-34.437660000000001,150.866240000000005,19,0,0,-34.424393999999999,150.893849999999986,Oceania,2.930600000000000,16.634300000000000,0.176200000000000,6,7,1,0.000069444451688,89.000000000000000
-1,Wollongong,9,-34.439900000000002,150.862179999999995,20,1,0,-34.424393999999999,150.893849999999986,Oceania,3.377800000000000,16.634300000000000,0.203100000000000,,,,,
-1,Wollongong,10,-34.442239999999998,150.856120000000004,19,15,1,-34.424393999999999,150.893849999999986,Oceania,3.988900000000000,16.634300000000000,0.239800000000000,7,9,1,0.000069444451688,89.000000000000000
