OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F7_Norfolk_gcs_PET_Jul_OID,F7_Norfolk_gcs_PET_Jul_FID_,F7_Norfolk_gcs_PET_Jul_COUNT,F7_Norfolk_gcs_PET_Jul_AREA,F7_Norfolk_gcs_PET_Jul_MEAN
-1,Norfolk,1,36.525730000000003,-76.249269999999996,15,11,0.733000000000000,36.845714000000001,-76.288634000000002,North America,35.753300000000003,35.753300000000003,1.000000000000000,0,0,1,0.000069444451688,161.000000000000000
-1,Norfolk,2,36.533610000000003,-76.250140000000002,15,12,0.800000000000000,36.845714000000001,-76.288634000000002,North America,34.873699999999999,35.753300000000003,0.975400000000000,1,1,1,0.000069444451688,161.000000000000000
-1,Norfolk,3,36.547400000000003,-76.242500000000007,15,3,0.200000000000000,36.845714000000001,-76.288634000000002,North America,33.424999999999997,35.753300000000003,0.934900000000000,2,2,1,0.000069444451688,160.000000000000000
-1,Norfolk,4,36.551479999999998,-76.231769999999997,15,5,0.333000000000000,36.845714000000001,-76.288634000000002,North America,33.107799999999997,35.753300000000003,0.926000000000000,3,3,1,0.000069444451688,160.000000000000000
-1,Norfolk,5,36.559060000000002,-76.227750000000000,15,7,0.467000000000000,36.845714000000001,-76.288634000000002,North America,32.333300000000001,35.753300000000003,0.904300000000000,4,4,1,0.000069444451688,160.000000000000000
-1,Norfolk,6,36.559570000000001,-76.215360000000004,15,9,0.600000000000000,36.845714000000001,-76.288634000000002,North America,32.481400000000001,35.753300000000003,0.908500000000000,5,5,1,0.000069444451688,159.000000000000000
-1,Norfolk,7,36.561529999999998,-76.201239999999999,15,6,0.400000000000000,36.845714000000001,-76.288634000000002,North America,32.546100000000003,35.753300000000003,0.910300000000000,6,6,1,0.000069444451688,159.000000000000000
-1,Norfolk,8,36.575299999999999,-76.200140000000005,15,10,0.667000000000000,36.845714000000001,-76.288634000000002,North America,31.086200000000002,35.753300000000003,0.869500000000000,7,7,1,0.000069444451688,159.000000000000000
-1,Norfolk,9,36.587980000000002,-76.205730000000003,15,7,0.467000000000000,36.845714000000001,-76.288634000000002,North America,29.596100000000000,35.753300000000003,0.827800000000000,8,8,1,0.000069444451688,158.000000000000000
-1,Norfolk,10,36.587980000000002,-76.205730000000003,1,1,1.000000000000000,36.845714000000001,-76.288634000000002,North America,29.596100000000000,35.753300000000003,0.827800000000000,,,,,
-1,Norfolk,10,36.598350000000003,-76.209850000000003,13,4,0.308000000000000,36.845714000000001,-76.288634000000002,North America,28.387799999999999,35.753300000000003,0.794000000000000,9,10,1,0.000069444451688,159.000000000000000
-1,Norfolk,11,36.605780000000003,-76.210660000000004,14,2,0.143000000000000,36.845714000000001,-76.288634000000002,North America,27.569600000000001,35.753300000000003,0.771100000000000,10,11,1,0.000069444451688,159.000000000000000
-1,Norfolk,12,36.619210000000002,-76.211039999999997,15,13,0.867000000000000,36.845714000000001,-76.288634000000002,North America,26.118099999999998,35.753300000000003,0.730500000000000,11,12,1,0.000069444451688,158.000000000000000
