OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F8_Athens_gcs_PET_Aug_OID,F8_Athens_gcs_PET_Aug_FID_,F8_Athens_gcs_PET_Aug_COUNT,F8_Athens_gcs_PET_Aug_AREA,F8_Athens_gcs_PET_Aug_MEAN
-1,Athens,1,33.918950000000002,-83.348200000000006,20,12,0.600000000000000,33.959767999999997,-83.376397999999995,North America,5.231300000000000,17.514399999999998,0.298700000000000,0,0,1,0.000069444451688,164.000000000000000
-1,Athens,2,33.921450000000000,-83.346710000000002,20,18,0.900000000000000,33.959767999999997,-83.376397999999995,North America,5.065000000000000,17.514399999999998,0.289200000000000,,,,,
-1,Athens,3,33.930419999999998,-83.359170000000006,19,8,0.421000000000000,33.959767999999997,-83.376397999999995,North America,3.629700000000000,17.514399999999998,0.207200000000000,1,2,1,0.000069444451688,165.000000000000000
-1,Athens,4,33.929470000000002,-83.363829999999993,20,11,0.550000000000000,33.959767999999997,-83.376397999999995,North America,3.562900000000000,17.514399999999998,0.203400000000000,,,,,
-1,Athens,5,33.972119999999997,-83.388469999999998,20,8,0.400000000000000,33.959767999999997,-83.376397999999995,North America,1.768000000000000,17.514399999999998,0.100900000000000,2,4,1,0.000069444451688,164.000000000000000
-1,Athens,6,33.968480000000000,-83.370800000000003,20,2,0.100000000000000,33.959767999999997,-83.376397999999995,North America,1.097700000000000,17.514399999999998,0.062700000000000,3,5,1,0.000069444451688,164.000000000000000
-1,Athens,7,33.964199999999998,-83.377880000000005,21,11,0.524000000000000,33.959767999999997,-83.376397999999995,North America,0.511400000000000,17.514399999999998,0.029200000000000,4,6,1,0.000069444451688,164.000000000000000
-1,Athens,8,33.962949999999999,-83.375900000000001,20,4,0.200000000000000,33.959767999999997,-83.376397999999995,North America,0.356800000000000,17.514399999999998,0.020400000000000,,,,,
-1,Athens,9,33.963250000000002,-83.374769999999998,20,8,0.400000000000000,33.959767999999997,-83.376397999999995,North America,0.415300000000000,17.514399999999998,0.023700000000000,5,8,1,0.000069444451688,164.000000000000000
-1,Athens,10,33.955150000000003,-83.371030000000005,18,3,0.167000000000000,33.959767999999997,-83.376397999999995,North America,0.713300000000000,17.514399999999998,0.040700000000000,6,9,1,0.000069444451688,164.000000000000000
-1,Athens,11,33.950920000000004,-83.370480000000001,21,5,0.238000000000000,33.959767999999997,-83.376397999999995,North America,1.125100000000000,17.514399999999998,0.064200000000000,,,,,
-1,Athens,12,33.942480000000003,-83.372649999999993,19,6,0.316000000000000,33.959767999999997,-83.376397999999995,North America,1.953200000000000,17.514399999999998,0.111500000000000,7,11,1,0.000069444451688,164.000000000000000
-1,Athens,13,33.936480000000003,-83.373530000000002,20,4,0.200000000000000,33.959767999999997,-83.376397999999995,North America,2.603000000000000,17.514399999999998,0.148600000000000,8,12,1,0.000069444451688,165.000000000000000
-1,Athens,14,33.933599999999998,-83.370779999999996,19,16,0.842000000000000,33.959767999999997,-83.376397999999995,North America,2.955500000000000,17.514399999999998,0.168700000000000,,,,,
-1,Athens,15,33.920949999999998,-83.343230000000005,20,11,0.550000000000000,33.959767999999997,-83.376397999999995,North America,5.290800000000000,17.514399999999998,0.302100000000000,,,,,
