OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F11_St_Thomas_gcs_PET_Nov_OID,F11_St_Thomas_gcs_PET_Nov_FID_,F11_St_Thomas_gcs_PET_Nov_COUNT,F11_St_Thomas_gcs_PET_Nov_AREA,F11_St_Thomas_gcs_PET_Nov_MEAN
-1,Saint_Thomas,1,42.779162999999997,-81.182883000000004,NA,NA,0.238095238000000,42.778700000000001,-81.165850000000006,North America,1.391098123680000,3.909380995560000,0.355800000000000,0,0,1,0.000069444451688,24.000000000000000
-1,Saint_Thomas,2,42.779181999999999,-81.179787000000005,NA,NA,0.142857143000000,42.778700000000001,-81.165850000000006,North America,1.138727473330000,3.909380995560000,0.291300000000000,,,,,
-1,Saint_Thomas,3,42.779474000000000,-81.177324999999996,NA,NA,0.428571429000000,42.778700000000001,-81.165850000000006,North America,0.940473911338000,3.909380995560000,0.240600000000000,,,,,
-1,Saint_Thomas,4,42.782459000000003,-81.174817000000004,NA,NA,0.476190476000000,42.778700000000001,-81.165850000000006,North America,0.842775209831000,3.909380995560000,0.215600000000000,1,3,1,0.000069444451688,24.000000000000000
-1,Saint_Thomas,5,42.779040999999999,-81.172141999999994,NA,NA,0.523809524000000,42.778700000000001,-81.165850000000006,North America,0.514918891470000,3.909380995560000,0.131700000000000,,,,,
-1,Saint_Thomas,6,42.779350999999998,-81.169827999999995,NA,NA,0.428571429000000,42.778700000000001,-81.165850000000006,North America,0.332635273392000,3.909380995560000,0.085100000000000,,,,,
-1,Saint_Thomas,7,42.778610000000000,-81.166944000000001,NA,NA,0.368421053000000,42.778700000000001,-81.165850000000006,North America,0.089846091821900,3.909380995560000,0.023000000000000,,,,,
-1,Saint_Thomas,8,42.779719999999998,-81.164720000000003,NA,NA,0.333333333000000,42.778700000000001,-81.165850000000006,North America,0.146181927804000,3.909380995560000,0.037400000000000,2,7,1,0.000069444451688,24.000000000000000
-1,Saint_Thomas,9,42.779167000000001,-81.162222000000000,NA,NA,0.476190476000000,42.778700000000001,-81.165850000000006,North America,0.300617469629000,3.909380995560000,0.076900000000000,,,,,
-1,Saint_Thomas,10,42.779834999999999,-81.159322000000003,NA,NA,0.428571429000000,42.778700000000001,-81.165850000000006,North America,0.547522663621000,3.909380995560000,0.140100000000000,,,,,
-1,Saint_Thomas,11,42.779592000000001,-81.157623000000001,NA,NA,0.476190476000000,42.778700000000001,-81.165850000000006,North America,0.678729107669000,3.909380995560000,0.173600000000000,3,10,1,0.000069444451688,24.000000000000000
-1,Saint_Thomas,12,42.778249000000002,-81.155120999999994,NA,NA,0.428571429000000,42.778700000000001,-81.165850000000006,North America,0.877086649005000,3.909380995560000,0.224400000000000,,,,,
-1,Saint_Thomas,13,42.778225999999997,-81.152212000000006,NA,NA,0.047619048000000,42.778700000000001,-81.165850000000006,North America,1.114318436770000,3.909380995560000,0.285000000000000,,,,,
-1,Saint_Thomas,14,42.777548000000003,-81.149981999999994,NA,NA,0.523809524000000,42.778700000000001,-81.165850000000006,North America,1.301400356790000,3.909380995560000,0.332900000000000,4,13,1,0.000069444451688,24.000000000000000
-1,Saint_Thomas,15,42.778129999999997,-81.147361000000004,NA,NA,0.150000000000000,42.778700000000001,-81.165850000000006,North America,1.510319370830000,3.909380995560000,0.386300000000000,,,,,
-1,Saint_Thomas,16,42.777929999999998,-81.145178999999999,NA,NA,0.714285714000000,42.778700000000001,-81.165850000000006,North America,1.689247848830000,3.909380995560000,0.432100000000000,,,,,
-1,Saint_Thomas,17,42.778460000000003,-81.141518000000005,NA,NA,0.294117647000000,42.778700000000001,-81.165850000000006,North America,1.986042224620000,3.909380995560000,0.508000000000000,5,16,1,0.000069444451688,24.000000000000000
-1,Saint_Thomas,18,42.778430000000000,-81.139536000000007,NA,NA,0.157894737000000,42.778700000000001,-81.165850000000006,North America,2.147834756860000,3.909380995560000,0.549400000000000,,,,,
-1,Saint_Thomas,19,42.777920000000002,-81.137083000000004,NA,NA,0.350000000000000,42.778700000000001,-81.165850000000006,North America,2.349438355840000,3.909380995560000,0.601000000000000,,,,,
-1,Saint_Thomas,20,42.777833999999999,-81.134857999999994,NA,NA,0.684210526000000,42.778700000000001,-81.165850000000006,North America,2.531265738300000,3.909380995560000,0.647500000000000,,,,,
-1,Saint_Thomas,21,42.777728000000003,-81.132665000000003,NA,NA,0.238095238000000,42.778700000000001,-81.165850000000006,North America,2.710574644530000,3.909380995560000,0.693400000000000,6,20,1,0.000069444451688,24.000000000000000
-1,Saint_Thomas,22,42.777546000000001,-81.130120000000005,NA,NA,0.285714286000000,42.778700000000001,-81.165850000000006,North America,2.918957205600000,3.909380995560000,0.746700000000000,,,,,
-1,Saint_Thomas,23,42.777392999999996,-81.126599999999996,NA,NA,0.476190476000000,42.778700000000001,-81.165850000000006,North America,3.206722184420000,3.909380995560000,0.820300000000000,,,,,
-1,Saint_Thomas,24,42.777273999999998,-81.123158000000004,NA,NA,0.476190476000000,42.778700000000001,-81.165850000000006,North America,3.487958801280000,3.909380995560000,0.892200000000000,7,23,1,0.000069444451688,24.000000000000000
-1,Saint_Thomas,25,42.777065999999998,-81.120598999999999,NA,NA,0.190476190000000,42.778700000000001,-81.165850000000006,North America,3.697681036960000,3.909380995560000,0.945800000000000,,,,,
-1,Saint_Thomas,26,42.777132999999999,-81.117998000000000,NA,NA,0.238095238000000,42.778700000000001,-81.165850000000006,North America,3.909380995560000,3.909380995560000,1.000000000000000,,,,,
