OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F5_Landshut_gcs_PET_May_OID,F5_Landshut_gcs_PET_May_FID_,F5_Landshut_gcs_PET_May_COUNT,F5_Landshut_gcs_PET_May_AREA,F5_Landshut_gcs_PET_May_MEAN
-1,Landshut,1,48.585880000000003,12.040139999999999,20,6,0.300000000000000,48.536217000000001,12.151655000000000,Europe,9.891500000000001,9.891500000000001,1.000000000000000,0,0,1,0.000069444451688,111.000000000000000
-1,Landshut,2,48.581760000000003,12.040789999999999,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,9.602900000000000,9.891500000000001,0.970800000000000,1,1,1,0.000069444451688,110.000000000000000
-1,Landshut,3,48.581870000000002,12.042690000000000,20,2,0.100000000000000,48.536217000000001,12.151655000000000,Europe,9.490900000000000,9.891500000000001,0.959500000000000,2,2,1,0.000069444451688,110.000000000000000
-1,Landshut,4,48.581380000000003,12.047000000000001,13,2,0.154000000000000,48.536217000000001,12.151655000000000,Europe,9.194599999999999,9.891500000000001,0.929500000000000,,,,,
-1,Landshut,5,48.580019999999998,12.048100000000000,20,3,0.150000000000000,48.536217000000001,12.151655000000000,Europe,9.044700000000001,9.891500000000001,0.914400000000000,,,,,
-1,Landshut,6,48.578910000000000,12.051690000000001,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,8.755699999999999,9.891500000000001,0.885200000000000,3,5,1,0.000069444451688,111.000000000000000
-1,Landshut,7,48.578310000000002,12.053830000000000,20,8,0.400000000000000,48.536217000000001,12.151655000000000,Europe,8.587300000000001,9.891500000000001,0.868100000000000,,,,,
-1,Landshut,8,48.579200000000000,12.056550000000000,20,3,0.150000000000000,48.536217000000001,12.151655000000000,Europe,8.475500000000000,9.891500000000001,0.856800000000000,,,,,
-1,Landshut,9,48.577649999999998,12.060280000000001,20,7,0.350000000000000,48.536217000000001,12.151655000000000,Europe,8.151700000000000,9.891500000000001,0.824100000000000,4,8,1,0.000069444451688,111.000000000000000
-1,Landshut,11,48.575609999999998,12.065519999999999,20,1,0.050000000000000,48.536217000000001,12.151655000000000,Europe,7.705500000000000,9.891500000000001,0.779000000000000,,,,,
-1,Landshut,12,48.573920000000001,12.066240000000001,20,7,0.350000000000000,48.536217000000001,12.151655000000000,Europe,7.556200000000000,9.891500000000001,0.763900000000000,5,10,1,0.000069444451688,110.000000000000000
-1,Landshut,13,48.573129999999999,12.068250000000001,20,3,0.150000000000000,48.536217000000001,12.151655000000000,Europe,7.384500000000000,9.891500000000001,0.746600000000000,6,11,1,0.000069444451688,111.000000000000000
-1,Landshut,14,48.572119999999998,12.070209999999999,20,5,0.250000000000000,48.536217000000001,12.151655000000000,Europe,7.202200000000000,9.891500000000001,0.728100000000000,,,,,
-1,Landshut,15,48.571230000000000,12.072039999999999,20,9,0.450000000000000,48.536217000000001,12.151655000000000,Europe,7.035300000000000,9.891500000000001,0.711200000000000,,,,,
-1,Landshut,16,48.570619999999998,12.075410000000000,20,5,0.250000000000000,48.536217000000001,12.151655000000000,Europe,6.791600000000000,9.891500000000001,0.686600000000000,7,14,1,0.000069444451688,112.000000000000000
-1,Landshut,17,48.570050000000002,12.077730000000001,20,6,0.300000000000000,48.536217000000001,12.151655000000000,Europe,6.615000000000000,9.891500000000001,0.668800000000000,,,,,
-1,Landshut,18,48.568129999999996,12.079599999999999,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,6.381200000000000,9.891500000000001,0.645100000000000,,,,,
-1,Landshut,19,48.566699999999997,12.082140000000001,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,6.137500000000000,9.891500000000001,0.620500000000000,,,,,
-1,Landshut,20,48.566589999999998,12.085129999999999,20,2,0.100000000000000,48.536217000000001,12.151655000000000,Europe,5.948400000000000,9.891500000000001,0.601400000000000,8,18,1,0.000069444451688,111.000000000000000
-1,Landshut,21,48.566049999999997,12.086320000000001,19,7,0.368000000000000,48.536217000000001,12.151655000000000,Europe,5.842200000000000,9.891500000000001,0.590600000000000,,,,,
-1,Landshut,22,48.565420000000003,12.088800000000001,20,4,0.200000000000000,48.536217000000001,12.151655000000000,Europe,5.652400000000000,9.891500000000001,0.571400000000000,,,,,
-1,Landshut,23,48.563899999999997,12.091540000000000,9,2,0.222000000000000,48.536217000000001,12.151655000000000,Europe,5.390300000000000,9.891500000000001,0.544900000000000,,,,,
-1,Landshut,24,48.563380000000002,12.093590000000001,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,5.233500000000000,9.891500000000001,0.529100000000000,9,22,1,0.000069444451688,112.000000000000000
-1,Landshut,25,48.562629999999999,12.097540000000000,20,11,0.550000000000000,48.536217000000001,12.151655000000000,Europe,4.949000000000000,9.891500000000001,0.500300000000000,,,,,
-1,Landshut,26,48.561889999999998,12.099270000000001,20,7,0.350000000000000,48.536217000000001,12.151655000000000,Europe,4.797700000000000,9.891500000000001,0.485000000000000,,,,,
-1,Landshut,27,48.560560000000002,12.101500000000000,20,12,0.600000000000000,48.536217000000001,12.151655000000000,Europe,4.577900000000000,9.891500000000001,0.462800000000000,10,25,1,0.000069444451688,112.000000000000000
-1,Landshut,28,48.559449999999998,12.102630000000000,20,3,0.150000000000000,48.536217000000001,12.151655000000000,Europe,4.438100000000000,9.891500000000001,0.448700000000000,,,,,
-1,Landshut,29,48.559139999999999,12.106210000000001,4,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,4.205700000000000,9.891500000000001,0.425200000000000,,,,,
-1,Landshut,30,48.558349999999997,12.109050000000000,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,3.986600000000000,9.891500000000001,0.403000000000000,11,28,1,0.000069444451688,112.000000000000000
-1,Landshut,31,48.556910000000002,12.111660000000001,19,4,0.211000000000000,48.536217000000001,12.151655000000000,Europe,3.736600000000000,9.891500000000001,0.377800000000000,12,29,1,0.000069444451688,113.000000000000000
