OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,F12_Halifax_gcs_PET_Dec_OID,F12_Halifax_gcs_PET_Dec_FID_,F12_Halifax_gcs_PET_Dec_COUNT,F12_Halifax_gcs_PET_Dec_AREA,F12_Halifax_gcs_PET_Dec_MEAN
-1,Halifax,1,44.639620000000001,-63.574480000000001,20,2,0.100000000000000,44.648766000000002,-63.575237000000001,Canada,North America,1.018800000000000,24.200900000000001,0.042100000000000,0,0,1,0.000069444451688,14.000000000000000
-1,Halifax,2,44.638620000000003,-63.577820000000003,20,5,0.250000000000000,44.648766000000002,-63.575237000000001,Canada,North America,1.146500000000000,24.200900000000001,0.047400000000000,1,1,1,0.000069444451688,13.000000000000000
-1,Halifax,3,44.640709999999999,-63.579720000000002,19,4,0.211000000000000,44.648766000000002,-63.575237000000001,Canada,North America,0.963400000000000,24.200900000000001,0.039800000000000,,,,,
-1,Halifax,4,44.644240000000003,-63.584800000000001,20,1,0.050000000000000,44.648766000000002,-63.575237000000001,Canada,North America,0.908600000000000,24.200900000000001,0.037500000000000,2,3,1,0.000069444451688,13.000000000000000
-1,Halifax,5,44.643929999999997,-63.588580000000000,20,2,0.100000000000000,44.648766000000002,-63.575237000000001,Canada,North America,1.184600000000000,24.200900000000001,0.048900000000000,,,,,
-1,Halifax,6,44.645919999999997,-63.589540000000000,20,2,0.100000000000000,44.648766000000002,-63.575237000000001,Canada,North America,1.174900000000000,24.200900000000001,0.048500000000000,,,,,
-1,Halifax,7,44.649160000000002,-63.591310000000000,20,6,0.300000000000000,44.648766000000002,-63.575237000000001,Canada,North America,1.272200000000000,24.200900000000001,0.052600000000000,,,,,
-1,Halifax,8,44.650579999999998,-63.597349999999999,20,0,0.000000000000000,44.648766000000002,-63.575237000000001,Canada,North America,1.760900000000000,24.200900000000001,0.072800000000000,3,7,1,0.000069444451688,13.000000000000000
-1,Halifax,9,44.651220000000002,-63.605899999999998,20,1,0.050000000000000,44.648766000000002,-63.575237000000001,Canada,North America,2.440900000000000,24.200900000000001,0.100900000000000,4,8,1,0.000069444451688,13.000000000000000
-1,Halifax,10,44.649250000000002,-63.613639999999997,20,2,0.100000000000000,44.648766000000002,-63.575237000000001,Canada,North America,3.038400000000000,24.200900000000001,0.125500000000000,5,9,1,0.000069444451688,13.000000000000000
-1,Halifax,11,44.646729999999998,-63.609800000000000,20,2,0.100000000000000,44.648766000000002,-63.575237000000001,Canada,North America,2.743600000000000,24.200900000000001,0.113400000000000,,,,,
