OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F9_Victoria_gcs_PET_Sep_OID,F9_Victoria_gcs_PET_Sep_FID_,F9_Victoria_gcs_PET_Sep_COUNT,F9_Victoria_gcs_PET_Sep_AREA,F9_Victoria_gcs_PET_Sep_MEAN
-1,Victoria,1,48.411940000000001,-123.361099999999993,20,3,0.150000000000000,48.428421000000000,-123.365645999999998,North America,1.863100000000000,15.032400000000001,0.123900000000000,0,0,1,0.000069444451688,69.000000000000000
-1,Victoria,2,48.414740000000002,-123.360730000000004,20,1,0.050000000000000,48.428421000000000,-123.365645999999998,North America,1.563900000000000,15.032400000000001,0.104000000000000,,,,,
-1,Victoria,3,48.417470000000002,-123.362539999999996,20,4,0.200000000000000,48.428421000000000,-123.365645999999998,North America,1.239100000000000,15.032400000000001,0.082400000000000,1,2,1,0.000069444451688,69.000000000000000
-1,Victoria,4,48.419950000000000,-123.360129999999998,20,6,0.300000000000000,48.428421000000000,-123.365645999999998,North America,1.026100000000000,15.032400000000001,0.068300000000000,,,,,
-1,Victoria,5,48.423169999999999,-123.358930000000001,20,2,0.100000000000000,48.428421000000000,-123.365645999999998,North America,0.765800000000000,15.032400000000001,0.050900000000000,,,,,
-1,Victoria,6,48.426890000000000,-123.354640000000003,20,10,0.500000000000000,48.428421000000000,-123.365645999999998,North America,0.829700000000000,15.032400000000001,0.055200000000000,2,5,1,0.000069444451688,69.000000000000000
-1,Victoria,7,48.430940000000000,-123.352720000000005,20,8,0.400000000000000,48.428421000000000,-123.365645999999998,North America,0.994000000000000,15.032400000000001,0.066100000000000,,,,,
-1,Victoria,8,48.433850000000000,-123.358080000000001,20,0,0.000000000000000,48.428421000000000,-123.365645999999998,North America,0.822200000000000,15.032400000000001,0.054700000000000,3,7,1,0.000069444451688,69.000000000000000
-1,Victoria,9,48.437500000000000,-123.359819999999999,20,14,0.700000000000000,48.428421000000000,-123.365645999999998,North America,1.097200000000000,15.032400000000001,0.073000000000000,4,8,1,0.000069444451688,70.000000000000000
-1,Victoria,10,48.442340000000002,-123.360209999999995,20,2,0.100000000000000,48.428421000000000,-123.365645999999998,North America,1.598800000000000,15.032400000000001,0.106400000000000,5,9,1,0.000069444451688,70.000000000000000
-1,Victoria,11,48.446330000000003,-123.359560000000002,20,8,0.400000000000000,48.428421000000000,-123.365645999999998,North America,2.041400000000000,15.032400000000001,0.135800000000000,,,,,
-1,Victoria,12,48.451659999999997,-123.363090000000000,20,10,0.500000000000000,48.428421000000000,-123.365645999999998,North America,2.590900000000000,15.032400000000001,0.172400000000000,6,11,1,0.000069444451688,70.000000000000000
-1,Victoria,13,48.455359999999999,-123.357720000000000,20,7,0.350000000000000,48.428421000000000,-123.365645999999998,North America,3.052000000000000,15.032400000000001,0.203000000000000,7,12,1,0.000069444451688,69.000000000000000
-1,Victoria,14,48.458759999999998,-123.364440000000002,20,7,0.350000000000000,48.428421000000000,-123.365645999999998,North America,3.374700000000000,15.032400000000001,0.224500000000000,8,13,1,0.000069444451688,69.000000000000000
-1,Victoria,15,48.463679999999997,-123.363720000000001,20,9,0.450000000000000,48.428421000000000,-123.365645999999998,North America,3.923200000000000,15.032400000000001,0.261000000000000,,,,,
-1,Victoria,16,48.470199999999998,-123.360519999999994,20,3,0.150000000000000,48.428421000000000,-123.365645999999998,North America,4.661000000000000,15.032400000000001,0.310100000000000,9,15,1,0.000069444451688,70.000000000000000
-1,Victoria,17,48.474589999999999,-123.365009999999998,20,4,0.200000000000000,48.428421000000000,-123.365645999999998,North America,5.134000000000000,15.032400000000001,0.341500000000000,,,,,
-1,Victoria,18,48.480280000000000,-123.364859999999993,20,10,0.500000000000000,48.428421000000000,-123.365645999999998,North America,5.766700000000000,15.032400000000001,0.383600000000000,10,17,1,0.000069444451688,70.000000000000000
-1,Victoria,19,48.481259999999999,-123.374240000000000,20,10,0.500000000000000,48.428421000000000,-123.365645999999998,North America,5.909500000000000,15.032400000000001,0.393100000000000,11,18,1,0.000069444451688,70.000000000000000
