OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,F1_Sudbury_gcs_PET_Jan_OID,F1_Sudbury_gcs_PET_Jan_FID_,F1_Sudbury_gcs_PET_Jan_COUNT,F1_Sudbury_gcs_PET_Jan_AREA,F1_Sudbury_gcs_PET_Jan_MEAN
-1,Sudbury,1,46.406500000000001,-80.992500000000007,10,0,0,46.492094999999999,-80.993640999999997,Canada,North America,9.518100000000000,9.518100000000000,1,0,0,1,0.000069444451688,6.000000000000000
-1,Sudbury,2,46.420499999999997,-81.009699999999995,10,0,0,46.492094999999999,-80.993640999999997,Canada,North America,8.055500000000000,9.518100000000000,1,1,1,1,0.000069444451688,5.000000000000000
-1,Sudbury,3,46.424799999999998,-81.010499999999993,10,0,0,46.492094999999999,-80.993640999999997,Canada,North America,7.593500000000000,9.518100000000000,1,,,,,
-1,Sudbury,4,46.429000000000002,-81.009500000000003,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,7.120200000000000,9.518100000000000,1,2,3,1,0.000069444451688,5.000000000000000
-1,Sudbury,5,46.439599999999999,-81.004599999999996,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,5.897200000000000,9.518100000000000,1,3,4,1,0.000069444451688,5.000000000000000
-1,Sudbury,6,46.445599999999999,-81.005600000000001,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,5.250500000000000,9.518100000000000,1,4,5,1,0.000069444451688,5.000000000000000
-1,Sudbury,7,46.450899999999997,-81.002700000000004,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,4.632900000000000,9.518100000000000,0,5,6,1,0.000069444451688,5.000000000000000
-1,Sudbury,8,46.457000000000001,-81.000799999999998,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,3.940700000000000,9.518100000000000,0,,,,,
-1,Sudbury,9,46.461799999999997,-81.000100000000003,10,0,0,46.492094999999999,-80.993640999999997,Canada,North America,3.404800000000000,9.518100000000000,0,6,8,1,0.000069444451688,5.000000000000000
-1,Sudbury,10,46.466500000000003,-80.998300000000000,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,2.868300000000000,9.518100000000000,0,7,9,1,0.000069444451688,5.000000000000000
-1,Sudbury,11,46.476100000000002,-80.994299999999996,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,1.779300000000000,9.518100000000000,0,8,10,1,0.000069444451688,5.000000000000000
-1,Sudbury,12,46.480400000000003,-80.989500000000007,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,1.338500000000000,9.518100000000000,0,9,11,1,0.000069444451688,5.000000000000000
-1,Sudbury,13,46.483199999999997,-80.989000000000004,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,1.051000000000000,9.518100000000000,0,,,,,
-1,Sudbury,14,46.489300000000000,-80.988900000000001,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,0.477800000000000,9.518100000000000,0,10,13,1,0.000069444451688,5.000000000000000
-1,Sudbury,15,46.491700000000002,-80.989599999999996,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,0.312500000000000,9.518100000000000,0,11,14,1,0.000069444451688,5.000000000000000
-1,Sudbury,16,46.494199999999999,-80.990200000000002,10,0,0,46.492094999999999,-80.993640999999997,Canada,North America,0.352400000000000,9.518100000000000,0,,,,,
-1,Sudbury,17,46.498899999999999,-80.986999999999995,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,0.911600000000000,9.518100000000000,0,,,,,
-1,Sudbury,18,46.502699999999997,-80.986599999999996,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,1.296500000000000,9.518100000000000,0,12,17,1,0.000069444451688,5.000000000000000
-1,Sudbury,19,46.506500000000003,-80.987099999999998,10,1,0,46.492094999999999,-80.993640999999997,Canada,North America,1.678200000000000,9.518100000000000,0,,,,,
-1,Sudbury,20,46.510599999999997,-80.986300000000000,10,2,0,46.492094999999999,-80.993640999999997,Canada,North America,2.133000000000000,9.518100000000000,0,13,19,1,0.000069444451688,5.000000000000000
