OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F7_London_gcs_PET_Jul_OID,F7_London_gcs_PET_Jul_FID_,F7_London_gcs_PET_Jul_COUNT,F7_London_gcs_PET_Jul_AREA,F7_London_gcs_PET_Jul_MEAN
-1,London,1,42.983888999999998,-81.243333000000007,NA,NA,0.300000000000000,42.984270000000002,-81.247529999999998,North America,0.344018872591000,16.897389404999998,0.020400000000000,0,0,1,0.000069444451688,155.000000000000000
-1,London,2,42.984873999999998,-81.239126999999996,NA,NA,0.190476190000000,42.984270000000002,-81.247529999999998,North America,0.686818879829000,16.897389404999998,0.040600000000000,1,1,1,0.000069444451688,155.000000000000000
-1,London,3,42.986300000000000,-81.235084000000001,NA,NA,0.190476190000000,42.984270000000002,-81.247529999999998,North America,1.037245347030000,16.897389404999998,0.061400000000000,,,,,
-1,London,4,42.987268999999998,-81.231283000000005,NA,NA,0.238095238000000,42.984270000000002,-81.247529999999998,North America,1.362981940410000,16.897389404999998,0.080700000000000,2,3,1,0.000069444451688,155.000000000000000
-1,London,5,42.987499999999997,-81.228055999999995,NA,NA,0.181818182000000,42.984270000000002,-81.247529999999998,North America,1.624251285090000,16.897389404999998,0.096100000000000,,,,,
-1,London,6,42.990748000000004,-81.221914999999996,NA,NA,0.047619048000000,42.984270000000002,-81.247529999999998,North America,2.204510243240000,16.897389404999998,0.130500000000000,3,5,1,0.000069444451688,156.000000000000000
-1,London,7,42.992638999999997,-81.217803000000004,NA,NA,0.272727273000000,42.984270000000002,-81.247529999999998,North America,2.590834057240000,16.897389404999998,0.153300000000000,4,6,1,0.000069444451688,157.000000000000000
-1,London,8,42.994062999999997,-81.213108000000005,NA,NA,0.285714286000000,42.984270000000002,-81.247529999999998,North America,3.004094465390000,16.897389404999998,0.177800000000000,5,7,1,0.000069444451688,157.000000000000000
-1,London,9,42.995128000000001,-81.208792000000003,NA,NA,0.285714286000000,42.984270000000002,-81.247529999999998,North America,3.374213698040000,16.897389404999998,0.199700000000000,,,,,
-1,London,10,42.996583999999999,-81.203913999999997,NA,NA,0.545454545000000,42.984270000000002,-81.247529999999998,North America,3.802606636580000,16.897389404999998,0.225000000000000,6,9,1,0.000069444451688,157.000000000000000
-1,London,11,42.998092000000000,-81.199680999999998,NA,NA,0.142857143000000,42.984270000000002,-81.247529999999998,North America,4.184265578880000,16.897389404999998,0.247600000000000,7,10,1,0.000069444451688,157.000000000000000
-1,London,12,42.997083000000003,-81.194826000000006,NA,NA,0.285714286000000,42.984270000000002,-81.247529999999998,North America,4.517253746490000,16.897389404999998,0.267300000000000,,,,,
-1,London,13,43.000729999999997,-81.189493999999996,NA,NA,0.636363636000000,42.984270000000002,-81.247529999999998,North America,5.062650221430000,16.897389404999998,0.299600000000000,8,12,1,0.000069444451688,157.000000000000000
-1,London,14,43.002051999999999,-81.185429999999997,NA,NA,0.350000000000000,42.984270000000002,-81.247529999999998,North America,5.423951680010000,16.897389404999998,0.321000000000000,,,,,
-1,London,15,43.003463000000004,-81.181070000000005,NA,NA,0.285714286000000,42.984270000000002,-81.247529999999998,North America,5.811318899180000,16.897389404999998,0.343900000000000,9,14,1,0.000069444451688,157.000000000000000
-1,London,16,43.004427000000000,-81.176678999999993,NA,NA,0.300000000000000,42.984270000000002,-81.247529999999998,North America,6.182892323320000,16.897389404999998,0.365900000000000,,,,,
-1,London,17,43.005997000000001,-81.172377999999995,NA,NA,0.380952381000000,42.984270000000002,-81.247529999999998,North America,6.572211292120000,16.897389404999998,0.388900000000000,10,16,1,0.000069444451688,157.000000000000000
-1,London,18,43.006932999999997,-81.167480999999995,NA,NA,0.363636364000000,42.984270000000002,-81.247529999999998,North America,6.980984791990000,16.897389404999998,0.413100000000000,,,,,
-1,London,19,43.008412000000000,-81.162058999999999,NA,NA,0.285714286000000,42.984270000000002,-81.247529999999998,North America,7.451505999380000,16.897389404999998,0.441000000000000,11,18,1,0.000069444451688,157.000000000000000
-1,London,20,43.009557000000001,-81.157805999999994,NA,NA,0.571428571000000,42.984270000000002,-81.247529999999998,North America,7.819973276050000,16.897389404999998,0.462800000000000,12,19,1,0.000069444451688,157.000000000000000
-1,London,21,43.010770000000001,-81.153225000000006,NA,NA,0.368421053000000,42.984270000000002,-81.247529999999998,North America,8.216046310679999,16.897389404999998,0.486200000000000,,,,,
-1,London,22,43.011004000000000,-81.146742000000003,NA,NA,0.095238095000000,42.984270000000002,-81.247529999999998,North America,8.719082697410000,16.897389404999998,0.516000000000000,13,21,1,0.000069444451688,157.000000000000000
-1,London,23,43.012514000000003,-81.144597000000005,NA,NA,0.380952381000000,42.984270000000002,-81.247529999999998,North America,8.940765154350000,16.897389404999998,0.529100000000000,,,,,
-1,London,24,43.015241000000003,-81.138936000000001,NA,NA,0.250000000000000,42.984270000000002,-81.247529999999998,North America,9.478927014440000,16.897389404999998,0.561000000000000,14,23,1,0.000069444451688,157.000000000000000
-1,London,25,43.016472999999998,-81.134354000000002,NA,NA,0.285714286000000,42.984270000000002,-81.247529999999998,North America,9.875775244030001,16.897389404999998,0.584500000000000,,,,,
-1,London,26,43.018993999999999,-81.126301999999995,NA,NA,0.409090909000000,42.984270000000002,-81.247529999999998,North America,10.587502394300000,16.897389404999998,0.626600000000000,15,25,1,0.000069444451688,157.000000000000000
-1,London,27,43.021149999999999,-81.121060999999997,NA,NA,0.333333333000000,42.984270000000002,-81.247529999999998,North America,11.071820046299999,16.897389404999998,0.655200000000000,16,26,1,0.000069444451688,157.000000000000000
-1,London,28,43.022145000000002,-81.115960999999999,NA,NA,0.227272727000000,42.984270000000002,-81.247529999999998,North America,11.498062440300000,16.897389404999998,0.680500000000000,17,27,1,0.000069444451688,157.000000000000000
-1,London,29,43.022672000000000,-81.113674000000003,NA,NA,0.571428571000000,42.984270000000002,-81.247529999999998,North America,11.692541855300000,16.897389404999998,0.692000000000000,,,,,
-1,London,30,43.024853000000000,-81.107271999999995,NA,NA,0.142857143000000,42.984270000000002,-81.247529999999998,North America,12.265612991399999,16.897389404999998,0.725900000000000,18,29,1,0.000069444451688,157.000000000000000
-1,London,31,43.026114000000000,-81.102383000000003,NA,NA,0.238095238000000,42.984270000000002,-81.247529999999998,North America,12.686770823600000,16.897389404999998,0.750800000000000,19,30,1,0.000069444451688,157.000000000000000
-1,London,32,43.027230000000003,-81.096630000000005,NA,NA,0.350000000000000,42.984270000000002,-81.247529999999998,North America,13.167511153300000,16.897389404999998,0.779300000000000,20,31,1,0.000069444451688,156.000000000000000
-1,London,33,43.028914000000000,-81.094103000000004,NA,NA,0.000000000000000,42.984270000000002,-81.247529999999998,North America,13.427140603200000,16.897389404999998,0.794600000000000,,,,,
-1,London,34,43.030258000000003,-81.090158000000002,NA,NA,0.190476190000000,42.984270000000002,-81.247529999999998,North America,13.780332669200000,16.897389404999998,0.815500000000000,21,33,1,0.000069444451688,156.000000000000000
-1,London,35,43.031604999999999,-81.083537000000007,NA,NA,0.333333333000000,42.984270000000002,-81.247529999999998,North America,14.335840153900000,16.897389404999998,0.848400000000000,,,,,
-1,London,36,43.033099999999997,-81.079504000000000,NA,NA,0.285714286000000,42.984270000000002,-81.247529999999998,North America,14.701789267200001,16.897389404999998,0.870100000000000,22,35,1,0.000069444451688,157.000000000000000
-1,London,37,43.034865000000003,-81.075024999999997,NA,NA,0.238095238000000,42.984270000000002,-81.247529999999998,North America,15.112605871000000,16.897389404999998,0.894400000000000,23,36,1,0.000069444451688,156.000000000000000
-1,London,38,43.035077999999999,-81.070807000000002,NA,NA,0.380952381000000,42.984270000000002,-81.247529999999998,North America,15.440077084500000,16.897389404999998,0.913800000000000,24,37,1,0.000069444451688,156.000000000000000
-1,London,39,43.037374999999997,-81.065743999999995,NA,NA,0.095238095000000,42.984270000000002,-81.247529999999998,North America,15.916639653400001,16.897389404999998,0.942000000000000,25,38,1,0.000069444451688,156.000000000000000
-1,London,40,43.039726999999999,-81.054040999999998,NA,NA,0.227272727000000,42.984270000000002,-81.247529999999998,North America,16.897389404999998,16.897389404999998,1.000000000000000,26,39,1,0.000069444451688,156.000000000000000
