OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F1_Moncton_gcs_PET_Jan_OID,F1_Moncton_gcs_PET_Jan_FID_,F1_Moncton_gcs_PET_Jan_COUNT,F1_Moncton_gcs_PET_Jan_AREA,F1_Moncton_gcs_PET_Jan_MEAN
-1,Moncton,1,46.093240000000002,-64.762389999999996,15,3,0.200000000000000,46.088878999999999,-64.775818000000001,North America,1.143400000000000,9.148099999999999,0.125000000000000,0,0,1,0.000069444451688,10.000000000000000
-1,Moncton,2,46.092810000000000,-64.768190000000004,20,2,0.100000000000000,46.088878999999999,-64.775818000000001,North America,0.732900000000000,9.148099999999999,0.080100000000000,1,1,1,0.000069444451688,10.000000000000000
-1,Moncton,3,46.090089999999996,-64.771889999999999,20,1,0.050000000000000,46.088878999999999,-64.775818000000001,North America,0.331500000000000,9.148099999999999,0.036200000000000,2,2,1,0.000069444451688,10.000000000000000
-1,Moncton,4,46.091340000000002,-64.770210000000006,20,2,0.100000000000000,46.088878999999999,-64.775818000000001,North America,0.511800000000000,9.148099999999999,0.055900000000000,,,,,
-1,Moncton,5,46.090690000000002,-64.779100000000000,17,0,0.000000000000000,46.088878999999999,-64.775818000000001,North America,0.323400000000000,9.148099999999999,0.035400000000000,3,4,1,0.000069444451688,10.000000000000000
-1,Moncton,6,46.089320000000001,-64.780810000000002,20,4,0.200000000000000,46.088878999999999,-64.775818000000001,North America,0.388100000000000,9.148099999999999,0.042400000000000,,,,,
-1,Moncton,7,46.085209999999996,-64.789019999999994,20,2,0.100000000000000,46.088878999999999,-64.775818000000001,North America,1.096800000000000,9.148099999999999,0.119900000000000,4,6,1,0.000069444451688,10.000000000000000
-1,Moncton,8,46.086060000000003,-64.786379999999994,20,1,0.050000000000000,46.088878999999999,-64.775818000000001,North America,0.872800000000000,9.148099999999999,0.095400000000000,,,,,
-1,Moncton,9,46.079140000000002,-64.799310000000006,20,4,0.200000000000000,46.088878999999999,-64.775818000000001,North America,2.110800000000000,9.148099999999999,0.230700000000000,5,8,1,0.000069444451688,10.000000000000000
-1,Moncton,10,46.075749999999999,-64.807760000000002,19,3,0.158000000000000,46.088878999999999,-64.775818000000001,North America,2.863700000000000,9.148099999999999,0.313000000000000,6,9,1,0.000069444451688,10.000000000000000
-1,Moncton,11,46.093389999999999,-64.758769999999998,20,4,0.200000000000000,46.088878999999999,-64.775818000000001,North America,1.407100000000000,9.148099999999999,0.153800000000000,,,,,
-1,Moncton,12,46.093299999999999,-64.765850000000000,20,2,0.100000000000000,46.088878999999999,-64.775818000000001,North America,0.912400000000000,9.148099999999999,0.099700000000000,,,,,
-1,Moncton,13,46.090280000000000,-64.776470000000003,20,2,0.100000000000000,46.088878999999999,-64.775818000000001,North America,0.163700000000000,9.148099999999999,0.017900000000000,,,,,
-1,Moncton,14,46.086860000000001,-64.783349999999999,19,1,0.053000000000000,46.088878999999999,-64.775818000000001,North America,0.622700000000000,9.148099999999999,0.068100000000000,,,,,
-1,Moncton,15,46.079590000000003,-64.796930000000003,20,1,0.050000000000000,46.088878999999999,-64.775818000000001,North America,1.928200000000000,9.148099999999999,0.210800000000000,,,,,
