OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F7_Houston_gcs_PET_Jul_OID,F7_Houston_gcs_PET_Jul_FID_,F7_Houston_gcs_PET_Jul_COUNT,F7_Houston_gcs_PET_Jul_AREA,F7_Houston_gcs_PET_Jul_MEAN
-1,Houston,1,29.758890000000001,-95.367779999999996,16,16,1.000000000000000,29.758938000000001,-95.367697000000007,North America,0.009600000000000,71.158100000000005,0.000100000000000,0,0,1,0.000069444451688,169.000000000000000
-1,Houston,2,29.751670000000001,-95.365560000000002,21,14,0.667000000000000,29.758938000000001,-95.367697000000007,North America,0.834100000000000,71.158100000000005,0.011700000000000,1,1,1,0.000069444451688,169.000000000000000
-1,Houston,3,29.738890000000001,-95.371110000000002,21,5,0.238000000000000,29.758938000000001,-95.367697000000007,North America,2.253500000000000,71.158100000000005,0.031700000000000,2,2,1,0.000069444451688,168.000000000000000
-1,Houston,4,29.742500000000000,-95.383060000000000,13,12,0.923000000000000,29.758938000000001,-95.367697000000007,North America,2.353800000000000,71.158100000000005,0.033100000000000,3,3,1,0.000069444451688,169.000000000000000
-1,Houston,5,29.732500000000002,-95.402780000000007,20,13,0.650000000000000,29.758938000000001,-95.367697000000007,North America,4.484900000000000,71.158100000000005,0.063000000000000,4,4,1,0.000069444451688,168.000000000000000
-1,Houston,6,29.728330000000000,-95.408330000000007,14,7,0.500000000000000,29.758938000000001,-95.367697000000007,North America,5.193500000000000,71.158100000000005,0.073000000000000,5,5,1,0.000069444451688,168.000000000000000
-1,Houston,7,29.722500000000000,-95.424999999999997,17,16,0.941000000000000,29.758938000000001,-95.367697000000007,North America,6.857500000000000,71.158100000000005,0.096400000000000,6,6,1,0.000069444451688,168.000000000000000
-1,Houston,8,29.715000000000000,-95.433890000000005,14,12,0.857000000000000,29.758938000000001,-95.367697000000007,North America,8.044600000000001,71.158100000000005,0.113100000000000,7,7,1,0.000069444451688,168.000000000000000
-1,Houston,9,29.706370000000000,-95.451080000000005,19,19,1.000000000000000,29.758938000000001,-95.367697000000007,North America,9.949299999999999,71.158100000000005,0.139800000000000,8,8,1,0.000069444451688,168.000000000000000
-1,Houston,10,29.703610000000001,-95.469440000000006,13,11,0.846000000000000,29.758938000000001,-95.367697000000007,North America,11.591400000000000,71.158100000000005,0.162900000000000,9,9,1,0.000069444451688,169.000000000000000
-1,Houston,11,29.691669999999998,-95.468059999999994,20,18,0.900000000000000,29.758938000000001,-95.367697000000007,North America,12.242200000000000,71.158100000000005,0.172000000000000,10,10,1,0.000069444451688,168.000000000000000
-1,Houston,12,29.694720000000000,-95.487499999999997,13,13,1.000000000000000,29.758938000000001,-95.367697000000007,North America,13.594700000000000,71.158100000000005,0.191000000000000,11,11,1,0.000069444451688,169.000000000000000
-1,Houston,13,29.691669999999998,-95.499440000000007,21,20,0.952000000000000,29.758938000000001,-95.367697000000007,North America,14.757500000000000,71.158100000000005,0.207400000000000,12,12,1,0.000069444451688,169.000000000000000
-1,Houston,14,29.685829999999999,-95.513329999999996,19,18,0.947000000000000,29.758938000000001,-95.367697000000007,North America,16.243700000000000,71.158100000000005,0.228300000000000,13,13,1,0.000069444451688,171.000000000000000
-1,Houston,15,29.677499999999998,-95.529439999999994,15,10,0.667000000000000,29.758938000000001,-95.367697000000007,North America,18.054700000000000,71.158100000000005,0.253700000000000,14,14,1,0.000069444451688,171.000000000000000
-1,Houston,16,29.670829999999999,-95.552779999999998,18,15,0.833000000000000,29.758938000000001,-95.367697000000007,North America,20.382999999999999,71.158100000000005,0.286400000000000,15,15,1,0.000069444451688,173.000000000000000
-1,Houston,17,29.661390000000001,-95.563890000000001,15,15,1.000000000000000,29.758938000000001,-95.367697000000007,North America,21.832899999999999,71.158100000000005,0.306800000000000,16,16,1,0.000069444451688,174.000000000000000
-1,Houston,18,29.650829999999999,-95.575280000000006,12,12,1.000000000000000,29.758938000000001,-95.367697000000007,North America,23.376600000000000,71.158100000000005,0.328500000000000,17,17,1,0.000069444451688,174.000000000000000
-1,Houston,19,29.647780000000001,-95.579719999999995,22,22,1.000000000000000,29.758938000000001,-95.367697000000007,North America,23.919100000000000,71.158100000000005,0.336100000000000,18,18,1,0.000069444451688,174.000000000000000
-1,Houston,20,29.641390000000001,-95.588890000000006,20,19,0.950000000000000,29.758938000000001,-95.367697000000007,North America,25.045600000000000,71.158100000000005,0.352000000000000,19,19,1,0.000069444451688,175.000000000000000
-1,Houston,21,29.636109999999999,-95.607500000000002,12,12,1.000000000000000,29.758938000000001,-95.367697000000007,North America,26.889399999999998,71.158100000000005,0.377900000000000,20,20,1,0.000069444451688,177.000000000000000
-1,Houston,22,29.630559999999999,-95.614440000000002,21,21,1.000000000000000,29.758938000000001,-95.367697000000007,North America,27.781500000000001,71.158100000000005,0.390400000000000,21,21,1,0.000069444451688,177.000000000000000
-1,Houston,23,29.629719999999999,-95.627219999999994,21,18,0.857000000000000,29.758938000000001,-95.367697000000007,North America,28.893899999999999,71.158100000000005,0.406100000000000,22,22,1,0.000069444451688,178.000000000000000
-1,Houston,24,29.626390000000001,-95.637780000000006,15,15,1.000000000000000,29.758938000000001,-95.367697000000007,North America,29.963999999999999,71.158100000000005,0.421100000000000,23,23,1,0.000069444451688,179.000000000000000
-1,Houston,25,29.610560000000000,-95.645560000000003,20,20,1.000000000000000,29.758938000000001,-95.367697000000007,North America,31.507300000000001,71.158100000000005,0.442800000000000,24,24,1,0.000069444451688,179.000000000000000
-1,Houston,26,29.607500000000002,-95.658609999999996,23,22,0.957000000000000,29.758938000000001,-95.367697000000007,North America,32.762000000000000,71.158100000000005,0.460400000000000,25,25,1,0.000069444451688,180.000000000000000
