OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F10_Xalapa_gcs_PET_Oct_OID,F10_Xalapa_gcs_PET_Oct_FID_,F10_Xalapa_gcs_PET_Oct_COUNT,F10_Xalapa_gcs_PET_Oct_AREA,F10_Xalapa_gcs_PET_Oct_MEAN
-1,Xalapa,1,19.545900000000000,-96.918999999999997,16,0,0.000000000000000,19.527269000000000,-96.923500000000004,South America,2.124700000000000,6.388200000000000,0.332600000000000,0,0,1,0.000069444451688,96.000000000000000
-1,Xalapa,2,19.544899999999998,-96.921499999999995,20,1,0.050000000000000,19.527269000000000,-96.923500000000004,South America,1.971600000000000,6.388200000000000,0.308600000000000,,,,,
-1,Xalapa,3,19.544400000000000,-96.923299999999998,15,3,0.200000000000000,19.527269000000000,-96.923500000000004,South America,1.905000000000000,6.388200000000000,0.298200000000000,,,,,
-1,Xalapa,4,19.543399999999998,-96.927400000000006,20,1,0.050000000000000,19.527269000000000,-96.923500000000004,South America,1.839700000000000,6.388200000000000,0.288000000000000,1,3,1,0.000069444451688,97.000000000000000
-1,Xalapa,5,19.547799999999999,-96.929299999999998,20,1,0.050000000000000,19.527269000000000,-96.923500000000004,South America,2.362500000000000,6.388200000000000,0.369800000000000,,,,,
-1,Xalapa,6,19.551430000000000,-96.930269999999993,20,1,0.050000000000000,19.527269000000000,-96.923500000000004,South America,2.778700000000000,6.388200000000000,0.435000000000000,2,5,1,0.000069444451688,96.000000000000000
-1,Xalapa,7,19.537929999999999,-96.934039999999996,18,0,0.000000000000000,19.527269000000000,-96.923500000000004,South America,1.620300000000000,6.388200000000000,0.253600000000000,3,6,1,0.000069444451688,98.000000000000000
-1,Xalapa,8,19.539790000000000,-96.931179999999998,20,3,0.150000000000000,19.527269000000000,-96.923500000000004,South America,1.608200000000000,6.388200000000000,0.251700000000000,4,7,1,0.000069444451688,98.000000000000000
-1,Xalapa,9,19.531389999999998,-96.929389999999998,20,5,0.250000000000000,19.527269000000000,-96.923500000000004,South America,0.768800000000000,6.388200000000000,0.120300000000000,5,8,1,0.000069444451688,98.000000000000000
-1,Xalapa,10,19.530750000000001,-96.936779999999999,20,0,0.000000000000000,19.527269000000000,-96.923500000000004,South America,1.444500000000000,6.388200000000000,0.226100000000000,6,9,1,0.000069444451688,98.000000000000000
-1,Xalapa,11,19.528890000000001,-96.944580000000002,20,10,0.500000000000000,19.527269000000000,-96.923500000000004,South America,2.216500000000000,6.388200000000000,0.347000000000000,7,10,1,0.000069444451688,98.000000000000000
-1,Xalapa,12,19.525350000000000,-96.941990000000004,20,2,0.100000000000000,19.527269000000000,-96.923500000000004,South America,1.949500000000000,6.388200000000000,0.305200000000000,,,,,
-1,Xalapa,13,19.528279999999999,-96.952730000000003,20,1,0.050000000000000,19.527269000000000,-96.923500000000004,South America,3.065300000000000,6.388200000000000,0.479800000000000,8,12,1,0.000069444451688,98.000000000000000
-1,Xalapa,14,19.526800000000001,-96.961500000000001,20,1,0.050000000000000,19.527269000000000,-96.923500000000004,South America,3.982700000000000,6.388200000000000,0.623400000000000,9,13,1,0.000069444451688,99.000000000000000
-1,Xalapa,15,19.524799999999999,-96.963340000000002,19,1,0.053000000000000,19.527269000000000,-96.923500000000004,South America,4.184300000000000,6.388200000000000,0.655000000000000,10,14,1,0.000069444451688,98.000000000000000
-1,Xalapa,16,19.526769999999999,-96.973510000000005,20,0,0.000000000000000,19.527269000000000,-96.923500000000004,South America,5.241300000000000,6.388200000000000,0.820500000000000,11,15,1,0.000069444451688,98.000000000000000
-1,Xalapa,17,19.525559999999999,-96.980530000000002,18,4,0.222000000000000,19.527269000000000,-96.923500000000004,South America,5.979800000000000,6.388200000000000,0.936100000000000,12,16,1,0.000069444451688,98.000000000000000
-1,Xalapa,18,19.522790000000001,-96.984269999999995,20,2,0.100000000000000,19.527269000000000,-96.923500000000004,South America,6.388200000000000,6.388200000000000,1.000000000000000,13,17,1,0.000069444451688,98.000000000000000
-1,Xalapa,19,19.531720000000000,-96.938900000000004,20,1,0.050000000000000,19.527269000000000,-96.923500000000004,South America,1.688100000000000,6.388200000000000,0.264300000000000,,,,,
-1,Xalapa,20,19.521280000000001,-96.943200000000004,20,0,0.000000000000000,19.527269000000000,-96.923500000000004,South America,2.169300000000000,6.388200000000000,0.339600000000000,14,19,1,0.000069444451688,99.000000000000000
-1,Xalapa,21,19.518650000000001,-96.944720000000004,19,2,0.105000000000000,19.527269000000000,-96.923500000000004,South America,2.421600000000000,6.388200000000000,0.379100000000000,,,,,
-1,Xalapa,22,19.510110000000001,-96.945189999999997,20,0,0.000000000000000,19.527269000000000,-96.923500000000004,South America,2.967800000000000,6.388200000000000,0.464600000000000,15,21,1,0.000069444451688,99.000000000000000
-1,Xalapa,23,19.513020000000001,-96.945380000000000,20,0,0.000000000000000,19.527269000000000,-96.923500000000004,South America,2.787200000000000,6.388200000000000,0.436300000000000,,,,,
