OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F12_Providence_gcs_PET_Dec_OID,F12_Providence_gcs_PET_Dec_FID_,F12_Providence_gcs_PET_Dec_COUNT,F12_Providence_gcs_PET_Dec_AREA,F12_Providence_gcs_PET_Dec_MEAN
-1,Providence,1,41.826070000000001,-71.435419999999993,16,2,0.125000000000000,41.823988999999997,-71.412834000000004,North America,1.885700000000000,17.514900000000001,0.107700000000000,0,0,1,0.000069444451688,20.000000000000000
-1,Providence,2,41.822450000000003,-71.431070000000005,16,2,0.125000000000000,41.823988999999997,-71.412834000000004,North America,1.520800000000000,17.514900000000001,0.086800000000000,1,1,1,0.000069444451688,20.000000000000000
-1,Providence,3,41.823590000000003,-71.429469999999995,16,1,0.062000000000000,41.823988999999997,-71.412834000000004,North America,1.379200000000000,17.514900000000001,0.078700000000000,,,,,
-1,Providence,4,41.824399999999997,-71.425659999999993,16,5,0.312000000000000,41.823988999999997,-71.412834000000004,North America,1.063800000000000,17.514900000000001,0.060700000000000,,,,,
-1,Providence,5,41.823509999999999,-71.421490000000006,16,0,0.000000000000000,41.823988999999997,-71.412834000000004,North America,0.719200000000000,17.514900000000001,0.041100000000000,2,4,1,0.000069444451688,20.000000000000000
-1,Providence,6,41.817819999999998,-71.419809999999998,16,0,0.000000000000000,41.823988999999997,-71.412834000000004,North America,0.897100000000000,17.514900000000001,0.051200000000000,,,,,
-1,Providence,7,41.825710000000001,-71.411860000000004,16,0,0.000000000000000,41.823988999999997,-71.412834000000004,North America,0.207700000000000,17.514900000000001,0.011900000000000,3,6,1,0.000069444451688,20.000000000000000
-1,Providence,8,41.822060000000000,-71.411280000000005,16,3,0.188000000000000,41.823988999999997,-71.412834000000004,North America,0.250200000000000,17.514900000000001,0.014300000000000,4,7,1,0.000069444451688,20.000000000000000
-1,Providence,9,41.817189999999997,-71.413430000000005,16,4,0.250000000000000,41.823988999999997,-71.412834000000004,North America,0.757600000000000,17.514900000000001,0.043300000000000,,,,,
-1,Providence,10,41.813150000000000,-71.402249999999995,16,2,0.125000000000000,41.823988999999997,-71.412834000000004,North America,1.490600000000000,17.514900000000001,0.085100000000000,5,9,1,0.000069444451688,20.000000000000000
-1,Providence,11,41.765000000000001,-71.258129999999994,16,6,0.375000000000000,41.823988999999997,-71.412834000000004,North America,14.404999999999999,17.514900000000001,0.822400000000000,6,10,1,0.000069444451688,20.000000000000000
-1,Providence,12,41.767679999999999,-71.261640000000000,16,2,0.125000000000000,41.823988999999997,-71.412834000000004,North America,14.010700000000000,17.514900000000001,0.799900000000000,7,11,1,0.000069444451688,20.000000000000000
-1,Providence,13,41.767899999999997,-71.267110000000002,16,2,0.125000000000000,41.823988999999997,-71.412834000000004,North America,13.595300000000000,17.514900000000001,0.776200000000000,8,12,1,0.000069444451688,20.000000000000000
-1,Providence,14,41.760700000000000,-71.269980000000004,16,5,0.312000000000000,41.823988999999997,-71.412834000000004,North America,13.776199999999999,17.514900000000001,0.786500000000000,9,13,1,0.000069444451688,20.000000000000000
-1,Providence,15,41.771769999999997,-71.267499999999998,16,6,0.375000000000000,41.823988999999997,-71.412834000000004,North America,13.373799999999999,17.514900000000001,0.763600000000000,,,,,
-1,Providence,16,41.815100000000001,-71.389489999999995,16,5,0.312000000000000,41.823988999999997,-71.412834000000004,North America,2.172400000000000,17.514900000000001,0.124000000000000,10,15,1,0.000069444451688,20.000000000000000
-1,Providence,17,41.809330000000003,-71.384799999999998,16,2,0.125000000000000,41.823988999999997,-71.412834000000004,North America,2.838000000000000,17.514900000000001,0.162000000000000,,,,,
-1,Providence,18,41.804580000000001,-71.382819999999995,16,3,0.188000000000000,41.823988999999997,-71.412834000000004,North America,3.293200000000000,17.514900000000001,0.188000000000000,11,17,1,0.000069444451688,20.000000000000000
-1,Providence,19,41.806550000000001,-71.373580000000004,16,4,0.250000000000000,41.823988999999997,-71.412834000000004,North America,3.787200000000000,17.514900000000001,0.216200000000000,12,18,1,0.000069444451688,20.000000000000000
-1,Providence,20,41.809410000000000,-71.372100000000003,16,2,0.125000000000000,41.823988999999997,-71.412834000000004,North America,3.744800000000000,17.514900000000001,0.213800000000000,13,19,1,0.000069444451688,20.000000000000000
-1,Providence,21,41.808799999999998,-71.365910000000000,16,2,0.125000000000000,41.823988999999997,-71.412834000000004,North America,4.239600000000000,17.514900000000001,0.242100000000000,14,20,1,0.000069444451688,20.000000000000000
-1,Providence,22,41.799759999999999,-71.369290000000007,16,2,0.125000000000000,41.823988999999997,-71.412834000000004,North America,4.503600000000000,17.514900000000001,0.257100000000000,15,21,1,0.000069444451688,20.000000000000000
-1,Providence,23,41.804029999999997,-71.362499999999997,16,5,0.312000000000000,41.823988999999997,-71.412834000000004,North America,4.725100000000000,17.514900000000001,0.269800000000000,16,22,1,0.000069444451688,20.000000000000000
-1,Providence,24,41.797120000000000,-71.357870000000005,16,3,0.188000000000000,41.823988999999997,-71.412834000000004,North America,5.447700000000000,17.514900000000001,0.311000000000000,17,23,1,0.000069444451688,20.000000000000000
-1,Providence,25,41.797110000000004,-71.353700000000003,16,5,0.312000000000000,41.823988999999997,-71.412834000000004,North America,5.740400000000000,17.514900000000001,0.327700000000000,,,,,
-1,Providence,26,41.797379999999997,-71.346580000000003,16,2,0.125000000000000,41.823988999999997,-71.412834000000004,North America,6.237500000000000,17.514900000000001,0.356100000000000,18,25,1,0.000069444451688,20.000000000000000
-1,Providence,27,41.779550000000000,-71.333439999999996,16,3,0.188000000000000,41.823988999999997,-71.412834000000004,North America,8.229699999999999,17.514900000000001,0.469900000000000,19,26,1,0.000069444451688,20.000000000000000
-1,Providence,28,41.776269999999997,-71.315340000000006,16,4,0.250000000000000,41.823988999999997,-71.412834000000004,North America,9.667800000000000,17.514900000000001,0.552000000000000,20,27,1,0.000069444451688,20.000000000000000
-1,Providence,29,41.771870000000000,-71.311959999999999,16,2,0.125000000000000,41.823988999999997,-71.412834000000004,North America,10.173999999999999,17.514900000000001,0.580900000000000,21,28,1,0.000069444451688,20.000000000000000
-1,Providence,30,41.770029999999998,-71.298839999999998,16,2,0.125000000000000,41.823988999999997,-71.412834000000004,North America,11.193600000000000,17.514900000000001,0.639100000000000,22,29,1,0.000069444451688,20.000000000000000
-1,Providence,31,41.772469999999998,-71.285190000000000,16,5,0.312000000000000,41.823988999999997,-71.412834000000004,North America,12.032299999999999,17.514900000000001,0.687000000000000,23,30,1,0.000069444451688,20.000000000000000
-1,Providence,32,41.774769999999997,-71.275369999999995,11,1,0.091000000000000,41.823988999999997,-71.412834000000004,North America,12.641100000000000,17.514900000000001,0.721700000000000,24,31,1,0.000069444451688,20.000000000000000
