OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F12_Waterloo_gcs_PET_Dec_OID,F12_Waterloo_gcs_PET_Dec_FID_,F12_Waterloo_gcs_PET_Dec_COUNT,F12_Waterloo_gcs_PET_Dec_AREA,F12_Waterloo_gcs_PET_Dec_MEAN
-1,Waterloo,1,43.464027999999999,-80.520358000000002,NA,NA,0.300000000000000,43.464255999999999,-80.520409000000001,North America,0.025684388583800,8.290743176390000,0.003100000000000,0,0,1,0.000069444451688,12.000000000000000
-1,Waterloo,2,43.462699000000001,-80.524331000000004,NA,NA,0.200000000000000,43.464255999999999,-80.520409000000001,North America,0.360785993069000,8.290743176390000,0.043500000000000,,,,,
-1,Waterloo,3,43.460450000000002,-80.525616999999997,NA,NA,0.250000000000000,43.464255999999999,-80.520409000000001,North America,0.596473732537000,8.290743176390000,0.071900000000000,1,2,1,0.000069444451688,12.000000000000000
-1,Waterloo,4,43.460932999999997,-80.530090000000001,NA,NA,0.473684211000000,43.464255999999999,-80.520409000000001,North America,0.864298778033000,8.290743176390000,0.104200000000000,,,,,
-1,Waterloo,5,43.460929000000000,-80.534234999999995,NA,NA,0.150000000000000,43.464255999999999,-80.520409000000001,North America,1.175593452670000,8.290743176390000,0.141800000000000,2,4,1,0.000069444451688,12.000000000000000
-1,Waterloo,6,43.460386000000000,-80.537497000000002,NA,NA,0.588235294000000,43.464255999999999,-80.520409000000001,North America,1.444719399360000,8.290743176390000,0.174300000000000,,,,,
-1,Waterloo,7,43.458412000000003,-80.539311999999995,NA,NA,0.300000000000000,43.464255999999999,-80.520409000000001,North America,1.658278653010000,8.290743176390000,0.200000000000000,,,,,
-1,Waterloo,8,43.459045000000003,-80.542379999999994,NA,NA,0.200000000000000,43.464255999999999,-80.520409000000001,North America,1.865529840900000,8.290743176390000,0.225000000000000,3,7,1,0.000069444451688,12.000000000000000
-1,Waterloo,9,43.459640000000000,-80.546836999999996,NA,NA,0.100000000000000,43.464255999999999,-80.520409000000001,North America,2.193859248190000,8.290743176390000,0.264600000000000,,,,,
-1,Waterloo,10,43.458821000000000,-80.548753000000005,NA,NA,0.190476190000000,43.464255999999999,-80.520409000000001,North America,2.366106325720000,8.290743176390000,0.285400000000000,,,,,
-1,Waterloo,11,43.456499999999998,-80.551125999999996,NA,NA,0.315789474000000,43.464255999999999,-80.520409000000001,North America,2.624917565740000,8.290743176390000,0.316600000000000,4,10,1,0.000069444451688,12.000000000000000
-1,Waterloo,12,43.455392000000003,-80.556157999999996,NA,NA,0.250000000000000,43.464255999999999,-80.520409000000001,North America,3.049059966880000,8.290743176390000,0.367800000000000,,,,,
-1,Waterloo,13,43.454486000000003,-80.558808999999997,NA,NA,0.333333333000000,43.464255999999999,-80.520409000000001,North America,3.284230746000000,8.290743176390000,0.396100000000000,5,12,1,0.000069444451688,12.000000000000000
-1,Waterloo,14,43.452838000000000,-80.562458000000007,NA,NA,0.200000000000000,43.464255999999999,-80.520409000000001,North America,3.623616259020000,8.290743176390000,0.437100000000000,,,,,
-1,Waterloo,15,43.452432999999999,-80.566139000000007,NA,NA,0.705882353000000,43.464255999999999,-80.520409000000001,North America,3.918167966020000,8.290743176390000,0.472600000000000,,,,,
-1,Waterloo,16,43.451776000000002,-80.570014000000000,NA,NA,0.250000000000000,43.464255999999999,-80.520409000000001,North America,4.237488644200000,8.290743176390000,0.511100000000000,6,15,1,0.000069444451688,12.000000000000000
-1,Waterloo,17,43.450918000000001,-80.571854000000002,NA,NA,0.300000000000000,43.464255999999999,-80.520409000000001,North America,4.409279731330000,8.290743176390000,0.531800000000000,,,,,
-1,Waterloo,18,43.450572999999999,-80.576323000000002,NA,NA,0.100000000000000,43.464255999999999,-80.520409000000001,North America,4.762653356550000,8.290743176390000,0.574500000000000,7,17,1,0.000069444451688,12.000000000000000
-1,Waterloo,19,43.451573000000003,-80.580275000000000,NA,NA,0.250000000000000,43.464255999999999,-80.520409000000001,North America,5.033631807150000,8.290743176390000,0.607100000000000,,,,,
