OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,F12_Trondheim_gcs_PET_Dec_OID,F12_Trondheim_gcs_PET_Dec_FID_,F12_Trondheim_gcs_PET_Dec_COUNT,F12_Trondheim_gcs_PET_Dec_AREA,F12_Trondheim_gcs_PET_Dec_MEAN
-1,Trondheim,1,63.433579999999999,10.403860000000000,20,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,0.561400000000000,8.449600000000000,0.066400000000000,0,0,1,0.000069444451688,1.000000000000000
-1,Trondheim,2,63.430140000000002,10.398580000000001,20,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,0.181300000000000,8.449600000000000,0.021500000000000,1,1,1,0.000069444451688,0.000000000000000
-1,Trondheim,3,63.431640000000002,10.396000000000001,20,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,0.141300000000000,8.449600000000000,0.016700000000000,,,,,
-1,Trondheim,4,63.432609999999997,10.389139999999999,15,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,0.377700000000000,8.449600000000000,0.044700000000000,2,3,1,0.000069444451688,0.000000000000000
-1,Trondheim,5,63.428829999999998,10.387359999999999,15,2,0.133000000000000,63.430450000000000,10.395002000000000,Europe,0.420600000000000,8.449600000000000,0.049800000000000,,,,,
-1,Trondheim,6,63.427329999999998,10.387860000000000,16,6,0.375000000000000,63.430450000000000,10.395002000000000,Europe,0.496500000000000,8.449600000000000,0.058800000000000,,,,,
-1,Trondheim,7,63.426530000000000,10.393829999999999,16,1,0.062000000000000,63.430450000000000,10.395002000000000,Europe,0.439800000000000,8.449600000000000,0.052000000000000,,,,,
-1,Trondheim,8,63.422969999999999,10.395110000000001,18,2,0.111000000000000,63.430450000000000,10.395002000000000,Europe,0.831800000000000,8.449600000000000,0.098400000000000,3,7,1,0.000069444451688,0.000000000000000
-1,Trondheim,9,63.420610000000003,10.395750000000000,20,1,0.050000000000000,63.430450000000000,10.395002000000000,Europe,1.094800000000000,8.449600000000000,0.129600000000000,,,,,
-1,Trondheim,10,63.418610000000001,10.397670000000000,19,4,0.211000000000000,63.430450000000000,10.395002000000000,Europe,1.323200000000000,8.449600000000000,0.156600000000000,,,,,
-1,Trondheim,11,63.416919999999998,10.400080000000001,20,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,1.525500000000000,8.449600000000000,0.180500000000000,4,10,1,0.000069444451688,0.000000000000000
-1,Trondheim,12,63.415059999999997,10.399440000000000,20,1,0.050000000000000,63.430450000000000,10.395002000000000,Europe,1.725500000000000,8.449600000000000,0.204200000000000,5,11,1,0.000069444451688,0.000000000000000
-1,Trondheim,13,63.412810000000000,10.400750000000000,19,6,0.316000000000000,63.430450000000000,10.395002000000000,Europe,1.982200000000000,8.449600000000000,0.234600000000000,6,12,1,0.000069444451688,0.000000000000000
-1,Trondheim,14,63.411079999999998,10.400190000000000,20,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,2.169300000000000,8.449600000000000,0.256700000000000,,,,,
-1,Trondheim,15,63.408420000000000,10.396780000000000,18,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,2.451200000000000,8.449600000000000,0.290100000000000,,,,,
-1,Trondheim,16,63.404330000000002,10.397890000000000,18,2,0.111000000000000,63.430450000000000,10.395002000000000,Europe,2.908000000000000,8.449600000000000,0.344200000000000,7,15,1,0.000069444451688,0.000000000000000
-1,Trondheim,17,63.402140000000003,10.400750000000000,15,1,0.067000000000000,63.430450000000000,10.395002000000000,Europe,3.160900000000000,8.449600000000000,0.374100000000000,8,16,1,0.000069444451688,0.000000000000000
-1,Trondheim,18,63.398310000000002,10.404920000000001,20,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,3.607700000000000,8.449600000000000,0.427000000000000,9,17,1,0.000069444451688,0.000000000000000
-1,Trondheim,19,63.396250000000002,10.403169999999999,18,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,3.824500000000000,8.449600000000000,0.452600000000000,,,,,
-1,Trondheim,20,63.393079999999998,10.401470000000000,13,2,0.154000000000000,63.430450000000000,10.395002000000000,Europe,4.167800000000000,8.449600000000000,0.493300000000000,,,,,
-1,Trondheim,21,63.391330000000004,10.397390000000000,19,1,0.053000000000000,63.430450000000000,10.395002000000000,Europe,4.351600000000000,8.449600000000000,0.515000000000000,10,20,1,0.000069444451688,0.000000000000000
-1,Trondheim,22,63.388829999999999,10.397309999999999,20,1,0.050000000000000,63.430450000000000,10.395002000000000,Europe,4.629400000000000,8.449600000000000,0.547900000000000,,,,,
-1,Trondheim,23,63.388309999999997,10.402559999999999,18,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,4.700800000000000,8.449600000000000,0.556300000000000,11,22,1,0.000069444451688,0.000000000000000
-1,Trondheim,24,63.386920000000003,10.408030000000000,17,1,0.059000000000000,63.430450000000000,10.395002000000000,Europe,4.883600000000000,8.449600000000000,0.578000000000000,,,,,
-1,Trondheim,25,63.389189999999999,10.412000000000001,19,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,4.665300000000000,8.449600000000000,0.552100000000000,12,24,1,0.000069444451688,0.000000000000000
-1,Trondheim,26,63.387779999999999,10.416750000000000,15,1,0.067000000000000,63.430450000000000,10.395002000000000,Europe,4.866600000000000,8.449600000000000,0.576000000000000,13,25,1,0.000069444451688,0.000000000000000
-1,Trondheim,27,63.385530000000003,10.422079999999999,17,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,5.173500000000000,8.449600000000000,0.612300000000000,,,,,
-1,Trondheim,28,63.382970000000000,10.417560000000000,20,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,5.397600000000000,8.449600000000000,0.638800000000000,14,27,1,0.000069444451688,0.000000000000000
-1,Trondheim,29,63.382939999999998,10.414610000000000,16,1,0.062000000000000,63.430450000000000,10.395002000000000,Europe,5.372300000000000,8.449600000000000,0.635800000000000,15,28,1,0.000069444451688,0.000000000000000
-1,Trondheim,30,63.384079999999997,10.424329999999999,16,2,0.125000000000000,63.430450000000000,10.395002000000000,Europe,5.358800000000000,8.449600000000000,0.634200000000000,,,,,
-1,Trondheim,31,63.384470000000000,10.428500000000000,20,4,0.200000000000000,63.430450000000000,10.395002000000000,Europe,5.377800000000000,8.449600000000000,0.636500000000000,16,30,1,0.000069444451688,0.000000000000000
-1,Trondheim,32,63.382640000000002,10.434390000000000,15,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,5.666200000000000,8.449600000000000,0.670600000000000,17,31,1,0.000069444451688,0.000000000000000
-1,Trondheim,33,63.379669999999997,10.435280000000001,20,0,0.000000000000000,63.430450000000000,10.395002000000000,Europe,5.991900000000000,8.449600000000000,0.709100000000000,,,,,
